id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
518;Culture;2;"Quel vêtement est généralement porté par un Écossais lors d'un mariage ?";"Which item of clothing is usually worn by a Scotsman at a wedding?";"A) Jupe | B) Kilt | C) Robe | D) Toge";"A) Skirt | B) Kilt | C) Dress | D) Robes";"B";"Le kilt est le vêtement traditionnel écossais.";"The kilt is the traditional Scottish garment.";"OpenTDB"
519;Culture;1;"Qu'expose le musée Madame Tussaud à Londres ?";"What is on display in the Madame Tussaud's museum in London?";"A) Vêtements de créateurs | B) Sculptures de cire | C) Voitures anciennes | D) Films inédits";"A) Designer clothing | B) Wax sculptures | C) Vintage cars | D) Unreleased film reels";"B";"Le musée Madame Tussaud expose des sculptures de cire de célébrités.";"Madame Tussaud's museum displays wax sculptures of celebrities.";"OpenTDB"
520;Culture;2;"Quel condiment essentiel est aussi connu comme le raifort japonais ?";"Which essential condiment is also known as Japanese horseradish?";"A) Wasabi | B) Mentsuyu | C) Karashi | D) Ponzu";"A) Wasabi | B) Mentsuyu | C) Karashi | D) Ponzu";"A";"Le wasabi est appelé raifort japonais en raison de sa saveur piquante similaire.";"Wasabi is called Japanese horseradish due to its similar pungent flavor.";"OpenTDB"
521;Culture;1;"Quel est le nom du Nouvel An juif ?";"What is the name of the Jewish New Year?";"A) Elul | B) Rosh Hashanah | C) Nouvel An | D) Succoss";"A) Elul | B) Rosh Hashanah | C) New Year | D) Succoss";"B";"Rosh Hashanah signifie 'tête de l'année' en hébreu.";"Rosh Hashanah means 'head of the year' in Hebrew.";"OpenTDB"
522;Culture;1;"Combien d'étoiles figurent sur le drapeau de l'Union européenne ?";"The Flag of the European Union has how many stars on it?";"A) 10 | B) 12 | C) 14 | D) 16";"A) 10 | B) 12 | C) 14 | D) 16";"B";"Le drapeau européen a 12 étoiles, symbolisant l'unité et la perfection.";"The EU flag has 12 stars, symbolizing unity and perfection.";"OpenTDB"
523;Culture;1;"Quelle boisson alcoolisée est fabriquée à partir de mélasse ?";"What alcoholic drink is made from molasses?";"A) Gin | B) Vodka | C) Rhum | D) Whisky";"A) Gin | B) Vodka | C) Rum | D) Whisky";"C";"Le rhum est distillé à partir de mélasse ou de jus de canne à sucre.";"Rum is distilled from molasses or sugarcane juice.";"OpenTDB"
524;Culture;2;"Que fabrique et vend un chapelier ?";"What does a milliner make and sell?";"A) Chaussures | B) Chapeaux | C) Ceintures | D) Chemises";"A) Shoes | B) Hats | C) Belts | D) Shirts";"B";"Un chapelier (milliner) fabrique et vend des chapeaux.";"A milliner makes and sells hats.";"OpenTDB"
525;Culture;2;"De quel type de cancer est décédé Steve Jobs, cofondateur d'Apple ?";"Apple co-founder Steve Jobs died from complications of which form of cancer?";"A) Os | B) Pancréas | C) Foie | D) Estomac";"A) Bone | B) Pancreatic | C) Liver | D) Stomach";"B";"Steve Jobs est décédé d'un cancer du pancréas en 2011.";"Steve Jobs died from pancreatic cancer in 2011.";"OpenTDB"
526;Culture;1;"Qui est la plus jeune personne à avoir reçu un prix Nobel ?";"Who is the youngest person to receive a Nobel Prize?";"A) Lawrence Bragg | B) Malala Yousafzai | C) Werner Heisenberg | D) Yasser Arafat";"A) Lawrence Bragg | B) Malala Yousafzai | C) Werner Heisenberg | D) Yasser Arafat";"B";"Malala Yousafzai a reçu le prix Nobel de la Paix en 2014 à 17 ans.";"Malala Yousafzai received the Nobel Peace Prize in 2014 at age 17.";"OpenTDB"
527;Culture;1;"Comment les marins appellent-ils l'arrière d'un bateau ?";"What do sailors call the back of a boat?";"A) Proue | B) Poupe | C) Tribord | D) Bâbord";"A) Bow | B) Stern | C) Starboard | D) Port";"B";"La poupe (stern) est l'arrière du bateau.";"The stern is the back of a boat.";"OpenTDB"
528;Culture;1;"Quel est le nom de la main de poker contenant un brelan et une paire ?";"What is the name of the poker hand containing three of a kind and a pair?";"A) Quinte flush | B) Full | C) Suite | D) Carte haute";"A) Flush | B) Full House | C) Straight | D) High card";"B";"Un full (full house) combine un brelan et une paire.";"A full house combines three of a kind and a pair.";"OpenTDB"
