id;category;difficulty;question;choices;correct;explanation;source_hint
630;Géographie;2;Quels deux pays modernes formaient la région appelée Rhodésie ?;A) Togo et Bénin | B) Zambie et Zimbabwe | C) Lesotho et Eswatini | D) Rwanda et Burundi;B;La Rhodésie du Nord est devenue la Zambie, et la Rhodésie du Sud le Zimbabwe.;OpenTDB
631;Géographie;2;Quelle est la capitale de l'État de Washington aux États-Unis ?;A) Washington D.C. | B) Olympia | C) Seattle | D) Yukon;B;Olympia est la capitale, pas Seattle qui est la plus grande ville.;OpenTDB
632;Géographie;2;Lequel de ces pays n'est PAS situé en Afrique ?;A) Burkina Faso | B) Suriname | C) Mozambique | D) Algérie;B;Le Suriname est situé en Amérique du Sud.;OpenTDB
633;Géographie;1;Avec combien de pays le Mexique partage-t-il une frontière ?;A) 2 | B) 3 | C) 4 | D) 1;B;Le Mexique partage des frontières avec les USA, le Guatemala et le Belize.;OpenTDB
634;Géographie;3;Quel pays est complètement enclavé par l'Afrique du Sud ?;A) Eswatini | B) Lesotho | C) Botswana | D) Zimbabwe;B;Le Lesotho est entièrement entouré par l'Afrique du Sud.;OpenTDB
635;Géographie;2;Le lac Titicaca est situé entre quels deux pays ?;A) Kenya et Ouganda | B) Pérou et Bolivie | C) Mexique et USA | D) Inde et Bangladesh;B;Le lac Titicaca est le plus haut lac navigable du monde.;OpenTDB
636;Géographie;1;Quelle est la capitale de l'Indonésie ?;A) Bandung | B) Jakarta | C) Medan | D) Palembang;B;Jakarta est la capitale et plus grande ville d'Indonésie.;OpenTDB
637;Géographie;3;Comment s'appelle l'isthme reliant l'Amérique du Nord et du Sud ?;A) Isthme de Suez | B) Isthme de Panama | C) Oural | D) Australasie;B;L'isthme de Panama relie les deux Amériques.;OpenTDB
638;Géographie;2;Les Pyrénées sont situées à la frontière de quels deux pays ?;A) Italie et Suisse | B) France et Espagne | C) Norvège et Suède | D) Russie et Ukraine;B;Les Pyrénées séparent la France de l'Espagne.;OpenTDB
639;Géographie;1;Quelle ville est la capitale des États-Unis ?;A) Seattle | B) Washington D.C. | C) Albany | D) Los Angeles;B;Washington D.C. est la capitale fédérale depuis 1790.;OpenTDB
640;Géographie;1;Quel est le plus grand pays du monde ?;A) Canada | B) Russie | C) Chine | D) États-Unis;B;La Russie couvre plus de 17 millions de km².;OpenTDB
641;Géographie;1;Quel petit pays est situé entre la France et l'Espagne ?;A) Saint-Marin | B) Andorre | C) Vatican | D) Liechtenstein;B;Andorre est une principauté dans les Pyrénées.;OpenTDB
642;Géographie;2;Quelle est la capitale de la Slovénie ?;A) Maribor | B) Ljubljana | C) Velenje | D) Trbovlje;B;Ljubljana est la capitale et plus grande ville de Slovénie.;OpenTDB
643;Géographie;1;Dans quelle ville se trouve l'université Harvard ?;A) Providence | B) Cambridge | C) New York | D) Washington D.C.;B;Harvard est située à Cambridge, Massachusetts.;OpenTDB
644;Géographie;2;Quelle est la capitale de la Nouvelle-Zélande ?;A) Auckland | B) Wellington | C) Christchurch | D) Melbourne;B;Wellington est la capitale, Auckland la plus grande ville.;OpenTDB
645;Géographie;3;Dans quel pays se trouve Tallinn ?;A) Finlande | B) Estonie | C) Suède | D) Pologne;B;Tallinn est la capitale de l'Estonie.;OpenTDB
646;Géographie;2;Combien de fuseaux horaires la Russie possède-t-elle ?;A) 8 | B) 11 | C) 5 | D) 2;B;La Russie s'étend sur 11 fuseaux horaires.;OpenTDB
647;Géographie;2;Quelle est la capitale de la Turquie ?;A) Istanbul | B) Ankara | C) Izmir | D) Bursa;B;Ankara est la capitale depuis 1923, Istanbul la plus grande ville.;OpenTDB
648;Géographie;1;Quelle région d'Europe de l'Est est associée aux vampires ?;A) Silésie | B) Transylvanie | C) Macédoine | D) Slovaquie;B;La Transylvanie est associée au comte Dracula.;OpenTDB
649;Géographie;2;Quel pays a trois capitales ?;A) Somalie | B) Afrique du Sud | C) Chine | D) Royaume-Uni;B;Pretoria (administrative), Cape Town (législative), Bloemfontein (judiciaire).;OpenTDB
650;Géographie;2;Quel est le plus long fleuve d'Europe ?;A) Danube | B) Volga | C) Oural | D) Dniepr;B;La Volga mesure 3 530 km de long.;OpenTDB
651;Géographie;1;Quelle est la capitale de l'Écosse ?;A) Glasgow | B) Édimbourg | C) Dundee | D) Londres;B;Édimbourg est la capitale depuis le 15e siècle.;OpenTDB
652;Géographie;1;Quel est le plus petit pays du monde ?;A) Maldives | B) Vatican | C) Monaco | D) Malte;B;Le Vatican ne fait que 0,44 km².;OpenTDB
653;Géographie;2;Laquelle n'est PAS une capitale ?;A) Le Caire | B) Sydney | C) Moscou | D) Pékin;B;Sydney n'est pas la capitale de l'Australie, c'est Canberra.;OpenTDB
918;Géographie;3;Où se situe Fort Marlborough ?;A) Singapour | B) Londres | C) Douvres | D) Bengkulu;D;;OpenTDB
919;Géographie;2;Laquelle de ces localités n'appartient PAS à la nation insulaire du Pacifique Kiribati ?;A) Washington | B) London | C) Urutora | D) Rungata;C;;OpenTDB
920;Géographie;2;"Frankenmuth, surnommée ""La Petite Bavière"", se trouve dans quel État américain ?";A) Pennsylvanie | B) Virginie | C) Michigan | D) Kentucky;C;;OpenTDB
