id;category;difficulty;question;choices;correct;explanation;source_hint
1498;Jeux;1;Quand le jeu de société Twister a-t-il été commercialisé ?;A) Avril 1966 | B) Février 1966 | C) Janvier 1969 | D) Septembre 1965;A;;OpenTDB
1499;Jeux;1;Aux échecs, quelle est une caractéristique du Gambit du Roi ?;A) Sacrifier le roi pour une dame | B) Sacrifier un pion | C) Roquer côté roi | D) Bouger le roi au 2e coup;B;;OpenTDB
1500;Jeux;2;Dans « Magic : l'Assemblée », lors du design de Planar Chaos, quelle couleur les développeurs envisageaient-ils d'ajouter comme sixième couleur ?;A) Marron | B) Orange | C) Violet | D) Rose;C;;OpenTDB
1501;Jeux;2;Quel article spécial les créateurs de Cards Against Humanity ont-ils envoyé pour leur pack du Black Friday ?;A) Un jouet raciste | B) Une extension de cartes | C) Urine de chat | D) Fèces de taureau;D;;OpenTDB
1502;Jeux;1;Le jeu Carcassonne est basé sur quelle ville française ?;A) Clermont-Ferrand | B) Paris | C) Carcassonne | D) Marseille;C;;OpenTDB
1503;Jeux;3;Quelle est la somme de toutes les tuiles dans une boîte standard de Scrabble ?;A) 177 | B) 197 | C) 187 | D) 207;C;;OpenTDB
1504;Jeux;3;Quel Pokémon est le numéro 39 dans le Pokédex national ?;A) Psykokwak | B) Rondoudou | C) Pikachu | D) Rapasdepic;B;;OpenTDB
1505;Jeux;1;Lequel des éléments suivants n'est PAS une classe dans Donjons & Dragons 5e édition ?;A) Ingénieur | B) Paladin | C) Barde | D) Guerrier;A;;OpenTDB
1506;Jeux;3;Dans le Monopoly standard, quel est le loyer si vous atterrissez sur la Place du Parc sans maison ?;A) 35 $ | B) 50 $ | C) 45 $ | D) 30 $;A;;OpenTDB
1507;Jeux;1;Dans Donjons & Dragons (5e édition), quelle statistique ajoutez-vous normalement à votre jet d'initiative ?;A) Vitesse | B) Force | C) Dextérité | D) Sagesse;C;;OpenTDB
1508;Jeux;3;Certaines cartes « Fallen Empires » de « Magic : l'Assemblée » ont été mal imprimées au dos de quel autre jeu de cartes ?;A) Yu-Gi-Oh | B) Dominion | C) Pokémon | D) Wyvern;D;;OpenTDB
1509;Jeux;2;Europa Universalis est un jeu vidéo de stratégie basé sur quel jeu de plateau français ?;A) Puissance en Europe | B) Europa Universalis | C) Europa ! | D) L'Europe et l'Univers;B;;OpenTDB
1510;Jeux;3;Dans Magic : l'Assemblée, laquelle des cartes suivantes a été la première carte holographique publiée ?;A) Bête de fardeau | B) Dragon Foudroyant | C) Dirtcowl Wurm | D) Revenant;B;;OpenTDB
1511;Jeux;3;Le jeu de société « Ra » a été conçu par quel auteur ?;A) Uwe Rosenberg | B) Allison Kline | C) Bruno Cathala | D) Reiner Knizia;D;;OpenTDB
1512;Jeux;3;Quel est le plus vieux jeu de société du monde ?;A) Senet | B) Échecs | C) Go | D) Dames;A;;OpenTDB
1513;Jeux;1;Le jeu de société Monopoly tire ses noms de rues de quelle vraie ville américaine ?;A) Charleston, Caroline du Sud | B) Atlantic City, New Jersey | C) Duluth, Minnesota | D) Las Vegas, Nevada;B;;OpenTDB
1514;Jeux;2;De quel type est « Magic Drain » dans le jeu de cartes à collectionner Yugioh ! ?;A) Piège Contre | B) Sort de Terrain | C) Piège Normal | D) Sort Action Rapide;A;;OpenTDB
1515;Jeux;2;Au poker, que signifie « EV » ?;A) Variation d'équité | B) Espérance de valeur | C) Valeur d'équité | D) Variation équivalente;B;;OpenTDB
1516;Jeux;1;Sur un plateau de Monopoly standard, quelle case est diagonalement opposée à « Départ » ?;A) Allez en prison | B) La Compagnie d'électricité | C) Parc gratuit | D) Prison;C;;OpenTDB
1517;Jeux;1;Quel est le niveau maximum dans une seule classe dans Donjons & Dragons (5e) ?;A) 25 | B) 15 | C) 30 | D) 20;D;;OpenTDB
1518;Jeux;2;Combien de Slinkys ont été vendus lors de leurs 60 premières années (de 1945 à 2005) ?;A) 450 millions | B) 100 millions | C) 1 milliard | D) 300 millions;D;;OpenTDB
1519;Jeux;3;Quel jeu de société a été publié pour la première fois le 6 février 1935 ?;A) Monopoly | B) Cluedo | C) Candy Land | D) Risk;A;;OpenTDB
1520;Jeux;2;Lequel des personnages suivants n'est pas dans le jeu de société Cluedo ?;A) Mademoiselle Écarlate | B) Révérend Vert | C) Monsieur Indigo | D) Colonel Moutarde;C;;OpenTDB
1521;Jeux;2;Dans « Magic : l'Assemblée », quelle carte éphémère a le coût de mana converti le plus élevé ?;A) Vitalizing Wind | B) Blinkmoth Infusion | C) Assert Authority | D) Chant of Vitu-Ghazi;B;;OpenTDB
1522;Jeux;1;Combien de dés utilise-t-on dans le jeu Yahtzee ?;A) Quatre | B) Cinq | C) Huit | D) Six;B;;OpenTDB
1523;Jeux;2;Qui était champion du monde d'échecs entre 1894 et 1921 ?;A) Bobby Fischer | B) Wilhelm Steinitz | C) José Raúl Capablanca | D) Emanuel Lasker;D;;OpenTDB
1524;Jeux;3;Quel était le nom de code de développement de l'extension « Destiny d'Urza » pour « Magic : l'Assemblée », sortie en 1999 ?;A) Chimichanga | B) Burrito | C) Enchilada | D) Taquito;A;;OpenTDB
