id;category;difficulty;question;choices;correct;explanation;source_hint
581;Chimie;1;What is the elemental symbol for mercury?;A) Me | B) Hg | C) Mc | D) Hy;B;Hg comes from Latin 'hydrargyrum' (liquid silver).;OpenTDB
582;Espace;1;What lies at the center of our galaxy?;A) A wormhole | B) A black hole | C) A supernova | D) A quasar;B;Sagittarius A* is the supermassive black hole at the center of the Milky Way.;OpenTDB
583;Biologie;1;What is the powerhouse of the cell?;A) Ribosome | B) Mitochondria | C) Nucleus | D) Cytoplasm;B;Mitochondria produce ATP, the cellular energy.;OpenTDB
584;Sciences de la Terre;3;Which major extinction event was caused by an asteroid collision and eliminated most dinosaurs?;A) Triassic-Jurassic | B) Cretaceous-Paleogene | C) Permian-Triassic | D) Ordovician-Silurian;B;The K-Pg extinction occurred 66 million years ago.;OpenTDB
585;Sciences de la Terre;2;What mineral has the lowest number on the Mohs scale?;A) Quartz | B) Talc | C) Diamond | D) Gypsum;B;Talite has a hardness of 1 on the Mohs scale.;OpenTDB
586;Physique;2;What is the standard SI unit for electric current?;A) Volt | B) Ampere | C) Ohm | D) Watt;B;The ampere measures electric current intensity.;OpenTDB
587;Espace;2;The Sun consists of mostly which two elements?;A) Hydrogen & Nitrogen | B) Hydrogen & Helium | C) Carbon & Nitrogen | D) Carbon & Helium;B;The Sun is 74% hydrogen and 24% helium.;OpenTDB
588;Chimie;2;Au on the Periodic Table refers to which element?;A) Silver | B) Gold | C) Oxygen | D) Nickel;B;Au comes from Latin 'aurum' meaning gold.;OpenTDB
589;Chimie;2;What is the chemical formula for ammonia?;A) CO2 | B) NH3 | C) NO3 | D) CH4;B;Ammonia consists of one nitrogen and three hydrogen atoms.;OpenTDB
590;Sciences de la Terre;2;What is the lowest layer of the Earth's atmosphere named?;A) Stratosphere | B) Troposphere | C) Mesosphere | D) Thermosphere;B;The troposphere extends from 0 to about 12 km altitude.;OpenTDB
591;Chimie;2;On the periodic table of elements, what is the symbol for Tin?;A) Ti | B) Sn | C) Ni | D) Na;B;Sn comes from Latin 'stannum' meaning tin.;OpenTDB
592;Biologie;1;Human cells typically have how many copies of each gene?;A) 1 | B) 2 | C) 4 | D) 3;B;Humans are diploid with two copies of each gene.;OpenTDB
593;Physique;1;What is the standard SI unit for distance?;A) Angstrom | B) Metre | C) Foot | D) Fathom;B;The metre is the base unit of the international system.;OpenTDB
594;Biologie;3;What is the most potent toxin known?;A) Ricin | B) Botulinum toxin | C) Cyanide | D) Asbestos;B;Botulinum toxin is lethal at minuscule doses.;OpenTDB
595;Sciences;2;What is the name of the cognitive bias wherein a person with low ability mistakes themselves as superior?;A) Meyers-Briggs effect | B) Dunning-Kruger effect | C) Müller-Lyer effect | D) Freud-Hall effect;B;The Dunning-Kruger effect was described in 1999.;OpenTDB
596;Espace;2;How old is the universe?;A) 4.5 Billion Years | B) 13.8 Billion Years | C) 7.9 Billion Years | D) 16.2 Billion Years;B;The universe is about 13.8 billion years old.;OpenTDB
597;Biologie;2;What are the smallest blood vessels in the human body?;A) Arterioles | B) Capillaries | C) Veinules | D) Lymphatics;B;Capillaries allow gas exchange with tissues.;OpenTDB
598;Physique;1;What is the standard SI unit for mass?;A) Tonne | B) Kilogram | C) Pound | D) Gram;B;The kilogram is the SI base unit of mass.;OpenTDB
599;Biologie;1;Which of these bones is hardest to break?;A) Cranium | B) Femur | C) Humerus | D) Tibia;B;The femur is the longest and strongest bone in the body.;OpenTDB
600;Biologie;2;The 'Tibia' is found in which part of the body?;A) Arm | B) Leg | C) Hand | D) Head;B;The tibia is the main bone of the lower leg.;OpenTDB
601;Chimie;1;Who is the chemical element Curium named after?;A) The Curiosity Rover | B) Marie & Pierre Curie | C) Curious George | D) Stephen Curry;B;Curium honors Marie and Pierre Curie for their work on radioactivity.;OpenTDB
602;Chimie;1;What is the first element on the periodic table?;A) Helium | B) Hydrogen | C) Oxygen | D) Lithium;B;Hydrogen has atomic number 1.;OpenTDB
603;Biologie;3;Botanically speaking, which of these fruits is NOT a berry?;A) Blueberry | B) Strawberry | C) Banana | D) Concord Grape;B;The strawberry is an accessory fruit, not a true berry.;OpenTDB
604;Espace;1;Which Apollo mission was the first one to land on the Moon?;A) Apollo 10 | B) Apollo 11 | C) Apollo 9 | D) Apollo 13;B;Apollo 11 landed on the Moon on July 20, 1969.;OpenTDB
