id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
2020;Art;1;Quel est l'autre nom de La Gioconda / La Joconde ?;What is another name for La Gioconda / La Joconde?;A) La Nuit étoilée | B) La Joconde | C) La Jeune Fille à la perle | D) Tournesols;A) The Starry Night | B) The Mona Lisa | C) The Girl with a Pearl Earring | D) Sunflowers;B;;;
2021;Art;1;Quel est le nom de l'art japonais qui consiste à plier du papier en formes et figures décoratives ?;What is the name of the Japanese art of folding paper into decorative shapes and figures?;A) Ukiyo-e | B) Sumi-e | C) Haïku | D) Origami;A) Ukiyo-e | B) Sumi-e | C) Haiku | D) Origami;D;;;
2022;Art;3;Qui a peint « American Gothic » ?;"Who painted ""American Gothic""?";A) Pablo Picasso | B) Marc Chagall | C) Anita Malfatti | D) Grant Wood;A) Pablo Picasso | B) Marc Chagall | C) Anita Malfatti | D) Grant Wood;D;;;
2023;Art;1;Quelle est la plus ancienne œuvre de fiction connue au monde ?;What is the world's oldest known piece of fiction?;A) Papyrus d'Ani | B) L'Épopée de Gilgamesh | C) Code d'Hammurabi | D) Pierre de Rosette;A) Papyrus of Ani | B) Epic of Gilgamesh | C) Code of Hammurabi | D) Rosetta Stone;B;;;
2024;Art;2;Quelle mesure de temps est communément appelée « mesure coupée » ?;Which time signature is commonly known as “Cut Time?”;A) 2/2 | B) 3/4 | C) 4/4 | D) 6/8;A) 2/2 | B) 3/4 | C) 4/4 | D) 6/8;A;;;
2025;Art;1;Quel artiste est célèbre pour s'être coupé l'oreille ?;Which artist is famous for cutting off his ear?;A) Rembrandt | B) Michel-Ange | C) Salvador Dali | D) Vincent van Gogh;A) Rembrandt | B) Michelangelo | C) Salvador Dali | D) Vincent van Gogh;D;;;
2026;Art;2;Lequel de ces noms est une célèbre marque de marqueurs ?;Which of these are the name of a famous marker brand?;A) Marx | B) Dopix | C) Copic | D) Cofix;A) Marx | B) Dopix | C) Copic | D) Cofix;C;;;
2027;Art;2;Dans « La Cène » de Léonard de Vinci, de quelles deux couleurs étaient les robes portées par Jésus ?;"In ""Last Supper"" by Leonardo Da Vinci, what two colors were the robes worn by Jesus?";A) Rouge et noir | B) Rouge et blanc | C) Rouge et bleu | D) Rouge et jaune;A) Red and Black | B) Red and White | C) Red and Blue | D) Red and Yellow;C;;;
2028;Art;1;Quel artiste a peint la fresque « La Cène » à la fin du XVe siècle ?;Which artist painted the late 15th century mural 'The Last Supper'?;A) Luca Pacioli | B) Paolo Uccello | C) Piero della Francesca | D) Léonard de Vinci;A) Luca Pacioli | B) Paolo Uccello | C) Piero della Francesca | D) Leonardo da Vinci;D;;;
2029;Art;2;Que sont les readymades de Marcel Duchamp ?;What were Marcel Duchamp's readymades?;A) des objets utilitaires élevés au rang d'œuvre d'art | B) des peintures avec un carré à peine visible en contour | C) une série centrée sur la couleur et la lumière plutôt que sur la ligne et la forme | D) un groupe de boîtes en acier identiques saillant du mur;A) utilitarian objects elevated to the status of art | B) paintings with a barely visible outlined square | C) a series focused on color and light as opposed to line and shape | D) a group of identical steel boxes jutting from the wall;A;;;
