id;category;difficulty;question;choices;correct;explanation;source_hint
562;Musique;2;Qui est le chanteur principal des Smashing Pumpkins ?;A) Brett Scallions | B) Billy Corgan | C) Eddie Vedder | D) Chino Moreno;B;Billy Corgan a fondé le groupe en 1988.;OpenTDB
563;Musique;1;Le tuba fait partie de quelle famille d'instruments ?;A) Percussion | B) Cuivres | C) Cordes | D) Bois;B;Le tuba est un instrument à vent de la famille des cuivres.;OpenTDB
564;Musique;2;La chanson 'Now and Then' (2023) des Beatles provient d'une démo de quel Beatle ?;A) Paul McCartney | B) John Lennon | C) George Harrison | D) Ringo Starr;B;John Lennon a enregistré cette démo à la fin des années 70.;OpenTDB
565;Musique;1;Quel chanteur a participé à 'Where Are Ü Now' de Jack Ü (2015) ?;A) Selena Gomez | B) Justin Bieber | C) Ellie Goulding | D) The Weeknd;B;Justin Bieber a chanté sur ce hit de Skrillex et Diplo.;OpenTDB
566;Musique;2;Qui était le guitariste du groupe 'The Doors' ?;A) Eric Clapton | B) Robby Krieger | C) John Densmore | D) Jimi Hendrix;B;Robby Krieger était le guitariste légendaire des Doors.;OpenTDB
567;Musique;2;Quel groupe de rock a sorti l'album 'The Bends' en mars 1995 ?;A) Nirvana | B) Radiohead | C) Coldplay | D) U2;B;The Bends est le deuxième album studio de Radiohead.;OpenTDB
568;Musique;2;En août 1964, qui a initié les Beatles au cannabis ?;A) Jim Morrison | B) Bob Dylan | C) Brian Epstein | D) Jerry Garcia;B;Bob Dylan a fait découvrir la marijuana aux Beatles à New York.;OpenTDB
569;Musique;2;De quel pays le piano est-il originaire ?;A) Allemagne | B) Italie | C) Autriche | D) France;B;Le piano a été inventé en Italie par Bartolomeo Cristofori vers 1700.;OpenTDB
570;Musique;2;De quel pays vient le duo électronique 'The Knife' ?;A) Finlande | B) Suède | C) Danemark | D) Norvège;B;The Knife est un duo suédois formé en 1999.;OpenTDB
571;Musique;1;Quel compositeur classique a écrit la 'Sonate au clair de lune' ?;A) Mozart | B) Beethoven | C) Brahms | D) Bach;B;Beethoven a composé cette sonate en 1801.;OpenTDB
572;Musique;1;Quel guitariste anglais a le surnom 'Slowhand' ?;A) Mark Knopfler | B) Eric Clapton | C) Jeff Beck | D) Jimmy Page;B;Eric Clapton a reçu ce surnom pour son jeu décontracté.;OpenTDB
