id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
1990;Politique;2;Quelle ville est le siège du gouvernement des Pays-Bas ?;Which city is the seat of government of the Netherlands?;A) Amsterdam | B) Rotterdam | C) Utrecht | D) La Haye;A) Amsterdam | B) Rotterdam | C) Utrecht | D) The Hague;D;;;
1991;Politique;2;Qui est devenu Premier ministre du Royaume-Uni en juillet 2016 ?;Who became Prime Minister of the United Kingdom in July 2016?;A) David Cameron | B) Theresa May | C) Boris Johnson | D) Tony Blair;A) David Cameron | B) Theresa May | C) Boris Johnson | D) Tony Blair;B;;;
1992;Politique;2;En quelle année Gerald Ford est-il devenu président ?;What year did Gerald Ford Become President?;A) 1974 | B) 1973 | C) 1969 | D) 1977;A) 1974 | B) 1973 | C) 1969 | D) 1977;A;;;
1993;Politique;2;Quels sont les prénoms du premier duo père-fils à avoir tous deux été Premiers ministres du Canada ?;What are the first names of the first father and son pair that were both Prime Ministers of Canada?;A) John et Louis | B) Justin et Pierre | C) Brian et Justin | D) Brian et Pierre;A) John and Louis | B) Justin and Pierre | C) Brian and Justin | D) Brian and Pierre;B;;;
1994;Politique;2;Lequel des présidents argentins suivants a été élu en 2015 ?;Which of the following Argentinian presidents was elected in 2015?;A) Nestor Kirchner | B) Mauricio Macri | C) Cristina Fernandez de Kirchner | D) Juan Domingo Perón;A) Nestor Kirchner | B) Mauricio Macri | C) Cristina Fernandez de Kirchner | D) Juan Domingo Peron;B;;;
1995;Politique;3;À partir de 2000, la Chine a interdit la fabrication et la vente de consoles de jeux vidéo. En quelle année cette interdiction a-t-elle été levée ?;Starting from 2000, China banned manufacturing and sales of all video game consoles. On which year was this ban lifted?;A) 2008 | B) 2012 | C) 2017 | D) 2015;A) 2008 | B) 2012 | C) 2017 | D) 2015;D;;;
1996;Politique;2;Lequel de ces noms n'est PAS un enfant de Donald Trump ?;Which of these is NOT one of Donald Trump's children?;A) Ivanka | B) Eric | C) Donald Jr. | D) Julius;A) Ivanka | B) Eric | C) Donald Jr. | D) Julius;D;;;
1997;Politique;3;Quelle nation a rejoint l'OTAN en tant que 29e membre en 2017 ?;Which nation joined NATO as its 29th member in 2017?;A) Estonie | B) Monténégro | C) Andorre | D) Islande;A) Estonia | B) Montenegro | C) Andorra | D) Iceland;B;;;
1998;Politique;2;Qui était le 40e président des États-Unis ?;Who was the 40th President of the USA?;A) Ronald Reagan | B) Richard Nixon | C) Jimmy Carter | D) Bill Clinton;A) Ronald Reagan | B) Richard Nixon | C) Jimmy Carter | D) Bill Clinton;A;;;
1999;Politique;2;De 1973 à 1990, quel pays était gouverné par le dictateur Augusto Pinochet ?;Between 1973 to 1990, what country was ruled by dictator Augusto Pinochet?;A) Indonésie | B) Nicaragua | C) Éthiopie | D) Chili;A) Indonesia | B) Nicaragua | C) Ethiopia | D) Chile;D;;;
2000;Politique;2;Quel est l'objet principal du Quatrième Amendement de la Constitution américaine ?;What is the primary purpose of the Fourth Amendment to the US Constitution?;A) Protéger le droit de détenir et de porter des armes | B) Interdire les peines cruelles et inhabituelles | C) Interdire les perquisitions et saisies abusives | D) Protéger contre l'emprisonnement sans procédure régulière;A) Protecting the right to keep and bear arms | B) Preventing cruel and unusual punishments | C) Preventing unreasonable searches and seizures | D) Protecting against imprisonment without due process of law;C;;;
2001;Politique;2;Qui était le Premier ministre britannique au déclenchement de la Seconde Guerre mondiale ?;Who was the British Prime Minister at the outbreak of the Second World War?;A) Stanley Baldwin | B) Clement Attlee | C) Neville Chamberlain | D) Winston Churchill;A) Stanley Baldwin | B) Clement Attlee | C) Neville Chamberlain | D) Winston Churchill;C;;;
2002;Politique;3;« Yes, America Can ! » était le slogan de campagne de facto de ce politicien américain en 2004.;"""Yes, America Can!"" was this United States politician's de facto campaign slogan in 2004.";A) Al Gore | B) Barack Obama | C) John Kerry | D) George W. Bush;A) Al Gore | B) Barack Obama | C) John Kerry | D) George W. Bush;D;;;
2003;Politique;1;Combien de membres compte la Chambre des représentants des États-Unis ?;How many people are in the U.S. House of Representatives?;A) 435 | B) 415 | C) 260 | D) 50;A) 435 | B) 415 | C) 260 | D) 50;A;;;
2004;Politique;2;Le film de 2014 « The Raid 2 : Berandal » a principalement été tourné dans quel pays asiatique ?;"The 2014 movie ""The Raid 2: Berandal"" was mainly filmed in which Asian country?";A) Malaisie | B) Indonésie | C) Brunéi | D) Thaïlande;A) Malaysia | B) Indonesia | C) Brunei | D) Thailand;B;;;
2005;Politique;3;En juin 2017, l'Arabie saoudite et l'Égypte ont rompu leurs relations avec quel pays en raison de son soutien présumé au terrorisme ?;In June 2017, Saudi Arabia and Egypt broke off ties with which country over its supposed support for terrorism?;A) Russie | B) Bahreïn | C) Qatar | D) États-Unis d'Amérique;A) Russia | B) Bahrain | C) Qatar | D) United States of America;C;;;
2006;Politique;1;Lequel des pays insulaires du Pacifique suivants est régi par une monarchie constitutionnelle ?;Which of the following Pacific Islander countries is ruled by a constitutional monarchy?;A) Tonga | B) Fidji | C) Kiribati | D) Palaos;A) Tonga | B) Fiji | C) Kiribati | D) Palau;A;;;
2007;Politique;3;Lequel des sénateurs américains suivants est connu pour avoir mené un flibustier parlementaire de 24 heures ?;Which of the following United States senators is known for performing a 24-hour long filibuster?;A) Strom Thurmond | B) John Barrasso | C) Chuck Schumer | D) Roy Blunt;A) Strom Thurmond | B) John Barrasso | C) Chuck Schumer | D) Roy Blunt;A;;;
2008;Politique;3;Quelle tribu/nation amérindienne exige au moins un demi degré de sang (équivalant à un parent) pour être éligible à l'adhésion ?;Which Native American tribe/nation requires at least one half blood quantum (equivalent to one parent) to be eligible for membership?;A) Tribu Sioux de Standing Rock | B) Tribu Kiowa de l'Oklahoma | C) Nation Pawnee de l'Oklahoma | D) Tribu Yomba Shoshone;A) Standing Rock Sioux Tribe | B) Kiowa Tribe of Oklahoma | C) Pawnee Nation of Oklahoma | D) Yomba Shoshone Tribe;D;;;
2009;Politique;1;À qui appartenait le slogan de campagne présidentielle 2016 « Make America Great Again » ?;"Whose 2016 presidential campaign slogan was ""Make America Great Again""?";A) Bernie Sanders | B) Marco Rubio | C) Ted Cruz | D) Donald Trump;A) Bernie Sanders | B) Marco Rubio | C) Ted Cruz | D) Donald Trump;D;;;
2010;Politique;2;Quel président américain est réputé avoir eu la barbe la plus longue ?;Which U.S. president is said to have had the longest beard?;A) John Quincy Adams | B) James A. Garfield | C) Zachary Taylor | D) Rutherford B. Hayes;A) John Quincy Adams | B) James A. Garfield | C) Zachary Taylor | D) Rutherford B. Hayes;D;;;
2011;Politique;2;Qui a succédé à Joseph Staline en tant que Secrétaire général du Parti communiste de l'Union soviétique ?;Who succeeded Joseph Stalin as General Secretary of the Communist Party of the Soviet Union?;A) Boris Eltsine | B) Mikhaïl Gorbatchev | C) Nikita Khrouchtchev | D) Leonid Brejnev;A) Boris Yeltsin | B) Mikhail Gorbachev | C) Nikita Khrushchev | D) Leonid Brezhnev;C;;;
2012;Politique;3;Quel est le seul président américain à avoir effectué deux mandats non consécutifs ?;Who is the only US president to serve two non-consecutive terms in office?;A) Franklin D. Roosevelt | B) Thomas Jefferson | C) Grover Cleveland | D) James K. Polk;A) Franklin D. Roosevelt | B) Thomas Jefferson | C) Grover Cleveland | D) James K. Polk;C;;;
2013;Politique;2;Avant 2016, en quelle autre année Donald Trump s'est-il présenté à la présidence ?;Before 2016, in which other year did Donald Trump run for President?;A) 2008 | B) 2000 | C) 2012 | D) 1988;A) 2008 | B) 2000 | C) 2012 | D) 1988;B;;;
2014;Politique;2;Quel ancien président américain a utilisé « Let's Make America Great Again » comme slogan de campagne avant Donald Trump ?;"Which former US president used ""Let's Make America Great Again"" as his campaign slogan before Donald Trump's campaign?";A) Jimmy Carter | B) Gerald Ford | C) Ronald Reagan | D) Richard Nixon;A) Jimmy Carter | B) Gerald Ford | C) Ronald Reagan | D) Richard Nixon;C;;;
