id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
539;Cinéma;2;"Quel réalisateur a réalisé le film 'Le Labyrinthe de Pan' ?";"Which director directed the movie 'Pan's Labyrinth'?";"A) Alfonso Cuarón | B) Guillermo Del Toro | C) Alejandro González Iñárritu | D) Alejandro Jodorowsky";"A) Alfonso Cuarón | B) Guillermo Del Toro | C) Alejandro González Iñárritu | D) Alejandro Jodorowsky";"B";"Guillermo Del Toro a réalisé Le Labyrinthe de Pan en 2006.";"Guillermo Del Toro directed Pan's Labyrinth in 2006.";"OpenTDB"
540;Cinéma;3;"En quelle année Clint Eastwood a-t-il joué l'inspecteur Harry Callahan dans 'Dirty Harry' ?";"In what year did Clint Eastwood star as Inspector Harry Callahan in 'Dirty Harry'?";"A) 1969 | B) 1971 | C) 1975 | D) 1983";"A) 1969 | B) 1971 | C) 1975 | D) 1983";"B";"Dirty Harry est sorti en 1971 avec Clint Eastwood.";"Dirty Harry was released in 1971 starring Clint Eastwood.";"OpenTDB"
541;Cinéma;2;"Qui a réalisé le film 'Alien' ?";"Who directed the movie 'Alien'?";"A) Christopher Nolan | B) Ridley Scott | C) Michael Bay | D) James Cameron";"A) Christopher Nolan | B) Ridley Scott | C) Michael Bay | D) James Cameron";"B";"Ridley Scott a réalisé Alien en 1979.";"Ridley Scott directed Alien in 1979.";"OpenTDB"
542;Cinéma;1;"Quel était le nom de famille de Dorothy dans 'Le Magicien d'Oz' ?";"What was Dorothy's surname in 'The Wizard Of Oz'?";"A) Perkins | B) Gale | C) Day | D) Parker";"A) Perkins | B) Gale | C) Day | D) Parker";"B";"Dorothy Gale est le personnage principal du Magicien d'Oz.";"Dorothy Gale is the main character of The Wizard of Oz.";"OpenTDB"
543;Cinéma;1;"Qui a réalisé les films Kill Bill ?";"Who directed the Kill Bill movies?";"A) Arnold Schwarzenegger | B) Quentin Tarantino | C) David Lean | D) Stanley Kubrick";"A) Arnold Schwarzenegger | B) Quentin Tarantino | C) David Lean | D) Stanley Kubrick";"B";"Quentin Tarantino a réalisé Kill Bill Vol. 1 et 2.";"Quentin Tarantino directed Kill Bill Vol. 1 and 2.";"OpenTDB"
544;Cinéma;2;"Dans le film 'Speed' (1994), quelle est la vitesse minimale du bus pour éviter l'explosion ?";"In the 1994 movie 'Speed', what is the minimum speed the bus must go to prevent the bomb from exploding?";"A) 60 mph | B) 50 mph | C) 40 mph | D) 70 mph";"A) 60 mph | B) 50 mph | C) 40 mph | D) 70 mph";"B";"Le bus doit maintenir une vitesse de 50 mph (80 km/h).";"The bus must maintain a speed of 50 mph.";"OpenTDB"
545;Cinéma;1;"Dans 'Seul au monde', comment s'appelle le meilleur ami du protagoniste sur l'île ?";"In the movie 'Cast Away' the main protagonist's best friend on the island is named?";"A) Carson | B) Wilson | C) Jackson | D) Willy";"A) Carson | B) Wilson | C) Jackson | D) Willy";"B";"Wilson est le ballon de volley-ball qui devient l'ami imaginaire de Chuck.";"Wilson is the volleyball that becomes Chuck's imaginary friend.";"OpenTDB"
546;Cinéma;1;"Qui a joué Samuel Gerard dans 'Le Fugitif' (1993) ?";"Who played Deputy Marshal Samuel Gerard in the 1993 film 'The Fugitive'?";"A) Harrison Ford | B) Tommy Lee Jones | C) Harvey Keitel | D) Martin Landau";"A) Harrison Ford | B) Tommy Lee Jones | C) Harvey Keitel | D) Martin Landau";"B";"Tommy Lee Jones a remporté l'Oscar pour ce rôle.";"Tommy Lee Jones won the Oscar for this role.";"OpenTDB"
547;Cinéma;1;"Quel film contient la réplique 'I feel the need... the need for speed!' ?";"This movie contains the quote, 'I feel the need ... the need for speed!'";"A) Days of Thunder | B) Top Gun | C) The Color of Money | D) Cocktail";"A) Days of Thunder | B) Top Gun | C) The Color of Money | D) Cocktail";"B";"Cette réplique culte vient de Top Gun (1986).";"This iconic quote comes from Top Gun (1986).";"OpenTDB"
548;Cinéma;2;"Susan Sarandon a attrapé une pneumonie pendant le tournage de quel film ?";"Actress Susan Sarandon caught pneumonia during filming of which movie?";"A) Thelma et Louise | B) The Rocky Horror Picture Show | C) Dead Man Walking | D) Enchanted";"A) Thelma and Louise | B) The Rocky Horror Picture Show | C) Dead Man Walking | D) Enchanted";"B";"Elle a eu une pneumonie à cause des scènes en sous-vêtements mouillés.";"She got pneumonia from scenes in wet undergarments.";"OpenTDB"
549;Cinéma;2;"Selon Star Wars, quelle est la planète natale de Han Solo ?";"According to the Star Wars lore, what is Han Solo's home planet?";"A) Tatooine | B) Corellia | C) Naboo | D) Coruscant";"A) Tatooine | B) Corellia | C) Naboo | D) Coruscant";"B";"Han Solo est originaire de Corellia.";"Han Solo is from Corellia.";"OpenTDB"
550;Cinéma;2;"Quel acteur a joué le rôle principal dans 'Edward aux mains d'argent' (1990) ?";"Which actor played the main character in the 1990 film 'Edward Scissorhands'?";"A) Clint Eastwood | B) Johnny Depp | C) Leonardo DiCaprio | D) Ben Stiller";"A) Clint Eastwood | B) Johnny Depp | C) Leonardo DiCaprio | D) Ben Stiller";"B";"Johnny Depp a joué Edward dans ce film de Tim Burton.";"Johnny Depp played Edward in this Tim Burton film.";"OpenTDB"
551;Cinéma;1;"Qui joue Alice dans les films Resident Evil ?";"Who plays Alice in the Resident Evil movies?";"A) Madison Derpe | B) Milla Jovovich | C) Milla Johnson | D) Kim Demp";"A) Madison Derpe | B) Milla Jovovich | C) Milla Johnson | D) Kim Demp";"B";"Milla Jovovich a joué Alice dans toute la franchise.";"Milla Jovovich played Alice throughout the franchise.";"OpenTDB"
552;Cinéma;1;"Qui a joué Batman dans le film de Tim Burton en 1989 ?";"Who starred as Bruce Wayne and Batman in Tim Burton's 1989 movie 'Batman'?";"A) George Clooney | B) Michael Keaton | C) Val Kilmer | D) Adam West";"A) George Clooney | B) Michael Keaton | C) Val Kilmer | D) Adam West";"B";"Michael Keaton a joué Batman dans les deux films de Tim Burton.";"Michael Keaton played Batman in both Tim Burton films.";"OpenTDB"
553;Cinéma;1;"Dans 'Blade Runner', comment appelle-t-on les androïdes humanoïdes ?";"In the movie 'Blade Runner', what is the term used for human-like androids?";"A) Cylons | B) Réplicants | C) Synthétiques | D) Skinjobs";"A) Cylons | B) Replicants | C) Synthetics | D) Skinjobs";"B";"Les réplicants sont les androïdes créés par Tyrell Corporation.";"Replicants are androids created by Tyrell Corporation.";"OpenTDB"
554;Cinéma;1;"Quel super-héros a été joué par Michael Keaton, Val Kilmer, George Clooney et Christian Bale ?";"What superhero has been played by Michael Keaton, Val Kilmer, George Clooney and Christian Bale?";"A) Superman | B) Batman | C) Iron Man | D) Spiderman";"A) Superman | B) Batman | C) Iron Man | D) Spiderman";"B";"Ces quatre acteurs ont tous joué Batman au cinéma.";"These four actors have all played Batman in cinema.";"OpenTDB"
555;Cinéma;2;"Quel acteur a joué dans 'Top Gun', 'Jerry Maguire' et 'Né un 4 juillet' ?";"Which star actor was in 'Top Gun', 'Jerry Maguire' and 'Born on the Fourth of July'?";"A) Kelly McGillis | B) Tom Cruise | C) John Travolta | D) George Clooney";"A) Kelly McGillis | B) Tom Cruise | C) John Travolta | D) George Clooney";"B";"Tom Cruise a joué dans ces trois films emblématiques.";"Tom Cruise starred in these three iconic films.";"OpenTDB"
556;Cinéma;1;"Qui a réalisé 'E.T. l'extra-terrestre' (1982) ?";"Who directed 'E.T. the Extra-Terrestrial' (1982)?";"A) Stanley Kubrick | B) Steven Spielberg | C) James Cameron | D) Tim Burton";"A) Stanley Kubrick | B) Steven Spielberg | C) James Cameron | D) Tim Burton";"B";"Steven Spielberg a réalisé ce classique du cinéma.";"Steven Spielberg directed this cinema classic.";"OpenTDB"
557;Cinéma;1;"Qui joue Ethan Hunt dans la série de films 'Mission: Impossible' ?";"Who plays protagonist Ethan Hunt in the 'Mission: Impossible' film-series?";"A) Johnny Depp | B) Tom Cruise | C) Sean Connery | D) Pierce Brosnan";"A) Johnny Depp | B) Tom Cruise | C) Sean Connery | D) Pierce Brosnan";"B";"Tom Cruise joue Ethan Hunt depuis 1996.";"Tom Cruise has played Ethan Hunt since 1996.";"OpenTDB"
558;Cinéma;2;"Dans 'Terminator' (1984), quel modèle est le Terminator joué par Schwarzenegger ?";"In the 1984 movie 'The Terminator', what model number is the Terminator portrayed by Arnold Schwarzenegger?";"A) I-950 | B) T-800 | C) T-888 | D) T-1000";"A) I-950 | B) T-800 | C) T-888 | D) T-1000";"B";"Le Terminator original est un T-800 modèle 101.";"The original Terminator is a T-800 Model 101.";"OpenTDB"
559;Cinéma;1;"Daniel Radcliffe est devenu célèbre grâce à quelle franchise ?";"Daniel Radcliffe became a global star due to his performance in which film franchise?";"A) Ted | B) Harry Potter | C) Spy Kids | D) Pirates des Caraïbes";"A) Ted | B) Harry Potter | C) Spy Kids | D) Pirates of the Caribbean";"B";"Daniel Radcliffe a joué Harry Potter de 2001 à 2011.";"Daniel Radcliffe played Harry Potter from 2001 to 2011.";"OpenTDB"
560;Cinéma;2;"En quelle année le film 'Titanic' de James Cameron est-il sorti ?";"What year did the James Cameron film 'Titanic' come out in theaters?";"A) 1996 | B) 1997 | C) 1998 | D) 1999";"A) 1996 | B) 1997 | C) 1998 | D) 1999";"B";"Titanic est sorti en 1997 et a remporté 11 Oscars.";"Titanic was released in 1997 and won 11 Oscars.";"OpenTDB"
561;Cinéma;3;"Que représentait la première image animée de l'histoire ?";"What did the first moving picture depict?";"A) Une femme en robe | B) Un cheval au galop | C) Un homme marchant | D) Un feu crépitant";"A) A woman in a dress | B) A galloping horse | C) A man walking | D) A crackling fire";"B";"Eadweard Muybridge a photographié un cheval au galop en 1878.";"Eadweard Muybridge photographed a galloping horse in 1878.";"OpenTDB"
858;Cinema;1;"Qui joue Jack Burton dans le film ""Big Trouble in Little China"" ?";"Who plays Jack Burton in the movie ""Big Trouble in Little China""?";"A) John Cusack | B) Patrick Swayze | C) Harrison Ford | D) Kurt Russell";"A) John Cusack | B) Patrick Swayze | C) Harrison Ford | D) Kurt Russell";D;"";"";"OpenTDB"
859;Cinema;1;"Quel est le nom de l'île sur laquelle est construit Jurassic Park ?";"What is the name of the island that Jurassic Park is built on?";"A) Isla Pena | B) Isla Muerta | C) Isla Nublar | D) Isla Sorna";"A) Isla Pena | B) Isla Muerta | C) Isla Nublar | D) Isla Sorna";C;"";"";"OpenTDB"
860;Cinema;2;"Quel comédien de stand-up a doublé le perroquet Iago dans Aladdin de Disney (1992) ?";"Which stand-up comedian voiced the parrot Iago in Disney's 1992 Aladdin?";"A) Robin Williams | B) Jonathan Freeman | C) Pauly Shore | D) Gilbert Gottfried";"A) Robin Williams | B) Jonathan Freeman | C) Pauly Shore | D) Gilbert Gottfried";D;"";"";"OpenTDB"
861;Cinema;1;"Dans Spaceballs, que les Spaceballs tentent-ils de voler à la planète Druidia ?";"In Spaceballs, what are the Spaceballs attempting to steal from Planet Druidia?";"A) Le Schwartz | B) La princesse Lonestar | C) De l'air | D) Des boulettes";"A) The Schwartz | B) Princess Lonestar | C) Air | D) Meatballs";C;"";"";"OpenTDB"
862;Cinema;1;"Qui a réalisé le film La Forme de l'eau (2017) ?";"Who directed the 2017 movie The Shape of Water?";"A) Steven Spielberg | B) James Cameron | C) Martin Scorsese | D) Guillermo del Toro";"A) Steven Spielberg | B) James Cameron | C) Martin Scorsese | D) Guillermo del Toro";D;"";"";"OpenTDB"
863;Cinema;2;"Dans John Wick, pourquoi le personnage sort-il de sa retraite ?";"In John Wick, why does John Wick get out of retirement?";"A) Il reçoit un coup de poing | B) Il a besoin d'argent | C) Il se fait braquer | D) Son chiot est tué et sa voiture est volée";"A) He was punched in the face | B) He needed money | C) He got mugged | D) His puppy is killed and his car was stolen";D;"";"";"OpenTDB"
864;Cinema;3;"Dans Taxi Driver (1976), combien de pistolets Travis achète-t-il au vendeur ?";"In the 1976 film Taxi Driver, how many guns did Travis buy from the salesman?";"A) 6 | B) 2 | C) 4 | D) 1";"A) 6 | B) 2 | C) 4 | D) 1";C;"";"";"OpenTDB"
