id;category;difficulty;question;choices;correct;explanation;source_hint
738;Technologie;2;In CSS, which value CANNOT be used with the 'position' property?;A) static | B) center | C) absolute | D) relative;B;'center' is not a valid value for position.;OpenTDB
739;Technologie;1;What does CPU stand for?;A) Central Process Unit | B) Central Processing Unit | C) Computer Personal Unit | D) Central Processor Unit;B;CPU stands for Central Processing Unit.;OpenTDB
740;Technologie;2;Which programming language was developed by Sun Microsystems in 1995?;A) Python | B) Java | C) Solaris OS | D) C++;B;Java was created by James Gosling at Sun.;OpenTDB
741;Technologie;1;What does GHz stand for?;A) Gigahotz | B) Gigahertz | C) Gigahetz | D) Gigahatz;B;GHz = Gigahertz, a measure of frequency.;OpenTDB
742;Technologie;1;What does the Prt Sc button do?;A) Nothing | B) Captures the screen and copies to clipboard | C) Saves a .png file | D) Closes all windows;B;Print Screen copies the screen to the clipboard.;OpenTDB
743;Technologie;1;What does LTS stand for in the software market?;A) Long Taco Service | B) Long Term Support | C) Ludicrous Transfer Speed | D) Ludicrous Turbo Speed;B;LTS = Long Term Support for stable versions.;OpenTDB
744;Technologie;2;In computing terms, what does CLI stand for?;A) Common Language Input | B) Command Line Interface | C) Control Line Interface | D) Common Language Interface;B;CLI = Command Line Interface.;OpenTDB
745;Technologie;2;When was the programming language 'C#' released?;A) 1998 | B) 2000 | C) 1999 | D) 2001;B;C# was developed by Microsoft and released in 2000.;OpenTDB
746;Technologie;2;What does RAID stand for?;A) Rapid Access for Indexed Devices | B) Redundant Array of Independent Disks | C) Range of Applications | D) Randomized Abstract Identification;B;RAID combines multiple disks for redundancy or performance.;OpenTDB
747;Technologie;1;On Twitter, what was the original character limit for a Tweet?;A) 120 | B) 140 | C) 160 | D) 100;B;The original 140 character limit was doubled in 2017.;OpenTDB
748;Technologie;1;In 'Hexadecimal', what color would be displayed from '#00FF00'?;A) Red | B) Green | C) Blue | D) Yellow;B;#00FF00 represents pure green (0 red, 255 green, 0 blue).;OpenTDB
749;Technologie;1;Which hardware device provides an interface for all other devices to communicate?;A) Central Processing Unit | B) Motherboard | C) Hard Disk Drive | D) Random Access Memory;B;The motherboard connects all computer components.;OpenTDB
750;Technologie;1;Which programming language shares its name with an island in Indonesia?;A) Python | B) Java | C) C | D) Jakarta;B;Java is an Indonesian island famous for its coffee.;OpenTDB
751;Technologie;1;How many kilobytes in one gigabyte (in decimal)?;A) 1024 | B) 1000000 | C) 1000 | D) 1048576;B;In decimal: 1 GB = 1000 MB = 1,000,000 KB.;OpenTDB
752;Technologie;1;How many values can a single byte represent?;A) 8 | B) 256 | C) 1 | D) 1024;B;A byte = 8 bits = 2^8 = 256 possible values.;OpenTDB
753;Technologie;1;Which computer language would you associate Django framework with?;A) C# | B) Python | C) C++ | D) Java;B;Django is a Python web framework created in 2005.;OpenTDB
754;Technologie;1;In computing, what does LAN stand for?;A) Long Antenna Node | B) Local Area Network | C) Light Access Node | D) Land Address Navigation;B;LAN = Local Area Network.;OpenTDB
755;Technologie;2;In programming, what do you call functions with the same name but different implementations?;A) Overloading | B) Overriding | C) Abstracting | D) Inheriting;A;Overloading allows multiple signatures for the same function.;OpenTDB
756;Technologie;2;Whistler was the codename of which Microsoft Operating System?;A) Windows 2000 | B) Windows XP | C) Windows 7 | D) Windows 95;B;Windows XP was called Whistler during development.;OpenTDB
757;Technologie;2;Unix Time is the number of seconds elapsed since when?;A) July 4, 1976 | B) Midnight, January 1, 1970 | C) Creator's birthday | D) July 4, 1980;B;Unix epoch starts on January 1, 1970 at midnight UTC.;OpenTDB
888;Technologie;2;The teapot often seen in 3D modeling applications is called what?;A) 3D Teapot | B) Utah Teapot | C) Tennessee Teapot | D) Pixar Teapot;B;;OpenTDB
889;Technologie;3;Who is the founder of Palantir?;A) Peter Thiel | B) Jack Dorsey | C) Marc Benioff | D) Mark Zuckerberg;A;;OpenTDB
890;Technologie;1;What does the MP stand for in MP3?;A) Moving Picture | B) Music Player | C) Multi Pass | D) Micro Point;A;;OpenTDB
891;Technologie;2;When did the online streaming service Mixer launch?;A) 2013 | B) 2011 | C) 2016 | D) 2009;C;;OpenTDB
892;Technologie;2;How many bits make up the significand of a single precision floating point number?;A) 8 | B) 53 | C) 23 | D) 15;C;;OpenTDB
893;Technologie;1;What language does Node.js use?;A) Java | B) Java Source | C) Joomla Source Code | D) JavaScript;D;;OpenTDB
894;Technologie;1;On Twitter, what was the original character limit for a tweet?;A) 120 | B) 140 | C) 160 | D) 100;B;;OpenTDB
895;Technologie;1;Which programming language shares its name with an island in Indonesia?;A) Java | B) C | C) Python | D) Jakarta;A;;OpenTDB
896;Technologie;3;What was the first company to use the term Golden Master?;A) IBM | B) Apple | C) Google | D) Microsoft;B;;OpenTDB
897;Technologie;1;How many values can a single byte represent?;A) 1024 | B) 8 | C) 1 | D) 256;D;;OpenTDB
1528;Technologie;2;Approximately how many Apple I personal computers were created?;A) 200 | B) 500 | C) 100 | D) 1000;A;;
1529;Technologie;2;"What does ""LCD"" stand for?";A) Last Common Difference | B) Long Continuous Design | C) Liquid Crystal Display | D) Language Control Design;C;;
1530;Technologie;2;What did the name of the Tor Anonymity Network orignially stand for?;A) The Only Router | B) The Ominous Router | C) The Orange Router | D) The Onion Router;D;;
1531;Technologie;1;The series of the Intel HD graphics generation succeeding that of the 5000 and 6000 series (Broadwell) is called:;A) HD Graphics 600 | B) HD Graphics 500 | C) HD Graphics 7000 | D) HD Graphics 700;B;;
1532;Technologie;3;"What was the first company to use the term ""Golden Master""?";A) Apple | B) Microsoft | C) Google | D) IBM;A;;
1533;Technologie;3;The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?;A) Marshall Islands | B) Tuvalu | C) Micronesia | D) Fiji;C;;
1534;Technologie;2;What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?;A) CPU Vent | B) Heat Vent | C) Heat Sink | D) Temperature Decipator;C;;
1535;Technologie;3;Which of the following computer components can be built using only NAND gates?;A) CPU | B) ALU | C) RAM | D) Register;B;;
1536;Technologie;1;When Gmail first launched, how much storage did it provide for your email?;A) 512MB | B) 5GB | C) 1GB | D) Unlimited;C;;
1537;Technologie;2;Linus Torvalds created which of these?;A) Wikipedia | B) Linux | C) Python | D) Microsoft Windows;B;;
1538;Technologie;3;What is the maximum value of a 32-bit signed binary integer?;A) 2,147,483,647 | B) 255 | C) 2048 | D) 9,223,372,036,854,775,807;A;;
1539;Technologie;2;In computing terms, typically what does CLI stand for?;A) Common Language Input | B) Common Language Interface | C) Control Line Interface | D) Command Line Interface;D;;
1540;Technologie;3;Which RAID array type is associated with data mirroring?;A) RAID 5 | B) RAID 10 | C) RAID 0 | D) RAID 1;D;;
1541;Technologie;2;"What does the DOS in Microsoft's first operating system ""MS-DOS"" stand for?";A) Dumb Operating System | B) Disk Operating System | C) Diskless Operating System | D) Driver Oriented System;B;;
1542;Technologie;3;America Online (AOL) started out as which of these online service providers?;A) Prodigy | B) GEnie | C) CompuServe | D) Quantum Link;D;;
1543;Technologie;1;What is the code name for the mobile operating system Android 7.0?;A) Ice Cream Sandwich | B) Jelly Bean | C) Marshmallow | D) Nougat;D;;
1544;Technologie;2;.at is the top-level domain for what country?;A) Angola | B) Austria | C) Australia | D) Argentina;B;;
1545;Technologie;2;What was the first commerically available computer processor?;A) Intel 486SX | B) Intel 4004 | C) AMD AM386 | D) TMS 1000;B;;
1546;Technologie;1;Which SQL keyword is used to fetch data from a database?;A) EXEC | B) INDEX | C) SELECT | D) VALUES;C;;
1547;Technologie;2;How many cores does the Intel i7-6950X have?;A) 12 | B) 4 | C) 10 | D) 8;C;;
1548;Technologie;2;Which internet company began life as an online bookstore called 'Cadabra'?;A) eBay | B) Shopify | C) Overstock | D) Amazon;D;;
1549;Technologie;2;While Apple was formed in California, in which western state was Microsoft founded?;A) Colorado | B) New Mexico | C) Washington | D) Arizona;B;;
1550;Technologie;2;In HTML, which non-standard tag used to be be used to make elements scroll across the viewport?;A) <marquee></marquee> | B) <move></move> | C) <slide></slide> | D) <scroll></scroll>;A;;
1551;Technologie;2;Whistler was the codename of this Microsoft Operating System.;A) Windows 2000 | B) Windows XP | C) Windows 7 | D) Windows 95;B;;
1552;Technologie;3;"The acronym ""RIP"" stands for which of these?";A) Regular Interval Processes | B) Routing Information Protocol | C) Runtime Instance Processes | D) Routine Inspection Protocol;B;;
1553;Technologie;2;Which operating system was released first?;A) Linux | B) Windows | C) OS/2 | D) Mac OS;D;;
