id;category;difficulty;question;choices;correct;explanation;source_hint
2020;Art;1;What is another name for La Gioconda / La Joconde?;A) The Starry Night | B) The Mona Lisa | C) The Girl with a Pearl Earring | D) Sunflowers;B;;
2021;Art;1;What is the name of the Japanese art of folding paper into decorative shapes and figures?;A) Ukiyo-e | B) Sumi-e | C) Haiku | D) Origami;D;;
2022;Art;3;"Who painted ""American Gothic""?";A) Pablo Picasso | B) Marc Chagall | C) Anita Malfatti | D) Grant Wood;D;;
2023;Art;1;What is the world's oldest known piece of fiction?;A) Papyrus of Ani | B) Epic of Gilgamesh | C) Code of Hammurabi | D) Rosetta Stone;B;;
2024;Art;2;Which time signature is commonly known as “Cut Time?”;A) 2/2 | B) 3/4 | C) 4/4 | D) 6/8;A;;
2025;Art;1;Which artist is famous for cutting off his ear?;A) Rembrandt | B) Michelangelo | C) Salvador Dali | D) Vincent van Gogh;D;;
2026;Art;2;Which of these are the name of a famous marker brand?;A) Marx | B) Dopix | C) Copic | D) Cofix;C;;
2027;Art;2;"In ""Last Supper"" by Leonardo Da Vinci, what two colors were the robes worn by Jesus?";A) Red and Black | B) Red and White | C) Red and Blue | D) Red and Yellow;C;;
2028;Art;1;Which artist painted the late 15th century mural 'The Last Supper'?;A) Luca Pacioli | B) Paolo Uccello | C) Piero della Francesca | D) Leonardo da Vinci;D;;
2029;Art;2;What were Marcel Duchamp's readymades?;A) utilitarian objects elevated to the status of art | B) paintings with a barely visible outlined square | C) a series focused on color and light as opposed to line and shape | D) a group of identical steel boxes jutting from the wall;A;;
2030;Art;3;Painter Piet Mondrian (1872 - 1944) was a part of what movement?;A) Impressionism | B) Neoplasticism | C) Cubism | D) Precisionism;B;;
2031;Art;3;Paul Gauguin moved to which country in 1895?;A) Lithuania | B) France | C) Tahiti | D) Atuona;C;;
2032;Art;2;Who painted the epic mural Guernica?;A) Pablo Picasso | B) Leonardo da Vinci | C) Henri Matisse | D) Francisco Goya;A;;
2033;Art;1;What is a fundamental element of the Gothic style of architecture?;A) pointed arch | B) façades surmounted by a pediment | C) internal frescoes | D) coffered ceilings;A;;
2034;Art;3;What nationality was the famous artist Van Gogh?;A) French | B) Russian | C) Polish | D) Dutch;D;;
2035;Art;2;"Who painted the painting ""Nighthawks""?";A) Salvador Dali | B) Vincent van Gogh | C) Johannes Vermeer | D) Edward Hopper;D;;
2036;Art;2;Which one of these paintings is not by Caspar David Friedrich?;A) Wanderer above the Sea of Fog | B) The Monk by the Sea | C) The Sea of Ice | D) The Black Sea;D;;
2037;Art;2;Who designed the Chupa Chups logo?;A) Vincent van Gogh | B) Andy Warhol | C) Salvador Dali | D) Pablo Picasso;C;;
2038;Art;3;"What year did Albrecht Dürer create the painting ""The Young Hare""?";A) 1402 | B) 1602 | C) 1502 | D) 1702;C;;
2039;Art;3;What French sculptor designed the Statue of Liberty?;A) Henri Matisse | B) Frédéric Auguste Bartholdi | C) Jean-Léon Gérôme | D) Auguste Rodin;B;;
2040;Art;2;What nationality was the surrealist painter Salvador Dali?;A) Italian | B) French | C) Spanish | D) Portuguese;C;;
2041;Art;3;What was the major distinction between the English and French Gothic styles of architecture?;A) Hemispherical Domes | B) Gargoyles | C) Fan vaulting | D) Pinnacles;C;;
2042;Art;2;Which of these paintings did Johannes Vermeer not paint?;A) Bacchus | B) The Milkmaid | C) Girl with a Pearl Earring | D) The Lacemaker;A;;
2043;Art;1;Which painting was not made by Vincent Van Gogh?;A) Bedroom In Arles | B) Café Terrace at Night | C) The Ninth Wave | D) Starry Night;C;;
2044;Art;2;Which artist's studio was known as 'The Factory'?;A) Andy Warhol | B) David Hockney | C) Roy Lichtenstein | D) Peter Blake;A;;
2045;Art;3;Which art movement was Pablo Picasso known for co-founding?;A) Impressionism | B) Expressionism | C) Futurism | D) Cubism;D;;
2046;Art;3;What nationality was the famous artist Pablo Picasso?;A) Italian | B) French | C) German | D) Spanish;D;;
2047;Art;2;Which artist's style was to use small different colored dots to create a picture?;A) Paul Cézanne | B) Georges Seurat | C) Vincent Van Gogh | D) Henri Rousseau;B;;
2048;Art;3;"The painting ""Guernica"" by Pablo Picasso expressed emotions of dread in response to which war?";A) World War I | B) The Crimean War | C) Spanish-American War | D) Spanish Civil War;D;;
2049;Art;1;Which Van Gogh painting depicts the view from his asylum in Saint-Rémy-de-Provence in southern France?;A) The Church at Auvers | B) The Sower with Setting Sun | C) Wheatfields with Crows | D) The Starry Night;D;;
