id;category;difficulty;question;choices;correct;explanation;source_hint
539;Cinéma;2;Which director directed the movie 'Pan's Labyrinth'?;A) Alfonso Cuarón | B) Guillermo Del Toro | C) Alejandro González Iñárritu | D) Alejandro Jodorowsky;B;Guillermo Del Toro directed Pan's Labyrinth in 2006.;OpenTDB
540;Cinéma;3;In what year did Clint Eastwood star as Inspector Harry Callahan in 'Dirty Harry'?;A) 1969 | B) 1971 | C) 1975 | D) 1983;B;Dirty Harry was released in 1971 starring Clint Eastwood.;OpenTDB
541;Cinéma;2;Who directed the movie 'Alien'?;A) Christopher Nolan | B) Ridley Scott | C) Michael Bay | D) James Cameron;B;Ridley Scott directed Alien in 1979.;OpenTDB
542;Cinéma;1;What was Dorothy's surname in 'The Wizard Of Oz'?;A) Perkins | B) Gale | C) Day | D) Parker;B;Dorothy Gale is the main character of The Wizard of Oz.;OpenTDB
543;Cinéma;1;Who directed the Kill Bill movies?;A) Arnold Schwarzenegger | B) Quentin Tarantino | C) David Lean | D) Stanley Kubrick;B;Quentin Tarantino directed Kill Bill Vol. 1 and 2.;OpenTDB
544;Cinéma;2;In the 1994 movie 'Speed', what is the minimum speed the bus must go to prevent the bomb from exploding?;A) 60 mph | B) 50 mph | C) 40 mph | D) 70 mph;B;The bus must maintain a speed of 50 mph.;OpenTDB
545;Cinéma;1;In the movie 'Cast Away' the main protagonist's best friend on the island is named?;A) Carson | B) Wilson | C) Jackson | D) Willy;B;Wilson is the volleyball that becomes Chuck's imaginary friend.;OpenTDB
546;Cinéma;1;Who played Deputy Marshal Samuel Gerard in the 1993 film 'The Fugitive'?;A) Harrison Ford | B) Tommy Lee Jones | C) Harvey Keitel | D) Martin Landau;B;Tommy Lee Jones won the Oscar for this role.;OpenTDB
547;Cinéma;1;This movie contains the quote, 'I feel the need ... the need for speed!';A) Days of Thunder | B) Top Gun | C) The Color of Money | D) Cocktail;B;This iconic quote comes from Top Gun (1986).;OpenTDB
548;Cinéma;2;Actress Susan Sarandon caught pneumonia during filming of which movie?;A) Thelma and Louise | B) The Rocky Horror Picture Show | C) Dead Man Walking | D) Enchanted;B;She got pneumonia from scenes in wet undergarments.;OpenTDB
549;Cinéma;2;According to the Star Wars lore, what is Han Solo's home planet?;A) Tatooine | B) Corellia | C) Naboo | D) Coruscant;B;Han Solo is from Corellia.;OpenTDB
550;Cinéma;2;Which actor played the main character in the 1990 film 'Edward Scissorhands'?;A) Clint Eastwood | B) Johnny Depp | C) Leonardo DiCaprio | D) Ben Stiller;B;Johnny Depp played Edward in this Tim Burton film.;OpenTDB
551;Cinéma;1;Who plays Alice in the Resident Evil movies?;A) Madison Derpe | B) Milla Jovovich | C) Milla Johnson | D) Kim Demp;B;Milla Jovovich played Alice throughout the franchise.;OpenTDB
552;Cinéma;1;Who starred as Bruce Wayne and Batman in Tim Burton's 1989 movie 'Batman'?;A) George Clooney | B) Michael Keaton | C) Val Kilmer | D) Adam West;B;Michael Keaton played Batman in both Tim Burton films.;OpenTDB
553;Cinéma;1;In the movie 'Blade Runner', what is the term used for human-like androids?;A) Cylons | B) Replicants | C) Synthetics | D) Skinjobs;B;Replicants are androids created by Tyrell Corporation.;OpenTDB
