id;category;difficulty;question;choices;correct;explanation;source_hint
2084;Anime & Manga;2;Quand le premier épisode de Soul Eater a-t-il été diffusé ?;A) 2011 | B) 2005 | C) 2003 | D) 2008;D;;
2085;Anime & Manga;2;"Dans la série anime ""Fullmetal Alchemist"", qu'est-ce que les alchimistes considèrent comme le plus grand tabou ?";A) Transmuter le plomb en or | B) La transmutation humaine | C) Pratiquer sans permis | D) Utiliser l'alchimie pour des crimes;B;;
2086;Anime & Manga;1;"Sur quel support ""Clannad"" a-t-il été créé à l'origine ?";A) Manga | B) Light novel | C) Anime | D) Roman visuel;D;;
2087;Anime & Manga;2;"Dans ""One Piece"", lequel des éléments suivants N'EST PAS une Arme Antique ?";A) Uranus | B) Poséidon | C) Pluton | D) Jupiter;D;;
2088;Anime & Manga;2;"Qui a écrit et réalisé le film d'animation ""Le Voyage de Chihiro"" (2001) ?";A) Hidetaka Miyazaki | B) Hayao Miyazaki | C) Mamoru Hosoda | D) Isao Takahata;B;;
2089;Anime & Manga;1;"Dans ""Log Horizon"", les personnages sont piégés dans quel jeu ?";A) Sword Art Online | B) Elder Tale | C) Yggdrasil | D) Tower Unite;B;;
2090;Anime & Manga;1;Dans La Femme de ménage dragon de Miss Kobayashi, qui est la bonne de Kobayashi ?;A) Elma | B) Lucoa | C) Tohru | D) Kanna;C;;
2091;Anime & Manga;1;"Quel anime met largement en avant la musique du genre ""Eurobeat"" ?";A) Wangan Midnight | B) Cowboy Bebop | C) Initial D | D) Kino no Tabi;C;;
2092;Anime & Manga;2;"Quelle était la raison de l'interdiction de l'épisode 35 de la série anime ""Pokémon"" originale ?";A) Images stroboscopiques | B) Violence excessive | C) Jynx | D) Utilisation d'armes à feu;D;;
2093;Anime & Manga;2;Qui est le personnage principal de One Piece ?;A) Zoro | B) Luffy | C) Shanks | D) Smoker;B;;
2094;Anime & Manga;1;"Quel est le générique de ""Neon Genesis Evangelion"" ?";A) A Cruel Angel's Thesis | B) Requiem for a Dream | C) God Knows | D) Stardust Crusaders;A;;
2095;Anime & Manga;1;Comment s'appelle le lion en peluche dans Bleach ?;A) Jo | B) Kon | C) Urdiu | D) Chad;B;;
2096;Anime & Manga;2;Dans Pokémon Chronicles, pourquoi Misty avait-elle peur de Gyarados ?;A) Il l'avait gravement blessée. | B) Elle avait rampé dans sa gueule bébé. | C) Elle le trouvait effrayant. | D) C'est en partie un type Insecte.;B;;
2097;Anime & Manga;1;"Qui est l'auteur de la série manga ""Astro Boy"" ?";A) Takao Saito | B) Mitsuteri Yokoyama | C) Yoshihiro Tatsumi | D) Osamu Tezuka;D;;
