id;category;difficulty;question;choices;correct;explanation;source_hint
610;Histoire;2;Le système de défense stratégique américain pendant la Guerre Froide était surnommé d'après quel film ?;A) Jaws | B) Star Wars | C) Blade Runner | D) Alien;B;L'Initiative de défense stratégique était surnommée 'Star Wars'.;OpenTDB
611;Histoire;3;Quelle bataille navale fut le tournant du théâtre Pacifique pendant la Seconde Guerre mondiale ?;A) Attaque de Truk | B) Bataille de Midway | C) Pearl Harbor | D) Bataille de la mer de Corail;B;La bataille de Midway en juin 1942 a renversé la situation.;OpenTDB
612;Histoire;3;En quelle année le Canada a-t-il été fondé ?;A) 1798 | B) 1867 | C) 1859 | D) 1668;B;Le Canada est devenu un dominion le 1er juillet 1867.;OpenTDB
613;Histoire;1;Qui a chevauché pour avertir les Minutemen de l'arrivée des Britanniques ?;A) Thomas Paine | B) Paul Revere | C) Henry Longfellow | D) Nathan Hale;B;Paul Revere a fait sa célèbre chevauchée le 18 avril 1775.;OpenTDB
614;Histoire;1;Quel maréchal allemand était surnommé le 'Renard du désert' ?;A) Ernst Busch | B) Erwin Rommel | C) Wolfram von Richthofen | D) Wilhelm List;B;Rommel a commandé l'Afrika Korps en Afrique du Nord.;OpenTDB
615;Histoire;2;Quel était le nom de l'invasion planifiée du Japon à la fin de la WWII ?;A) Operation Boarding Party | B) Operation Downfall | C) Operation Ironclad | D) Operation Aflame;B;Operation Downfall a été annulée après les bombes atomiques.;OpenTDB
616;Histoire;2;Quand la République populaire de Chine a-t-elle été fondée ?;A) 3 avril 1947 | B) 1er octobre 1949 | C) 7 mai 1945 | D) 6 décembre 1950;B;Mao Zedong a proclamé la RPC le 1er octobre 1949.;OpenTDB
617;Histoire;2;Qui était le dirigeant du Parti communiste de Yougoslavie ?;A) Karadjordje Petrovic | B) Josip Broz Tito | C) Milos Obilic | D) Aleskandar Petrovic;B;Tito a dirigé la Yougoslavie de 1945 à 1980.;OpenTDB
618;Histoire;3;Quel empereur byzantin a commandé la construction de Sainte-Sophie ?;A) Constantin IV | B) Justinien Ier | C) Arcadius | D) Théodose le Grand;B;Justinien Ier a fait construire Sainte-Sophie entre 532 et 537.;OpenTDB
619;Histoire;1;La 'Piste des Larmes' résulte de la politique de quel président américain ?;A) Harry S. Truman | B) Andrew Jackson | C) Martin Van Buren | D) John Quincy Adams;B;Andrew Jackson a signé l'Indian Removal Act en 1830.;OpenTDB
620;Histoire;2;Quel bâtiment a été incendié le 24 août 1812 ?;A) Parlement | B) La Maison Blanche | C) Assemblée nationale | D) Palais de la Nation;B;Les Britanniques ont brûlé la Maison Blanche pendant la guerre de 1812.;OpenTDB
621;Histoire;2;En quelle année le dernier cas naturel de variole a-t-il été documenté ?;A) 1982 | B) 1977 | C) 1980 | D) 1990;B;Le dernier cas naturel a été en Somalie en 1977.;OpenTDB
622;Histoire;3;Toussaint Louverture a mené une révolte d'esclaves dans quel pays ?;A) France | B) Haïti | C) Cuba | D) États-Unis;B;Il a mené la révolution haïtienne de 1791 à 1804.;OpenTDB
623;Histoire;1;Quand la bataille de la Somme a-t-elle commencé ?;A) 1er août 1916 | B) 1er juillet 1916 | C) 2 juillet 1916 | D) 30 juin 1916;B;La bataille de la Somme a débuté le 1er juillet 1916.;OpenTDB
624;Histoire;1;Qui fut le premier président des États-Unis ?;A) James Madison | B) George Washington | C) Thomas Jefferson | D) James K. Polk;B;George Washington a été président de 1789 à 1797.;OpenTDB
625;Histoire;1;Quel pays a rejoint l'UE en 2013 ?;A) Bulgarie | B) Croatie | C) Slovénie | D) Turquie;B;La Croatie est devenue le 28e membre de l'UE.;OpenTDB
626;Histoire;1;Laquelle n'était PAS une plage du débarquement en Normandie ?;A) Gold | B) Silver | C) Juno | D) Sword;B;Les plages étaient Utah, Omaha, Gold, Juno et Sword.;OpenTDB
627;Histoire;1;En 1945, sur quelles villes japonaises les États-Unis ont-ils largué des bombes atomiques ?;A) Kawasaki | B) Nagasaki | C) Tokyo | D) Kagoshima;B;Nagasaki a été bombardée le 9 août 1945.;OpenTDB
628;Histoire;1;En quelle année la centrale de Tchernobyl a-t-elle explosé ?;A) 1991 | B) 1986 | C) 1975 | D) 1998;B;La catastrophe de Tchernobyl s'est produite le 26 avril 1986.;OpenTDB
629;Histoire;1;Qui a mené la Révolution communiste en Russie ?;A) Joseph Staline | B) Vladimir Lénine | C) Vladimir Poutine | D) Mikhaïl Gorbatchev;B;Lénine a dirigé la révolution d'Octobre en 1917.;OpenTDB
928;Histoire;2;Dans quelle ville la Grande Puanteur de 1858 a-t-elle eu lieu ?;A) New York | B) Berlin | C) Moscou | D) Londres;D;;OpenTDB
929;Histoire;3;Quel roi d'Angleterre était marié à Aliénor d'Aquitaine ?;A) Richard Ier | B) Henri V | C) Henri II | D) Henri Ier;C;;OpenTDB
930;Histoire;3;Quel roi d'Angleterre a dû faire face à la Révolte des paysans en 1381 ?;A) Édouard II | B) Henri IV | C) Richard II | D) Édouard III;C;;OpenTDB
931;Histoire;3;Quand le siège de Leningrad a-t-il été levé pendant la Seconde Guerre mondiale ?;A) Novembre 1943 | B) Janvier 1944 | C) Mars 1944 | D) Septembre 1943;B;;OpenTDB
932;Histoire;1;En quelle année l'invasion du Koweït par l'Irak a-t-elle eu lieu ?;A) 1986 | B) 1990 | C) 1992 | D) 1988;B;;OpenTDB
933;Histoire;3;La révolte de Bohême (1618) a commencé après que des protestants de Prague aient fait quoi à leurs régents catholiques ?;A) Ils les ont mis au pilori | B) Ils les ont pendus | C) Ils ont insulté leurs mères | D) Ils les ont jetés par la fenêtre;D;;OpenTDB
934;Histoire;3;Les armoiries du roi d'Espagne contiennent aussi les armes de quel autre ancien royaume ibérique ?;A) Galice | B) Catalogne | C) Grenade | D) Navarre;D;;OpenTDB
935;Histoire;3;Quel était le nom du réseau d'espionnage qui aida les États-Unis à remporter la Guerre d'indépendance ?;A) New York Spy Ring | B) Washington's Spies | C) Sans nom officiel | D) Culper Ring;D;;OpenTDB
936;Histoire;2;La guerre de Corée a commencé en quelle année ?;A) 1950 | B) 1960 | C) 1945 | D) 1912;A;;OpenTDB
937;Histoire;1;Quelle était la monnaie officielle allemande jusqu'en 2002 ?;A) Livre sterling | B) Mark | C) Reichstoken | D) Franc;B;;OpenTDB
1919;Histoire;2;Lequel des peuples suivants du Proche-Orient ancien existe encore en tant que groupe ethnique moderne ?;A) Babyloniens | B) Élamites | C) Assyriens | D) Hittites;C;;
1920;Histoire;3;Quelle était la première capitale du Canada ?;A) Toronto | B) Kingston | C) Ottawa | D) Montréal;B;;
1921;Histoire;3;La Révolte de Bohême (1618-1620) débuta après que des protestants de Prague firent quoi à leurs seigneurs régents catholiques ?;A) Insultèrent leurs mères | B) Les enfermèrent dans des carcans | C) Les jetèrent par une fenêtre | D) Les pendirent.;C;;
1922;Histoire;1;Quel fut le premier sport pratiqué sur la Lune ?;A) Football | B) Golf | C) Tennis | D) Football américain;B;;
1923;Histoire;2;Quel Européen est considéré comme le premier à avoir « découvert » la Nouvelle-Zélande ?;A) Abel Tasman | B) Christophe Colomb | C) Jeanne Baré | D) John Cabot;A;;
1924;Histoire;2;Quand la Norvège s'est-elle libérée de la Suède ?;A) 1925 | B) 1834 | C) 1814 | D) 1905;D;;
1925;Histoire;2;Joseph Smith était le fondateur de quelle religion ?;A) L'hindouisme | B) Le christianisme | C) Le bouddhisme | D) Le mormonisme;D;;
