id;category;difficulty;question;choices;correct;explanation;source_hint
1498;Jeux;1;When was the board game Twister, released to the public?;A) April 1966 | B) February 1966 | C) January 1969 | D) September 1965;A;;OpenTDB
1499;Jeux;1;In chess, which is a characteristic of the King's Gambit?;A) Sacrificing the king for a queen | B) Sacrificing a pawn | C) Castling kingside | D) Moving the king on the 2nd move;B;;OpenTDB
1500;Jeux;2;"In ""Magic: The Gathering"", during the design for Planar Chaos, what color did the developers think of adding in as the sixth color?";A) Brown | B) Orange | C) Purple | D) Pink;C;;OpenTDB
1501;Jeux;2;What special item did the creators of Cards Against Humanity ship for their Black Friday pack?;A) A Racist Toy | B) A Card Expansion | C) Cat Urine | D) Bull Feces;D;;OpenTDB
1502;Jeux;1;Carcassonne is based on which French town?;A) Clermont-Ferrand | B) Paris | C) Carcassonne | D) Marseille;C;;OpenTDB
1503;Jeux;3;What is the sum of all the tiles in a standard box of Scrabble?;A) 177 | B) 197 | C) 187 | D) 207;C;;OpenTDB
1504;Jeux;3;Which Pokemon is #39 in the National Pokedex?;A) Psyduck | B) Jigglypuff | C) Pikachu | D) Fearow;B;;OpenTDB
1505;Jeux;1;Which of the following is NOT a class in Dungeons and Dragons 5e?;A) Engineer | B) Paladin | C) Bard | D) Fighter;A;;OpenTDB
1506;Jeux;3;In standard Monopoly, what's the rent if you land on Park Place with no houses?;A) $35 | B) $50 | C) $45 | D) $30;A;;OpenTDB
1507;Jeux;1;In Dungeons and Dragons (5th edition), what stat do you normally add onto your initiative die roll?;A) Speed | B) Strength | C) Dexterity | D) Wisdom;C;;OpenTDB
1508;Jeux;3;"Some of the ""Fallen Empires"" cards from ""Magic: The Gathering"" were misprinted on the backs of which other card game?";A) Yu-Gi-Oh | B) Dominion | C) Pokemon | D) Wyvern;D;;OpenTDB
1509;Jeux;2;Europa Universalis is a strategy video game based on which French board game?;A) Power in Europe | B) Europa Universalis | C) Europa! | D) Europe and the Universe;B;;OpenTDB
1510;Jeux;3;In Magic: The Gathering, which of the following was the first publicly released foil card?;A) Beast of Burden | B) Lightning Dragon | C) Dirtcowl Wurm | D) Revenant;B;;OpenTDB
1511;Jeux;3;"The board game ""Ra"" was designed by which designer?";A) Uwe Rosenburg | B) Allison Kline | C) Bruno Cathala | D) Reiner Knizia;D;;OpenTDB
1512;Jeux;3;What is the world's oldest board game?;A) Senet | B) Chess | C) Go | D) Checkers;A;;OpenTDB
1513;Jeux;1;The board game Monopoly takes its street names from which real American city?;A) Charleston, South Carolina | B) Atlantic City, New Jersey | C) Duluth, Minnesota | D) Las Vegas, Nevada;B;;OpenTDB
1514;Jeux;2;"What type is ""Magic Drain"" in Yugioh! Trading Card Game?";A) Counter Trap | B) Field Spell | C) Normal Trap | D) Quick-Play Spell;A;;OpenTDB
1515;Jeux;2;"In poker, ""EV"" means what?";A) Equity Variation | B) Expected Value | C) Equity Value | D) Equivalent Variation;B;;OpenTDB
1516;Jeux;1;On a standard Monopoly board, which square is diagonally opposite 'Go'?;A) Go to Jail | B) The Electric Company | C) Free Parking | D) Jail;C;;OpenTDB
1517;Jeux;1;What is the maximum level you can have in a single class in Dungeons and Dragons (5e)?;A) 25 | B) 15 | C) 30 | D) 20;D;;OpenTDB
1518;Jeux;2;About how many Slinkys were sold in their first 60 years (from 1945 to 2005)?;A) 450 Million | B) 100 Million | C) 1 Billion | D) 300 Million;D;;OpenTDB
1519;Jeux;3;Which board game was first released on February 6th, 1935?;A) Monopoly | B) Clue | C) Candy Land | D) Risk;A;;OpenTDB
1520;Jeux;2;Which of the following characters is not in the board game Clue?;A) Miss Scarlet | B) Reverend Green | C) Mister Indigo | D) Colonel Mustard;C;;OpenTDB
1521;Jeux;2;"In ""Magic: The Gathering"", what instant card has the highest converted mana cost?";A) Vitalizing Wind | B) Blinkmoth Infusion | C) Assert Authority | D) Chant of Vitu-Ghazi;B;;OpenTDB
1522;Jeux;1;How many dice are used in the game of Yahtzee?;A) Four | B) Five | C) Eight | D) Six;B;;OpenTDB
1523;Jeux;2;Who was world chess champion between 1894 and 1921;A) Bobby Fischer | B) Wilhelm Steinitz | C) José Raúl Capablanca | D) Emanuel Lasker;D;;OpenTDB
1524;Jeux;3;"What was the development code name for the ""Urza's Destiny"" expansion for ""Magic: The Gathering"", released in 1999?";A) Chimichanga | B) Burrito | C) Enchilada | D) Taquito;A;;OpenTDB
1525;Jeux;3;Which character class in Dungeons and Dragons 5th edition gains it's powers from making a pact with a being of higher power?;A) Wizard | B) Warlock | C) Cleric | D) Sorceror;B;;OpenTDB
1526;Jeux;1;How many spaces are there on a standard Monopoly board?;A) 36 | B) 55 | C) 28 | D) 40;D;;OpenTDB
1527;Jeux;3;What is the most challenging monster in the Dungeons & Dragons 5th Edition Monster Manual?;A) Displacer Beast | B) Lich | C) Beholder | D) Tarrasque;D;;OpenTDB
