id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
718;Sports;2;"Quelle équipe a remporté le titre NBA 2015-2016 ?";"Which team was the 2015-2016 NBA Champions?";"A) Golden State Warriors | B) Cleveland Cavaliers | C) Toronto Raptors | D) Oklahoma City Thunder";"A) Golden State Warriors | B) Cleveland Cavaliers | C) Toronto Raptors | D) Oklahoma City Thunder";"B";"Les Cavaliers ont gagné après avoir été menés 3-1 en finale.";"The Cavaliers won after being down 3-1 in the finals.";"OpenTDB"
719;Sports;1;"Au baseball, combien de balles hors zone faut-il pour obtenir un 'walk' ?";"In Baseball, how many balls outside the strike zone for a walk?";"A) 1 | B) 4 | C) 2 | D) 3";"A) 1 | B) 4 | C) 2 | D) 3";"B";"Quatre balles hors zone permettent au batteur d'aller en première base.";"Four balls outside the zone allow the batter to walk to first base.";"OpenTDB"
720;Sports;1;"Quelle équipe a remporté le plus de Coupes Stanley en NHL ?";"Which team has won the most Stanley Cups in the NHL?";"A) Chicago Blackhawks | B) Canadiens de Montréal | C) Toronto Maple Leafs | D) Detroit Red Wings";"A) Chicago Blackhawks | B) Montreal Canadiens | C) Toronto Maple Leafs | D) Detroit Red Wings";"B";"Les Canadiens ont remporté 24 Coupes Stanley.";"The Canadiens have won 24 Stanley Cups.";"OpenTDB"
721;Sports;1;"Quelle équipe l'Angleterre a-t-elle battue en finale de la Coupe du Monde 1966 ?";"What team did England beat in the 1966 World Cup final?";"A) URSS | B) Allemagne de l'Ouest | C) Portugal | D) Brésil";"A) Soviet Union | B) West Germany | C) Portugal | D) Brazil";"B";"L'Angleterre a battu l'Allemagne de l'Ouest 4-2 en prolongation.";"England beat West Germany 4-2 in extra time.";"OpenTDB"
722;Sports;1;"Quel pays a accueilli la Coupe du Monde FIFA 2022 ?";"Which country hosted the 2022 FIFA World Cup?";"A) USA | B) Qatar | C) Japon | D) Suisse";"A) USA | B) Qatar | C) Japan | D) Switzerland";"B";"Le Qatar a accueilli la première Coupe du Monde au Moyen-Orient.";"Qatar hosted the first World Cup in the Middle East.";"OpenTDB"
723;Sports;1;"Quel était le score du match Brésil - Allemagne à la Coupe du Monde 2014 ?";"In the 2014 FIFA World Cup, what was the final score Brazil - Germany?";"A) 1-5 | B) 1-7 | C) 1-6 | D) 2-6";"A) 1-5 | B) 1-7 | C) 1-6 | D) 2-6";"B";"L'Allemagne a infligé une défaite historique au Brésil.";"Germany inflicted a historic defeat on Brazil.";"OpenTDB"
724;Sports;1;"Quelle équipe NFL joue pour la Nouvelle-Angleterre ?";"Which NFL team plays for New England?";"A) Chiefs | B) Patriots | C) Dolphins | D) 49ers";"A) Chiefs | B) Patriots | C) Dolphins | D) 49ers";"B";"Les New England Patriots sont basés à Foxborough, Massachusetts.";"The New England Patriots are based in Foxborough, Massachusetts.";"OpenTDB"
725;Sports;1;"Quelle équipe a remporté la Coupe du Monde 2014 au Brésil ?";"Which team won 2014 FIFA World Cup in Brazil?";"A) Argentine | B) Allemagne | C) Brésil | D) Pays-Bas";"A) Argentina | B) Germany | C) Brazil | D) Netherlands";"B";"L'Allemagne a battu l'Argentine 1-0 en finale.";"Germany beat Argentina 1-0 in the final.";"OpenTDB"
726;Sports;1;"Combien de joueurs y a-t-il dans une équipe de football ?";"How many players are there in an association football/soccer team?";"A) 10 | B) 11 | C) 9 | D) 8";"A) 10 | B) 11 | C) 9 | D) 8";"B";"Une équipe de football compte 11 joueurs sur le terrain.";"A football team has 11 players on the field.";"OpenTDB"
727;Sports;1;"Avec quelle équipe Steven Gerrard a-t-il remporté la Ligue des Champions ?";"Who did Steven Gerrard win the Champions League with?";"A) Real Madrid | B) Liverpool | C) Chelsea | D) Man City";"A) Real Madrid | B) Liverpool | C) Chelsea | D) Man City";"B";"Liverpool a remporté la Ligue des Champions en 2005.";"Liverpool won the Champions League in 2005.";"OpenTDB"
