id;category;difficulty;question;choices;correct;explanation;source_hint
718;Sports;2;Quelle équipe a remporté le titre NBA 2015-2016 ?;A) Golden State Warriors | B) Cleveland Cavaliers | C) Toronto Raptors | D) Oklahoma City Thunder;B;Les Cavaliers ont gagné après avoir été menés 3-1 en finale.;OpenTDB
719;Sports;1;Au baseball, combien de balles hors zone faut-il pour obtenir un 'walk' ?;A) 1 | B) 4 | C) 2 | D) 3;B;Quatre balles hors zone permettent au batteur d'aller en première base.;OpenTDB
720;Sports;1;Quelle équipe a remporté le plus de Coupes Stanley en NHL ?;A) Chicago Blackhawks | B) Canadiens de Montréal | C) Toronto Maple Leafs | D) Detroit Red Wings;B;Les Canadiens ont remporté 24 Coupes Stanley.;OpenTDB
721;Sports;1;Quelle équipe l'Angleterre a-t-elle battue en finale de la Coupe du Monde 1966 ?;A) URSS | B) Allemagne de l'Ouest | C) Portugal | D) Brésil;B;L'Angleterre a battu l'Allemagne de l'Ouest 4-2 en prolongation.;OpenTDB
722;Sports;1;Quel pays a accueilli la Coupe du Monde FIFA 2022 ?;A) USA | B) Qatar | C) Japon | D) Suisse;B;Le Qatar a accueilli la première Coupe du Monde au Moyen-Orient.;OpenTDB
723;Sports;1;Quel était le score du match Brésil - Allemagne à la Coupe du Monde 2014 ?;A) 1-5 | B) 1-7 | C) 1-6 | D) 2-6;B;L'Allemagne a infligé une défaite historique au Brésil.;OpenTDB
724;Sports;1;Quelle équipe NFL joue pour la Nouvelle-Angleterre ?;A) Chiefs | B) Patriots | C) Dolphins | D) 49ers;B;Les New England Patriots sont basés à Foxborough, Massachusetts.;OpenTDB
725;Sports;1;Quelle équipe a remporté la Coupe du Monde 2014 au Brésil ?;A) Argentine | B) Allemagne | C) Brésil | D) Pays-Bas;B;L'Allemagne a battu l'Argentine 1-0 en finale.;OpenTDB
726;Sports;1;Combien de joueurs y a-t-il dans une équipe de football ?;A) 10 | B) 11 | C) 9 | D) 8;B;Une équipe de football compte 11 joueurs sur le terrain.;OpenTDB
727;Sports;1;Avec quelle équipe Steven Gerrard a-t-il remporté la Ligue des Champions ?;A) Real Madrid | B) Liverpool | C) Chelsea | D) Man City;B;Liverpool a remporté la Ligue des Champions en 2005.;OpenTDB
728;Sports;1;La Ligue des Champions UEFA regroupe des clubs de quel continent ?;A) Amérique du Sud | B) Europe | C) Afrique | D) Asie;B;L'UEFA organise les compétitions de clubs européens.;OpenTDB
729;Sports;1;Quel joueur détient le record NHL de 2 857 points ?;A) Mario Lemieux | B) Wayne Gretzky | C) Sidney Crosby | D) Gordie Howe;B;Wayne Gretzky est surnommé 'The Great One'.;OpenTDB
730;Sports;1;Quelle équipe a remporté la Premier League 2015-16 ?;A) Liverpool | B) Leicester City | C) Chelsea | D) Manchester United;B;Leicester City a réalisé l'un des plus grands exploits sportifs.;OpenTDB
731;Sports;1;Qui a remporté le championnat F1 2017 ?;A) Sebastian Vettel | B) Lewis Hamilton | C) Nico Rosberg | D) Max Verstappen;B;Lewis Hamilton a remporté son 4e titre mondial.;OpenTDB
732;Sports;3;Quel est le nom complet de Cristiano Ronaldo ?;A) Cristiano Ronaldo los Santos Diego | B) Cristiano Ronaldo dos Santos Aveiro | C) Cristiano Armando Diego Ronaldo | D) Cristiano Luis Armando Ronaldo;B;Il est né à Funchal, Madère, Portugal.;OpenTDB
733;Sports;2;Quel pays a accueilli les Jeux Olympiques d'hiver 2014 ?;A) Canada | B) Russie | C) États-Unis | D) Allemagne;B;Les JO d'hiver 2014 ont eu lieu à Sotchi, Russie.;OpenTDB
734;Sports;2;Quel joueur NBA a été MVP de la saison 1999-2000 ?;A) Allen Iverson | B) Shaquille O'Neal | C) Kobe Bryant | D) Paul Pierce;B;Shaq a mené les Lakers au titre cette saison.;OpenTDB
735;Sports;1;Comment appelle-t-on l'outil pour frapper la bille blanche au billard ?;A) Raquette | B) Queue | C) Batte | D) Maillet;B;La queue de billard est généralement en bois avec un embout en cuir.;OpenTDB
736;Sports;1;Quel Afro-Américain a contribué à l'intégration du baseball majeur ?;A) Curt Flood | B) Jackie Robinson | C) Roy Campanella | D) Satchel Paige;B;Jackie Robinson a rejoint les Brooklyn Dodgers en 1947.;OpenTDB
737;Sports;2;Combien de zones de score y a-t-il sur une cible de fléchettes standard ?;A) 62 | B) 82 | C) 42 | D) 102;B;Il y a 82 zones de score sur une cible standard.;OpenTDB
908;Sports;1;Qui a remporté la Ligue des champions de l'UEFA en 2016 ?;A) Manchester City | B) FC Bayern Munich | C) Atlético Madrid | D) Real Madrid C.F.;D;;OpenTDB
909;Sports;1;Quel pays a remporté la Coupe du Monde FIFA 2018 en Russie ?;A) Croatie | B) Angleterre | C) Belgique | D) France;D;;OpenTDB
910;Sports;1;Quel sport utilise les termes love, deuce, match et volée ?;A) Tennis | B) Curling | C) Basketball | D) Cricket;A;;OpenTDB
911;Sports;2;En F1 1988, McLaren a remporté toutes les courses sauf une. Laquelle ?;A) Grand Prix d'Italie | B) Grand Prix de Monaco | C) Grand Prix du Brésil | D) Grand Prix du Japon;A;;OpenTDB
912;Sports;3;Quel footballeur italien a annoncé à Neuer où il tirait avant de manquer lors d'Italie-Allemagne Euro 2016 ?;A) Giaccherini | B) Pellè | C) Barzagli | D) Insigne;B;;OpenTDB
913;Sports;1;Quel joueur détient le record NHL de 2 857 points ?;A) Wayne Gretzky | B) Gordie Howe | C) Mario Lemieux | D) Sidney Crosby;A;;OpenTDB
914;Sports;2;Quelle est la plus ancienne équipe de la Ligue majeure de baseball (MLB) ?;A) Atlanta Braves | B) Chicago Cubs | C) Cincinnati Reds | D) St. Louis Cardinals;A;;OpenTDB
915;Sports;2;Quelle est la longueur exacte d'une ligne droite (couloir 1) sur une piste olympique ?;A) 100 m | B) 100 yd | C) 109,36 yd | D) 84,39 m;D;;OpenTDB
916;Sports;1;Quelle équipe nationale a remporté la première Ligue des nations de l'UEFA ?;A) Angleterre | B) Suisse | C) Pays-Bas | D) Portugal;D;;OpenTDB
917;Sports;2;Qui a remporté le Championnat national CFP de football universitaire en 2015 ?;A) Wisconsin Badgers | B) Ohio State Buckeyes | C) Clemson Tigers | D) Alabama Crimson Tide;B;;OpenTDB
1794;Sports;2;"La chanson ""Three Lions"" des Lightning Seeds a été créée pour quel grand événement de football en 1996 ?";A) Ligue des champions | B) Coupe du Monde | C) Coupe des Confédérations | D) Championnat d'Europe;D;;OpenTDB
1795;Sports;1;Au baseball, combien de fautes constituent un out ?;A) 5 | B) 0 | C) 3 | D) 2;B;;OpenTDB
1796;Sports;1;"Cet animateur sportif canadien est connu pour son rôle dans ""Hockey Night in Canada"".";A) Don McKellar | B) Don Taylor | C) Donald Sutherland | D) Don Cherry;D;;OpenTDB
1797;Sports;1;Quel pilote détient le record de 7 titres de champion du monde de Formule 1 ?;A) Jim Clark | B) Fernando Alonso | C) Ayrton Senna | D) Michael Schumacher;D;;OpenTDB
1798;Sports;1;Laquelle de ces équipes NHL jouait à l'origine à Atlanta ?;A) St. Louis Blues | B) Calgary Flames | C) Vancouver Canucks | D) Minnesota Wild;B;;OpenTDB
1799;Sports;1;Quel pays a accueilli les Jeux olympiques d'été 2020 ?;A) Chine | B) Allemagne | C) Australie | D) Japon;D;;OpenTDB
1800;Sports;3;Qui a remporté le Daytona 500 de 1998 ?;A) Michael Waltrip | B) John Anderson | C) Dale Earnhardt | D) Jeff Gordon;C;;OpenTDB
1801;Sports;2;Dans quelle province canadienne Wayne Gretzky est-il né ?;A) Québec | B) Alberta | C) Colombie-Britannique | D) Ontario;D;;OpenTDB
1802;Sports;2;Qui est le meilleur buteur de Manchester United en Premier League ?;A) Wayne Rooney | B) Sir Bobby Charlton | C) Ryan Giggs | D) David Beckham;A;;OpenTDB
1803;Sports;2;Quel pilote de F1 a changé d'équipe en cours de saison 2017 ?;A) Carlos Sainz Jr. | B) Rio Haryanto | C) Daniil Kvyat | D) Jolyon Palmer;A;;OpenTDB
1804;Sports;2;Quel joueur NBA a remporté le titre de MVP pour la saison 1999-2000 ?;A) Paul Pierce | B) Shaquille O'Neal | C) Allen Iverson | D) Kobe Bryant;B;;OpenTDB
1805;Sports;2;Qui a remporté le Grand Prix de Saint-Marin 1994, course lors de laquelle Ayrton Senna a été tué ?;A) Gerhard Berger | B) Mika Häkkinen | C) Michael Schumacher | D) Nicola Larini;C;;OpenTDB
1806;Sports;2;Quelle ville les Lakers représentaient-ils avant de déménager à Los Angeles ?;A) Minneapolis | B) Chicago | C) San Francisco | D) Philadelphie;A;;OpenTDB
1807;Sports;2;Qui a remporté la Coupe Stanley 2011 ?;A) Boston Bruins | B) Toronto Maple Leafs | C) Canadiens de Montréal | D) New York Rangers;A;;OpenTDB
