id;category;difficulty;question;choices;correct;explanation;source_hint
2050;Livres;1;In what Harry Potter book was a Horcrux first encountered?;A) The Chamber of Secrets | B) The Goblet of Fire | C) The Deathly Hallows | D) The Half-Blood Prince;A;;
2051;Livres;1;"Who was the author of the 1954 novel, ""Lord of the Flies""?";A) William Golding | B) F. Scott Fitzgerald | C) Hunter Fox | D) Stephen King;A;;
2052;Livres;1;"Who wrote ""A Tale of Two Cities""?";A) Charles Darwin | B) Mark Twain | C) Roald Dahl | D) Charles Dickens;D;;
2053;Livres;2;Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?;A) William Faulkner | B) Ernest Hemingway | C) F. Scott Fitzgerald | D) John Steinbeck;D;;
2054;Livres;1;"Which famous spy novelist wrote the childrens' story ""Chitty-Chitty-Bang-Bang""?";A) John Buchan | B) Graham Greene | C) Joseph Conrad | D) Ian Fleming;D;;
2055;Livres;2;"What was the last message of the Dolphins in ""The Hitchhiker's Guide to the Galaxy""?";"A) ""Goodbye cruel world!"" | B) ""Land of the brave."" | C) ""So long, and thanks for all the fish."" | D) ""The answer is 42.""";C;;
2056;Livres;3;In which classic novel is there a character named Homer Simpson?;A) Of Mice and Men | B) A Separate Peace | C) The Day of the Locust | D) Catch-22;C;;
2057;Livres;3;In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?;A) Shiv | B) Sarpadia | C) Otaria | D) Terisiare;B;;
2058;Livres;2;In the year 1818, novelist Mary Shelly is credited with writing a fiction novel and creating this infamous character.;A) Dracula | B) The Thing | C) Frankenstein's monster | D) The Invisible Man;C;;
2059;Livres;1;What is the name of the protagonist of J.D. Salinger's novel Catcher in the Rye?;A) Randall Flagg | B) Jay Gatsby | C) Holden Caulfield | D) Fletcher Christian;C;;
2060;Livres;2;Which of these book series is by James Patterson?;A) Maximum Ride | B) The Legend of Xanth | C) Harry Potter | D) The Bartemaeus Trilogy;A;;
2061;Livres;2;In Romance of the Three Kingdoms, who was not a member of the Peach Garden Oath?;A) Guan Yu | B) Liu Bei | C) Zhao Yun | D) Zhang Fei;C;;
2062;Livres;1;Who wrote the novel 'Fear And Loathing In Las Vegas'?;A) Hunter S. Thompson | B) Henry Miller | C) F. Scott Fitzgerald | D) William S. Burroughs;A;;
2063;Livres;2;What is the fourth book of the Old Testament?;A) Leviticus | B) Exodus | C) Genesis | D) Numbers;D;;
2064;Livres;3;What is Ron Weasley's middle name?;A) John | B) Arthur | C) Dominic | D) Bilius;D;;
2065;Livres;1;What was the first ever entry written for the SCP Foundation collaborative writing project?;A) SCP-001 | B) SCP-173 | C) SCP-999 | D) SCP-1459;B;;
2066;Livres;1;What's the second book in George R. R. Martin's 'A Song of Ice and Fire' series?;A) A Dance with Dragons | B) A Storm of Swords | C) A Feast for Crows | D) A Clash of Kings;D;;
2067;Livres;3;In the Beatrix Potter books, what type of animal is Tommy Brock?;A) Rabbit | B) Frog | C) Fox | D) Badger;D;;
2068;Livres;2;Which of the following is not a work authored by Fyodor Dostoevsky?;A) Notes from the Underground | B) Anna Karenina | C) The Brothers Karamazov | D) Crime and Punishment;B;;
2069;Livres;1;What is the name of the three headed dog in Harry Potter and the Sorcerer's Stone?;A) Spike | B) Spot | C) Poofy | D) Fluffy;D;;
2070;Livres;2;What is the name of the gang that Ponyboy is a part of in the book, The Outsiders?;A) The Socs | B) The Outsiders | C) The Greasers | D) The Mafia;C;;
2071;Livres;3;In the Harry Potter universe, who does Draco Malfoy end up marrying?;A) Millicent Bulstrode | B) Hermione Granger | C) Pansy Parkinson | D) Astoria Greengrass;D;;
2072;Livres;3;"In the ""Harry Potter"" series, what is Headmaster Dumbledore's full name?";A) Albus Percival Wulfric Brian Dumbledore | B) Albus Valum Jetta Mobius Dumbledore | C) Albus James Lunae Otto Dumbledore | D) Albus Valencium Horatio Kul Dumbledore;A;;
2073;Livres;2;In Terry Pratchett's Discworld novel 'Wyrd Sisters', which of these are not one of the three main witches?;A) Winny Hathersham | B) Magrat Garlick | C) Granny Weatherwax | D) Nanny Ogg;A;;
2074;Livres;3;Abel Magwitch is a character from which Charles Dickens novel?;A) Oliver Twist | B) Great Expectations | C) The Pickwick Papers | D) Nicholas Nickleby;B;;
