id;category;difficulty;question;choices;correct;explanation;source_hint
2020;Art;1;Quel est l'autre nom de La Gioconda / La Joconde ?;A) La Nuit étoilée | B) La Joconde | C) La Jeune Fille à la perle | D) Tournesols;B;;
2021;Art;1;Quel est le nom de l'art japonais qui consiste à plier du papier en formes et figures décoratives ?;A) Ukiyo-e | B) Sumi-e | C) Haïku | D) Origami;D;;
2022;Art;3;Qui a peint « American Gothic » ?;A) Pablo Picasso | B) Marc Chagall | C) Anita Malfatti | D) Grant Wood;D;;
2023;Art;1;Quelle est la plus ancienne œuvre de fiction connue au monde ?;A) Papyrus d'Ani | B) L'Épopée de Gilgamesh | C) Code d'Hammurabi | D) Pierre de Rosette;B;;
2024;Art;2;Quelle mesure de temps est communément appelée « mesure coupée » ?;A) 2/2 | B) 3/4 | C) 4/4 | D) 6/8;A;;
2025;Art;1;Quel artiste est célèbre pour s'être coupé l'oreille ?;A) Rembrandt | B) Michel-Ange | C) Salvador Dali | D) Vincent van Gogh;D;;
2026;Art;2;Lequel de ces noms est une célèbre marque de marqueurs ?;A) Marx | B) Dopix | C) Copic | D) Cofix;C;;
2027;Art;2;Dans « La Cène » de Léonard de Vinci, de quelles deux couleurs étaient les robes portées par Jésus ?;A) Rouge et noir | B) Rouge et blanc | C) Rouge et bleu | D) Rouge et jaune;C;;
2028;Art;1;Quel artiste a peint la fresque « La Cène » à la fin du XVe siècle ?;A) Luca Pacioli | B) Paolo Uccello | C) Piero della Francesca | D) Léonard de Vinci;D;;
2029;Art;2;Que sont les readymades de Marcel Duchamp ?;A) des objets utilitaires élevés au rang d'œuvre d'art | B) des peintures avec un carré à peine visible en contour | C) une série centrée sur la couleur et la lumière plutôt que sur la ligne et la forme | D) un groupe de boîtes en acier identiques saillant du mur;A;;
2030;Art;3;Le peintre Piet Mondrian (1872 - 1944) faisait partie de quel mouvement artistique ?;A) Impressionnisme | B) Néoplasticisme | C) Cubisme | D) Précisionnisme;B;;
2031;Art;3;Dans quel pays Paul Gauguin s'est-il installé en 1895 ?;A) Lituanie | B) France | C) Tahiti | D) Atuona;C;;
2032;Art;2;Qui a peint la fresque monumentale Guernica ?;A) Pablo Picasso | B) Léonard de Vinci | C) Henri Matisse | D) Francisco Goya;A;;
2033;Art;1;Quel est un élément fondamental du style gothique en architecture ?;A) arc brisé | B) façades surmontées d'un fronton | C) fresques intérieures | D) plafonds à caissons;A;;
2034;Art;3;De quelle nationalité était le célèbre artiste Van Gogh ?;A) Française | B) Russe | C) Polonaise | D) Néerlandaise;D;;
2035;Art;2;Qui a peint le tableau « Nighthawks » ?;A) Salvador Dali | B) Vincent van Gogh | C) Johannes Vermeer | D) Edward Hopper;D;;
2036;Art;2;Lequel de ces tableaux n'est pas de Caspar David Friedrich ?;A) Le Voyageur contemplant une mer de nuages | B) Le Moine au bord de la mer | C) La Mer de glace | D) La Mer Noire;D;;
2037;Art;2;Qui a conçu le logo Chupa Chups ?;A) Vincent van Gogh | B) Andy Warhol | C) Salvador Dali | D) Pablo Picasso;C;;
2038;Art;3;En quelle année Albrecht Dürer a-t-il créé le tableau « Le Jeune Lièvre » ?;A) 1402 | B) 1602 | C) 1502 | D) 1702;C;;
2039;Art;3;Quel sculpteur français a conçu la Statue de la Liberté ?;A) Henri Matisse | B) Frédéric Auguste Bartholdi | C) Jean-Léon Gérôme | D) Auguste Rodin;B;;
2040;Art;2;De quelle nationalité était le peintre surréaliste Salvador Dali ?;A) Italienne | B) Française | C) Espagnole | D) Portugaise;C;;
2041;Art;3;Quelle était la principale distinction entre les styles gothiques anglais et français en architecture ?;A) Coupoles hémisphériques | B) Gargouilles | C) Voûtes en éventail | D) Pinacles;C;;
2042;Art;2;Lequel de ces tableaux n'a pas été peint par Johannes Vermeer ?;A) Bacchus | B) La Laitière | C) La Jeune Fille à la perle | D) La Dentellière;A;;
2043;Art;1;Lequel de ces tableaux n'a pas été réalisé par Vincent Van Gogh ?;A) La Chambre à coucher à Arles | B) Terrasse du café le soir | C) La Neuvième Vague | D) La Nuit étoilée;C;;
2044;Art;2;L'atelier de quel artiste était connu sous le nom de « The Factory » ?;A) Andy Warhol | B) David Hockney | C) Roy Lichtenstein | D) Peter Blake;A;;
2045;Art;3;Pour avoir co-fondé quel mouvement artistique Pablo Picasso est-il connu ?;A) Impressionnisme | B) Expressionnisme | C) Futurisme | D) Cubisme;D;;
2046;Art;3;De quelle nationalité était le célèbre artiste Pablo Picasso ?;A) Italienne | B) Française | C) Allemande | D) Espagnole;D;;
2047;Art;2;Quel artiste utilisait de petits points de différentes couleurs pour créer un tableau ?;A) Paul Cézanne | B) Georges Seurat | C) Vincent Van Gogh | D) Henri Rousseau;B;;
2048;Art;3;Le tableau « Guernica » de Pablo Picasso exprimait des émotions de terreur en réponse à quelle guerre ?;A) Première Guerre mondiale | B) La Guerre de Crimée | C) Guerre hispano-américaine | D) Guerre civile espagnole;D;;
2049;Art;1;Quel tableau de Van Gogh représente la vue depuis son asile à Saint-Rémy-de-Provence dans le sud de la France ?;A) L'Église d'Auvers-sur-Oise | B) Le Semeur au soleil couchant | C) Champ de blé aux corbeaux | D) La Nuit étoilée;D;;
