id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
1;Géographie;2;"Quelle est la capitale de l’Australie ?";"What is the capital of Australia?";"A) Sydney | B) Melbourne | C) Canberra | D) Perth";"A) Sydney | B) Melbourne | C) Canberra | D) Perth";"C";"La capitale de l’Australie est Canberra (pas Sydney).";"Australia's capital is Canberra (not Sydney).";"Wikidata/Encyclopedia"
2;Chimie;1;"Quel est le symbole chimique du sodium ?";"What is the chemical symbol for sodium?";"A) S | B) So | C) Na | D) Sn";"A) S | B) So | C) Na | D) Sn";"C";"Le sodium a pour symbole Na (du latin natrium).";"Sodium’s symbol is Na (from Latin natrium).";"IUPAC/Periodic table"
3;Biologie;2;"Dans quelle partie de la cellule végétale a lieu la photosynthèse ?";"Where in a plant cell does photosynthesis occur?";"A) Noyau | B) Chloroplaste | C) Mitochondrie | D) Ribosome";"A) Nucleus | B) Chloroplast | C) Mitochondrion | D) Ribosome";"B";"La photosynthèse se déroule dans les chloroplastes.";"Photosynthesis takes place in chloroplasts.";"Biology textbook"
4;Physique;2;"Quelle est l’unité SI de l’intensité du courant électrique ?";"What is the SI unit of electric current?";"A) Volt | B) Watt | C) Ampère | D) Ohm";"A) Volt | B) Watt | C) Ampere | D) Ohm";"C";"L’unité SI du courant est l’ampère (A).";"The SI unit of current is the ampere (A).";"BIPM/SI units"
5;Géographie;1;"Quel est l’océan le plus vaste ?";"Which is the largest ocean?";"A) Atlantique | B) Indien | C) Arctique | D) Pacifique";"A) Atlantic | B) Indian | C) Arctic | D) Pacific";"D";"Le Pacifique est l’océan le plus grand en surface.";"The Pacific is the largest ocean by area.";"Encyclopedia"
6;Espace;2;"En quelle année l’être humain a-t-il marché sur la Lune pour la première fois ?";"In what year did humans first walk on the Moon?";"A) 1959 | B) 1969 | C) 1979 | D) 1989";"A) 1959 | B) 1969 | C) 1979 | D) 1989";"B";"Apollo 11 a atterri en 1969, et les astronautes ont marché sur la Lune cette année-là."; "Apollo 11 landed in 1969, and astronauts walked on the Moon that year."; "NASA/Apollo"
7;Biologie;3;"Que signifie l’acronyme ADN ?";"What does the acronym DNA stand for?";"A) Acide désoxyribonucléique | B) Acide ribonucléique | C) Azote double normal | D) Analyse de nutriments";"A) Deoxyribonucleic acid | B) Ribonucleic acid | C) Normal double nitrogen | D) Nutrient analysis";"A";"ADN = acide désoxyribonucléique (support de l’information génétique).";"DNA = deoxyribonucleic acid (carrier of genetic information).";"Biology textbook"
8;Sciences de la Terre;2;"Quel gaz est le plus abondant dans l’atmosphère terrestre ?";"Which gas is most abundant in Earth’s atmosphere?";"A) Oxygène | B) Azote | C) Dioxyde de carbone | D) Argon";"A) Oxygen | B) Nitrogen | C) Carbon dioxide | D) Argon";"B";"L’azote représente environ 78% de l’atmosphère.";"Nitrogen makes up about 78% of the atmosphere.";"NOAA/Encyclopedia"
9;Sciences de la Terre;3;"Quel instrument sert à enregistrer les séismes ?";"Which instrument records earthquakes?";"A) Baromètre | B) Thermomètre | C) Sismographe | D) Hygromètre";"A) Barometer | B) Thermometer | C) Seismograph | D) Hygrometer";"C";"Un sismographe (ou sismomètre) mesure les vibrations du sol.";"A seismograph (or seismometer) measures ground vibrations.";"Geoscience textbook"
10;Biologie;2;"Quel gaz est principalement libéré par les plantes lors de la photosynthèse ?";"Which gas is mainly released by plants during photosynthesis?";"A) Ozone | B) Oxygène | C) Azote | D) Méthane";"A) Ozone | B) Oxygen | C) Nitrogen | D) Methane";"B";"La photosynthèse produit notamment de l’oxygène."; "Photosynthesis produces oxygen among its outputs."; "Biology textbook"
