id;category;difficulty;question;choices;correct;explanation;source_hint
2341;Télévision;2;Dans Breaking Bad, les initiales W.W. désignent lequel des personnages suivants ?;A) Walter White | B) Willy Wonka | C) Wally Walrus | D) William Wolf;A;;OpenTDB
2342;Télévision;2;Laquelle de ces personnalités n'a PAS fait de caméo dans « The Drew Carey Show » (1995-2004) ?;"A) Bill Cosby | B) Daffy Duck | C) Donald Trump | D) ""Weird Al"" Yankovic";A;;OpenTDB
2343;Télévision;2;Alan Reed est connu pour avoir prêté sa voix à quel personnage ?;A) Fred Flintstone | B) Fangface | C) Bugs Bunny | D) G.I. Joe;A;;OpenTDB
2344;Télévision;1;Qui a remporté Big Brother 2014 au Royaume-Uni ?;"A) Helen Wood | B) Pauline Bennett | C) Pavandeep ""Pav"" Paul | D) Christopher Hall";A;;OpenTDB
2345;Télévision;3;Lequel de ces aliments de Star Trek n'est PAS un plat klingon ?;A) Gagh | B) Hors d'oeuvre | C) Racht | D) Bloodwine;B;;OpenTDB
2346;Télévision;2;Qui a chanté le générique de la série TV « Rawhide » ?;A) Slim Whitman | B) Guy Mitchell | C) Frankie Laine | D) Tennessee Ernie Ford;C;;OpenTDB
2347;Télévision;1;Dans l'épisode « It's a Wonderful Life » de Donkey Kong Country, qui était l'ange gardien de Donkey Kong ?;A) King K. Rool | B) Eddie le Vieux Yéti Méchant | C) Diddy Kong | D) Kiddy Kong;B;;OpenTDB
2348;Télévision;1;Quel est le vrai nom du célèbre humoriste espagnol El Risitas ?;A) Ernesto Guevara | B) Gabriel Garcia Marquez | C) Jesus Quintero | D) Juan Joya Borga;D;;OpenTDB
2349;Télévision;2;Dans l'épisode « Bandersnatch » de Black Mirror, PAC-MAN signifie :;A) Physics & Astronomy Classification Man | B) Program And Control Man | C) Political Action Committee Man | D) Postgraduate Aplications Centre Man;B;;OpenTDB
2350;Télévision;2;Le film fictif « Rochelle, Rochelle » apparaît dans quelle sitcom ?;A) Cheers | B) Frasier | C) Seinfeld | D) Friends;C;;OpenTDB
2351;Télévision;2;Qui joue le personnage de Dennis Reynolds dans « It's Always Sunny in Philadelphia » ?;A) Danny DeVito | B) Rob McElhenney | C) Charlie Day | D) Glenn Howerton;D;;OpenTDB
2352;Télévision;2;En quelle année « The Big Bang Theory » a-t-il fait ses débuts sur CBS ?;A) 2009 | B) 2007 | C) 2006 | D) 2008;B;;OpenTDB
2353;Télévision;3;De quel pays le YouTubeur « SinowBeats » est-il originaire ?;A) Angleterre | B) Allemagne | C) Suède | D) Écosse;D;;OpenTDB
2354;Télévision;2;Qui était la star de la série TV « 24 heures chrono » ?;A) Kiefer Sutherland | B) Kevin Bacon | C) Hugh Laurie | D) Rob Lowe;A;;OpenTDB
2355;Télévision;1;Qui est la star de la série AMC Breaking Bad ?;A) Walter White | B) Saul Goodman | C) Jesse Pinkman | D) Skyler White;A;;OpenTDB
2356;Télévision;2;En quelle année la série télévisée britannique « The Bill » s'est-elle terminée ?;A) 2007 | B) 2012 | C) 2010 | D) 2001;C;;OpenTDB
2357;Télévision;2;En quelle année le premier dessin animé en images de synthèse de 30 minutes, ReBoot, a-t-il été diffusé ?;A) 1998 | B) 1994 | C) 1999 | D) 1993;B;;OpenTDB
2358;Télévision;2;Dans « Les Simpson », quel est le vrai nom du « Vendeur de BD » ?;A) Jeff Albertson | B) Jack Richardson | C) Comic Book Guy | D) Edward Stone;A;;OpenTDB
2359;Télévision;1;Qui est le personnage principal de la série « Burn Notice » ?;A) Michael Westen | B) Fiona Glenanne | C) Madeline Westen | D) Sam Axe;A;;OpenTDB
2360;Télévision;1;Quel présentateur anime l'émission Guy's Grocery Games ?;A) Guy Martin | B) Guy Fieri | C) Ainsley Harriott | D) Guy Ritchie;B;;OpenTDB
2361;Télévision;2;Quel film a servi d'épisode pilote KTMA pour l'émission « Mystery Science Theater 3000 » ?;A) The Crawling Eye | B) The Green Slime | C) The Robot Vs. The Aztec Mummy | D) Plan 9 From Outer Space;B;;OpenTDB
2362;Télévision;3;Dans la série TV « Donkey Kong Country », dans quel épisode la chanson « Eddie, Let Me Go Back To My Home » est-elle jouée ?;A) It's a Wonderful Life | B) To The Moon Baboon | C) Ape-Nesia | D) Message In A Bottle Show;A;;OpenTDB
2363;Télévision;1;Dans la série NBC Community, dont la réplique fétiche était « Pop ! Pop ! » ?;A) Magnitude | B) Senoir Chang | C) Leonard | D) Star Burns;A;;OpenTDB
2364;Télévision;3;Comment s'appelle l'au-delà des Klingons ?;A) Sto-vo-kor | B) New Jersey | C) Karon'gahk | D) Valhalla;A;;OpenTDB
2365;Télévision;1;Combien de saisons a compté « Stargate SG-1 » ?;A) 3 | B) 10 | C) 7 | D) 12;B;;OpenTDB
2366;Télévision;1;Grant Gustin joue quel super-héros dans la série CW du même nom ?;A) Arrow | B) Black Canary | C) Daredevil | D) Flash;D;;OpenTDB
2367;Télévision;1;Quel était le nom du tout premier épisode de Doctor Who diffusé en 1963 ?;A) The Daleks | B) An Unearthly Child | C) The Edge of Destruction | D) The Aztecs;B;;OpenTDB
2368;Télévision;1;Quel jeu télévisé Nickelodeon mettait en scène une maison que les candidats fouillaient pour trouver des objets cachés ?;A) Nickelodeon Guts | B) Double Dare | C) Finders Keepers | D) Nick Arcade;C;;OpenTDB
2369;Télévision;3;Lequel des acteurs suivants a incarné le Neuvième Docteur dans la série britannique « Doctor Who » ?;A) Christopher Eccleston | B) Tom Baker | C) Matt Smith | D) David Tennant;A;;OpenTDB
2370;Télévision;1;Dans l'épisode « Total Rickall » de « Rick et Morty », qui était un parasite ?;A) Mr. Poopy Butthole | B) Pencilvester | C) Summer Smith | D) Beth Smith;B;;OpenTDB
2371;Télévision;3;Dans « Donkey Kong Country », pourquoi Donkey Kong veut-il connaître le secret de la noix de coco en cristal ?;A) Il veut punir les brutes. | B) Pour savoir où sont toutes les bananes. | C) Il est le grand chef. | D) Parce que Diddy Kong l'y a forcé.;C;;OpenTDB
2372;Télévision;2;Quel personnage la doubleuse Tara Strong ne double-t-elle PAS ?;A) Twilight Sparkle | B) Bubbles (2016) | C) Timmy Turner | D) Harley Quinn;B;;OpenTDB
2373;Télévision;1;Dans la série « Dragon Ball Z », comment s'appelle l'attaque la plus puissante de Cell ?;A) Solar Kamehameha | B) Cell Kamehameha | C) Android Kamehameha | D) Super Kamehameha;A;;OpenTDB
2374;Télévision;2;Dans Game of Thrones, comment s'appelle l'épée de Jon Snow ?;A) Longgriffe | B) Serment | C) Deuil de Veuve | D) Aiguille;A;;OpenTDB
2375;Télévision;2;Quel est le cadre de la série « Parks and Recreation » ?;A) Londres, Angleterre | B) Eagleton, Indiana | C) Pasadena, Californie | D) Pawnee, Indiana;D;;OpenTDB
2376;Télévision;2;Quel est le nom des principaux antagonistes de Battlestar Galactica ?;A) Les Rebelles | B) Les Cylons | C) La Fédération | D) Le Collectif;B;;OpenTDB
2377;Télévision;1;Dans le dessin animé « Bob l'éponge », que signifiait l'acronyme M.A.L. ?;A) Méchant Au Citronnade | B) Chaque Méchant À Citronnade | C) Méchant Au Citron | D) Méchant Aux Citrons Verts;C;;OpenTDB
2378;Télévision;2;Quel est le vrai nom de Meg dans « Family Guy » ?;A) Who-Cares Griffin | B) Megan Griffin | C) Megatron Griffin | D) Neil Griffin;C;;OpenTDB
2379;Télévision;1;Quel est le nom de la planète dont est originaire le Docteur dans la série « Doctor Who » ?;A) Mondas | B) Skaro | C) Gallifrey | D) Sontar;C;;OpenTDB
2380;Télévision;1;Dans « Star Trek : Voyager », quel épisode a permis à Voyager d'établir une communication en temps réel avec le Commandement Stellaire ?;A) Someone To Watch Over Me | B) Pathfinder | C) Counterpoint | D) Message In A Bottle;B;;OpenTDB
2381;Télévision;2;Dans la série originale Doctor Who (1963), quelle était la longueur de l'écharpe du quatrième Docteur Tom Baker ?;A) 5 mètres | B) 10 mètres | C) 7 mètres | D) 2 mètres;C;;OpenTDB
2382;Télévision;3;Quel était le indicatif radio du Commandant William Adama dans Battlestar Galactica (2004) ?;A) Apollo | B) Crashdown | C) Husker | D) Starbuck;C;;OpenTDB
2383;Télévision;2;Dans la série « The Office », avec qui Michael Scott finit-il par se mettre en couple ?;A) Jan Levinson | B) Angela Martin | C) Pam Beesly | D) Holly Flax;D;;OpenTDB
2384;Télévision;3;En 2008, le chef cuisinier britanniqueGordon Ramsay pense avoir failli mourir après quel accident en Islande lors d'un tournage ?;A) Avoir glissé d'une falaise et failli se noyer dans l'eau glacée | B) S'être vu servir du poulet insuffisamment cuit à son hôtel | C) Un léger accident de voiture dans une tempête de neige | D) Un atterrissage d'urgence à l'aéroport de Keflavík;A;;OpenTDB
2385;Télévision;2;Dee dans « It's Always Sunny in Philadelphia » a fréquenté tous ces hommes SAUF;A) Ben le Soldat | B) Kevin Gallagher alias Lil' Kevin | C) Colin le Voleur | D) Matthew « Rickety Cricket » Mara;D;;OpenTDB
2386;Télévision;2;Combien de saisons a duré la série TV « Donkey Kong Country » ?;A) 1 | B) 2 | C) 5 | D) 4;B;;OpenTDB
2387;Télévision;1;Dans Ducktales, comment s'appelle la ville où vivent tous les personnages principaux ?;A) Tailspin | B) Wingford | C) Donaldville | D) Duckwing;C;;OpenTDB
2388;Télévision;1;Dans la série Doctor Who, que signifie T.A.R.D.I.S ?;A) Toilet Aid Rope Dog Is Soup | B) Time And Resting Dimensions In Space | C) Time And Relative Dimensions In Style | D) Time And Relative Dimensions In Space;D;;OpenTDB
2389;Télévision;1;Quel est le nom du frère de Chris dans « Everybody Hates Chris » ?;A) Jerome | B) Joe | C) Greg | D) Drew;D;;OpenTDB
2390;Télévision;3;Quel acteur de « The Young Ones » a également joué Lord Flashheart dans un épisode de Blackadder II ?;A) Rik Mayall | B) Nigel Planer | C) Christopher Ryan | D) Adrian Edmondson;A;;OpenTDB
2391;Télévision;2;Dans « The Big Bang Theory », quel est le pseudo de Howard Wolowitz dans World of Warcraft ?;A) Priya | B) Sheldor | C) Wolowizard | D) Rajesh;C;;OpenTDB
2392;Télévision;3;Dans « Star Trek », qui est le fondateur de l'Empire Klingon et de sa philosophie ?;A) Kahless l'Inoubliable | B) Molor l'Impitoyable | C) Dame Lukara de la Grande Salle | D) Dahar Maître Kor;A;;OpenTDB
