id;category;difficulty;question;choices;correct;explanation;source_hint
1;Géographie;2;What is the capital of Australia?;A) Sydney | B) Melbourne | C) Canberra | D) Perth;C;Australia's capital is Canberra (not Sydney).;Wikidata/Encyclopedia
2;Chimie;1;What is the chemical symbol for sodium?;A) S | B) So | C) Na | D) Sn;C;Sodium’s symbol is Na (from Latin natrium).;IUPAC/Periodic table
3;Biologie;2;Where in a plant cell does photosynthesis occur?;A) Nucleus | B) Chloroplast | C) Mitochondrion | D) Ribosome;B;Photosynthesis takes place in chloroplasts.;Biology textbook
4;Physique;2;What is the SI unit of electric current?;A) Volt | B) Watt | C) Ampere | D) Ohm;C;The SI unit of current is the ampere (A).;BIPM/SI units
5;Géographie;1;Which is the largest ocean?;A) Atlantic | B) Indian | C) Arctic | D) Pacific;D;The Pacific is the largest ocean by area.;Encyclopedia
6;Espace;2;In what year did humans first walk on the Moon?;A) 1959 | B) 1969 | C) 1979 | D) 1989;B;" ""Apollo 11 landed in 1969, and astronauts walked on the Moon that year.""";" ""NASA/Apollo"""
7;Biologie;3;What does the acronym DNA stand for?;A) Deoxyribonucleic acid | B) Ribonucleic acid | C) Normal double nitrogen | D) Nutrient analysis;A;DNA = deoxyribonucleic acid (carrier of genetic information).;Biology textbook
8;Sciences de la Terre;2;Which gas is most abundant in Earth’s atmosphere?;A) Oxygen | B) Nitrogen | C) Carbon dioxide | D) Argon;B;Nitrogen makes up about 78% of the atmosphere.;NOAA/Encyclopedia
9;Sciences de la Terre;3;Which instrument records earthquakes?;A) Barometer | B) Thermometer | C) Seismograph | D) Hygrometer;C;A seismograph (or seismometer) measures ground vibrations.;Geoscience textbook
10;Biologie;2;Which gas is mainly released by plants during photosynthesis?;A) Ozone | B) Oxygen | C) Nitrogen | D) Methane;B;" ""Photosynthesis produces oxygen among its outputs.""";" ""Biology textbook"""
11;Géographie;1;Which river runs through Paris?;A) Rhine | B) Loire | C) Seine | D) Rhône;C;" ""Paris is crossed by the Seine.""";" ""Wikidata/Encyclopedia"""
12;Histoire;3;In what year did the Berlin Wall fall?;A) 1979 | B) 1989 | C) 1999 | D) 2009;B;" ""The Berlin Wall fell in 1989.""";" ""History reference"""
13;Physique;2;At standard atmospheric pressure, at what temperature does water boil?;A) 0°C | B) 50°C | C) 100°C | D) 150°C;C;" ""At 1 atm, water boils at 100°C.""";" ""Physics/Chem textbook"""
14;Géographie;2;What is the world’s highest mountain (above sea level)?;A) K2 | B) Mont Blanc | C) Everest | D) Kilimanjaro;C;" ""Mount Everest is the highest above sea level.""";" ""Geography reference"""
15;Espace;1;What is the largest planet in the Solar System?;A) Earth | B) Jupiter | C) Saturn | D) Neptune;B;" ""Jupiter is the largest planet in the Solar System.""";" ""NASA/Solar System"""
16;Nature;3;Which animal is a mammal that lays eggs?;A) Dolphin | B) Bat | C) Platypus | D) Kangaroo;C;The platypus is a monotreme (an egg-laying mammal).;Biology reference
17;Culture;2;Who wrote “The Little Prince”?;A) Victor Hugo | B) Antoine de Saint-Exupéry | C) Albert Camus | D) Jules Verne;B;" ""“The Little Prince” was written by Antoine de Saint-Exupéry.""";" ""Literature reference"""
18;Langue;2;What is the plural of the French word “cheval”?;A) Chevals | B) Chevales | C) Chevaux | D) Chevalx;C;" ""The irregular plural is “chevaux.”""";" ""French grammar"""
19;Technologie;1;In computing, which two digits are used in binary?;A) 0 and 1 | B) 1 and 2 | C) 2 and 3 | D) 8 and 9;A;" ""Binary uses only 0 and 1.""";" ""CS basics"""
20;Chimie;2;A solution with pH below 7 is…;A) Basic | B) Acidic | C) Neutral | D) Salty;B;" ""pH < 7 is acidic"; pH = 7 neutral
21;Géographie;3;Which continent has the largest number of countries?;A) Europe | B) Africa | C) Asia | D) South America;B;" ""Africa has the most countries (about 54).""";" ""UN/Encyclopedia"""
22;Histoire;3;Who became the first President of France’s Fifth Republic?;A) François Mitterrand | B) Charles de Gaulle | C) Georges Pompidou | D) Valéry Giscard d’Estaing;B;" ""Charles de Gaulle was the first President of the Fifth Republic.""";" ""History reference"""
23;Espace;1;Which galaxy is the Solar System in?;A) Andromeda | B) Milky Way | C) Sombrero | D) Triangulum;B;" ""The Solar System is in the Milky Way.""";" ""NASA/Astronomy"""
