id;category;difficulty;question;choices;correct;explanation;source_hint
1990;Politique;2;Quelle ville est le siège du gouvernement des Pays-Bas ?;A) Amsterdam | B) Rotterdam | C) Utrecht | D) La Haye;D;;
1991;Politique;2;Qui est devenu Premier ministre du Royaume-Uni en juillet 2016 ?;A) David Cameron | B) Theresa May | C) Boris Johnson | D) Tony Blair;B;;
1992;Politique;2;En quelle année Gerald Ford est-il devenu président ?;A) 1974 | B) 1973 | C) 1969 | D) 1977;A;;
1993;Politique;2;Quels sont les prénoms du premier duo père-fils à avoir tous deux été Premiers ministres du Canada ?;A) John et Louis | B) Justin et Pierre | C) Brian et Justin | D) Brian et Pierre;B;;
1994;Politique;2;Lequel des présidents argentins suivants a été élu en 2015 ?;A) Nestor Kirchner | B) Mauricio Macri | C) Cristina Fernandez de Kirchner | D) Juan Domingo Perón;B;;
1995;Politique;3;À partir de 2000, la Chine a interdit la fabrication et la vente de consoles de jeux vidéo. En quelle année cette interdiction a-t-elle été levée ?;A) 2008 | B) 2012 | C) 2017 | D) 2015;D;;
1996;Politique;2;Lequel de ces noms n'est PAS un enfant de Donald Trump ?;A) Ivanka | B) Eric | C) Donald Jr. | D) Julius;D;;
1997;Politique;3;Quelle nation a rejoint l'OTAN en tant que 29e membre en 2017 ?;A) Estonie | B) Monténégro | C) Andorre | D) Islande;B;;
1998;Politique;2;Qui était le 40e président des États-Unis ?;A) Ronald Reagan | B) Richard Nixon | C) Jimmy Carter | D) Bill Clinton;A;;
1999;Politique;2;De 1973 à 1990, quel pays était gouverné par le dictateur Augusto Pinochet ?;A) Indonésie | B) Nicaragua | C) Éthiopie | D) Chili;D;;
2000;Politique;2;Quel est l'objet principal du Quatrième Amendement de la Constitution américaine ?;A) Protéger le droit de détenir et de porter des armes | B) Interdire les peines cruelles et inhabituelles | C) Interdire les perquisitions et saisies abusives | D) Protéger contre l'emprisonnement sans procédure régulière;C;;
2001;Politique;2;Qui était le Premier ministre britannique au déclenchement de la Seconde Guerre mondiale ?;A) Stanley Baldwin | B) Clement Attlee | C) Neville Chamberlain | D) Winston Churchill;C;;
2002;Politique;3;« Yes, America Can ! » était le slogan de campagne de facto de ce politicien américain en 2004.;A) Al Gore | B) Barack Obama | C) John Kerry | D) George W. Bush;D;;
2003;Politique;1;Combien de membres compte la Chambre des représentants des États-Unis ?;A) 435 | B) 415 | C) 260 | D) 50;A;;
2004;Politique;2;Le film de 2014 « The Raid 2 : Berandal » a principalement été tourné dans quel pays asiatique ?;A) Malaisie | B) Indonésie | C) Brunéi | D) Thaïlande;B;;
2005;Politique;3;En juin 2017, l'Arabie saoudite et l'Égypte ont rompu leurs relations avec quel pays en raison de son soutien présumé au terrorisme ?;A) Russie | B) Bahreïn | C) Qatar | D) États-Unis d'Amérique;C;;
2006;Politique;1;Lequel des pays insulaires du Pacifique suivants est régi par une monarchie constitutionnelle ?;A) Tonga | B) Fidji | C) Kiribati | D) Palaos;A;;
2007;Politique;3;Lequel des sénateurs américains suivants est connu pour avoir mené un flibustier parlementaire de 24 heures ?;A) Strom Thurmond | B) John Barrasso | C) Chuck Schumer | D) Roy Blunt;A;;
2008;Politique;3;Quelle tribu/nation amérindienne exige au moins un demi degré de sang (équivalant à un parent) pour être éligible à l'adhésion ?;A) Tribu Sioux de Standing Rock | B) Tribu Kiowa de l'Oklahoma | C) Nation Pawnee de l'Oklahoma | D) Tribu Yomba Shoshone;D;;
2009;Politique;1;À qui appartenait le slogan de campagne présidentielle 2016 « Make America Great Again » ?;A) Bernie Sanders | B) Marco Rubio | C) Ted Cruz | D) Donald Trump;D;;
2010;Politique;2;Quel président américain est réputé avoir eu la barbe la plus longue ?;A) John Quincy Adams | B) James A. Garfield | C) Zachary Taylor | D) Rutherford B. Hayes;D;;
2011;Politique;2;Qui a succédé à Joseph Staline en tant que Secrétaire général du Parti communiste de l'Union soviétique ?;A) Boris Eltsine | B) Mikhaïl Gorbatchev | C) Nikita Khrouchtchev | D) Leonid Brejnev;C;;
2012;Politique;3;Quel est le seul président américain à avoir effectué deux mandats non consécutifs ?;A) Franklin D. Roosevelt | B) Thomas Jefferson | C) Grover Cleveland | D) James K. Polk;C;;
2013;Politique;2;Avant 2016, en quelle autre année Donald Trump s'est-il présenté à la présidence ?;A) 2008 | B) 2000 | C) 2012 | D) 1988;B;;
2014;Politique;2;Quel ancien président américain a utilisé « Let's Make America Great Again » comme slogan de campagne avant Donald Trump ?;A) Jimmy Carter | B) Gerald Ford | C) Ronald Reagan | D) Richard Nixon;C;;
2015;Politique;2;En quelle année le scandale du Watergate a-t-il eu lieu ?;A) 1971 | B) 1974 | C) 1972 | D) 1973;C;;
2016;Politique;3;Quel État américain a été le premier à autoriser les femmes à voter en 1869 ?;A) Wyoming | B) Delaware | C) Californie | D) Virginie;A;;
2017;Politique;2;Quel organe principal des Nations Unies est suspendu depuis 1994 ?;A) Assemblée générale | B) Secrétariat | C) Conseil de tutelle | D) Conseil économique et social;C;;
2018;Politique;3;Qui a été le sénateur américain ayant siégé le plus longtemps dans l'histoire, de 1959 à 2010 ?;A) Robert Byrd | B) Strom Thurmond | C) Daniel Inouye | D) Joe Biden;A;;
2019;Politique;3;L'effondrement de quelle grande banque a été notable comme l'une des causes de la crise financière de 2008 ?;A) Lloyds | B) Barclays | C) HSBC | D) Lehman Brothers;D;;
