id;category;difficulty;question;choices;correct;explanation;source_hint
2265;Animation;2;Comment s'appelle l'arme de Ruby Rose dans RWBY ?;A) Rosebud Épineux | B) Crescent Rose | C) Faux Tordue | D) Magnhild;B;;OpenTDB
2266;Animation;1;Quel est le plat préféré d'Everest dans la série Nickelodeon « La Pat' Patrouille » ?;A) Poulet | B) Caribou | C) Steak | D) Foie;D;;OpenTDB
2267;Animation;1;Qui est le méchant dans « Le Roi Lion » ?;A) Vada | B) Fred | C) Scar | D) Jafar;C;;OpenTDB
2268;Animation;2;Quand le dernier épisode de « Futurama » a-t-il été diffusé avant le retour de 2023 ?;A) 28 mars 1999 | B) 4 novembre 2021 | C) 25 décembre 2010 | D) 4 septembre 2013;D;;OpenTDB
2269;Animation;2;Lequel de ces personnages n'existe pas dans la série « My Little Pony : Les Amies c'est magique » ?;A) Rose Marene | B) Pinkie Pie | C) Maud Pie | D) Rainbow Dash;A;;OpenTDB
2270;Animation;1;Quel est le seul acteur de doublage à avoir eu un rôle parlant dans tous les longs métrages Disney Pixar ?;A) John Ratzenberger | B) Geoffrey Rush | C) Tom Hanks | D) Dave Foley;A;;OpenTDB
2271;Animation;3;Dans la bande dessinée web Homestuck, comment s'appelle le jeu auquel jouent les 4 enfants ?;A) Hiveswap | B) Sburb | C) Homesick | D) Husslie;B;;OpenTDB
2272;Animation;3;Parmi ces petites amies de personnages de dessins animés, laquelle est apparue avant son petit ami ?;A) Lola Bunny | B) Daisy Duck | C) Olive Oyl | D) Minnie Mouse;C;;OpenTDB
2273;Animation;1;Dans la série « La Maison des amis imaginaires », quel personnage était obsédé par le basket ?;A) Wilt | B) Mac | C) Cheese | D) Coco;A;;OpenTDB
2274;Animation;3;Pour lequel de ces films Don Bluth était-il à la fois scénariste, réalisateur et producteur ?;A) Tous les chiens vont au paradis | B) Le Petit Dinosaure et la Vallée des merveilles | C) Titan A.E. | D) Anastasia;A;;OpenTDB
2275;Animation;2;Quel numéro figurait sur le t-shirt de Gérald dans « Arnold » ?;A) 33 | B) 38 | C) 88 | D) 83;A;;OpenTDB
2276;Animation;1;Lequel de ces personnages n'appartient pas à « Les Pierrafeu » ?;A) Lord Rockingham IX | B) Le Grand Gazou | C) Barney Rubble | D) Rockhead Slate;A;;OpenTDB
2277;Animation;2;Dans la série animée RWBY, comment s'appelle l'arme de Weiss Schnee ?;A) Crescent Rose | B) Myrtenaster | C) Gambol Shroud | D) Ember Celica;B;;OpenTDB
2278;Animation;2;Lequel de ces personnages de dessin animé n'est PAS doublé par Rob Paulsen ?;A) The Mask (The Mask, série TV) | B) Carl Wheezer (Jimmy Neutron) | C) Max Tennyson (Ben 10) | D) Yakko Warner (Animaniacs);C;;OpenTDB
2279;Animation;1;Dans « Les Simpson », dans quelle guerre Seymour Skinner a-t-il servi en tant que béret vert ?;A) Guerre froide | B) Guerre du Vietnam | C) Première Guerre mondiale | D) Seconde Guerre mondiale;B;;OpenTDB
2280;Animation;1;Quel est le nom de famille d'un des enseignants masculins dans la série BBC « Facteur Pat » ?;A) Lays | B) Walker | C) Dorito | D) Pringle;D;;OpenTDB
2281;Animation;2;Quelle série Cartoon Network a diffusé son premier épisode le 4 novembre 2013 ?;A) Le Monde incroyable de Gumball | B) Steven Universe | C) Adventure Time | D) Regular Show;B;;OpenTDB
2282;Animation;2;Quel personnage Sanrio a été introduit en 1996 ?;A) Badtz-Maru | B) My Melody | C) Pompompurin | D) Kerropi;C;;OpenTDB
2283;Animation;2;Bugs Bunny, Tony le Tigre et autres personnages animaux bipèdes sont connus sous quel type de personnage ?;A) Anthrogénétique | B) Anthropolégique | C) Anthropologique | D) Anthropomorphe;D;;OpenTDB
2284;Animation;2;Qui donne sa voix au personnage de Diamant Blanc dans Steven Universe ?;A) Rihanna | B) Christine Ebersole | C) Aly Michalka | D) Ellen McLain;B;;OpenTDB
2285;Animation;1;Comment s'appelle la sorcière des mers dans le film Disney de 1989 « La Petite Sirène » ?;A) Madame Mim | B) Lady Trémaine | C) Maléfique | D) Ursula;D;;OpenTDB
2286;Animation;1;Quelle est la relation entre Rick et Morty dans la série « Rick et Morty » ?;A) Grand-père et petit-fils | B) Père et fils | C) Meilleurs amis | D) Partenaires contre le crime;A;;OpenTDB
2287;Animation;1;Butters Stotch, Pip Pirrup et Wendy Testaburger sont des personnages de quelle longue série animée ?;A) South Park | B) Les Simpson | C) Family Guy | D) Bob's Burgers;A;;OpenTDB
2288;Animation;3;Dans le dessin animé de 1969 « Satanas et Diabolo », laquelle de ces phrases ne figurait PAS dans le générique ?;A) Pique-le | B) Marque-le | C) Poignarde-le | D) Attrape-le;C;;OpenTDB
2289;Animation;3;Dans « Gravity Falls », que fait Quentin Trembley lorsqu'il est chassé de la Maison Blanche ?;A) Saute par la fenêtre. | B) Mange une salamandre et saute par la fenêtre. | C) Libère 1 000 salamandres captives dans la Maison Blanche. | D) Part en paix.;B;;OpenTDB
2290;Animation;2;Qui a créé l'émission de comédie en stop motion « Robot Chicken » ?;A) Seth Green | B) Seth Rollins | C) Seth MacFarlane | D) Seth Rogen;A;;OpenTDB
2291;Animation;2;Quelle est la cadence d'images standard pour l'animation ?;A) 24 IPS | B) 30 IPS | C) 60 IPS | D) 12 IPS;A;;OpenTDB
2292;Animation;1;Quel mot signifie « perdu » en hawaïen et est aussi le prénom d'une petite fille dans un film de 2002 avec un alien nommé « Stitch » ?;A) Lolo | B) Lilo | C) Lulu | D) Lucy;B;;OpenTDB
2293;Animation;3;Comment s'appelait le chien de Jonny dans « Les Aventures de Jonny Quest » ?;A) Rocky | B) Bandit | C) Lucky | D) Max;B;;OpenTDB
