id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
2341;Télévision;2;Dans Breaking Bad, les initiales W.W. désignent lequel des personnages suivants ?;In Breaking Bad, the initials W.W. refer to which of the following?;A) Walter White | B) Willy Wonka | C) Wally Walrus | D) William Wolf;A) Walter White | B) Willy Wonka | C) Wally Walrus | D) William Wolf;A;;;"OpenTDB"
2342;Télévision;2;Laquelle de ces personnalités n'a PAS fait de caméo dans « The Drew Carey Show » (1995-2004) ?;"Which of the following figures did NOT have a cameo on ""The Drew Carey Show"" (1995-2004)?";"A) Bill Cosby | B) Daffy Duck | C) Donald Trump | D) ""Weird Al"" Yankovic";"A) Bill Cosby | B) Daffy Duck | C) Donald Trump | D) ""Weird Al"" Yankovic";A;;;"OpenTDB"
2343;Télévision;2;Alan Reed est connu pour avoir prêté sa voix à quel personnage ?;Alan Reed is known for providing the voice of which character?;A) Fred Flintstone | B) Fangface | C) Bugs Bunny | D) G.I. Joe;A) Fred Flintstone | B) Fangface | C) Bugs Bunny | D) G.I. Joe;A;;;"OpenTDB"
2344;Télévision;1;Qui a remporté Big Brother 2014 au Royaume-Uni ?;Who won Big Brother 2014 UK?;"A) Helen Wood | B) Pauline Bennett | C) Pavandeep ""Pav"" Paul | D) Christopher Hall";"A) Helen Wood | B) Pauline Bennett | C) Pavandeep ""Pav"" Paul | D) Christopher Hall";A;;;"OpenTDB"
2345;Télévision;3;Lequel de ces aliments de Star Trek n'est PAS un plat klingon ?;Which of these in the Star Trek series is NOT Klingon food?;A) Gagh | B) Hors d'oeuvre | C) Racht | D) Bloodwine;A) Gagh | B) Hors d'oeuvre | C) Racht | D) Bloodwine;B;;;"OpenTDB"
2346;Télévision;2;Qui a chanté le générique de la série TV « Rawhide » ?;Who sang the theme song for the TV show 'Rawhide'?;A) Slim Whitman | B) Guy Mitchell | C) Frankie Laine | D) Tennessee Ernie Ford;A) Slim Whitman | B) Guy Mitchell | C) Frankie Laine | D) Tennessee Ernie Ford;C;;;"OpenTDB"
2347;Télévision;1;Dans l'épisode « It's a Wonderful Life » de Donkey Kong Country, qui était l'ange gardien de Donkey Kong ?;"When Donkey Kong died in the ""Donkey Kong Country"" episode ""It's a Wonderful Life"", who was his guardian angel?";A) King K. Rool | B) Eddie le Vieux Yéti Méchant | C) Diddy Kong | D) Kiddy Kong;A) King K. Rool | B) Eddie the Mean Old Yeti | C) Diddy Kong | D) Kiddy Kong;B;;;"OpenTDB"
2348;Télévision;1;Quel est le vrai nom du célèbre humoriste espagnol El Risitas ?;What is the real name of the famous spanish humorist, El Risitas?;A) Ernesto Guevara | B) Gabriel Garcia Marquez | C) Jesus Quintero | D) Juan Joya Borga;A) Ernesto Guevara | B) Gabriel Garcia Marquez | C) Jesus Quintero | D) Juan Joya Borga;D;;;"OpenTDB"
2349;Télévision;2;Dans l'épisode « Bandersnatch » de Black Mirror, PAC-MAN signifie :;"In the Black Mirror episode ""Bandersnatch"", PAC-MAN stands for:";A) Physics & Astronomy Classification Man | B) Program And Control Man | C) Political Action Committee Man | D) Postgraduate Aplications Centre Man;A) Physics & Astronomy Classification Man | B) Program And Control Man | C) Political Action Committee Man | D) Postgraduate Aplications Centre Man;B;;;"OpenTDB"
2350;Télévision;2;Le film fictif « Rochelle, Rochelle » apparaît dans quelle sitcom ?;The fictional movie 'Rochelle, Rochelle' features in which sitcom?;A) Cheers | B) Frasier | C) Seinfeld | D) Friends;A) Cheers | B) Frasier | C) Seinfeld | D) Friends;C;;;"OpenTDB"
2351;Télévision;2;Qui joue le personnage de Dennis Reynolds dans « It's Always Sunny in Philadelphia » ?;Who plays the character of Dennis Reynolds on It's Always Sunny in Philadelphia?;A) Danny DeVito | B) Rob McElhenney | C) Charlie Day | D) Glenn Howerton;A) Danny DeVito | B) Rob McElhenney | C) Charlie Day | D) Glenn Howerton;D;;;"OpenTDB"
