id;category;difficulty;question;choices;correct;explanation;source_hint
610;Histoire;2;America's Strategic Defense System during the Cold War was nicknamed after which famous movie?;A) Jaws | B) Star Wars | C) Blade Runner | D) Alien;B;The Strategic Defense Initiative was nicknamed 'Star Wars'.;OpenTDB
611;Histoire;3;Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?;A) Attack on Truk Island | B) Battle of Midway | C) Attack on Pearl Harbor | D) Battle of the Coral Sea;B;The Battle of Midway in June 1942 turned the tide.;OpenTDB
612;Histoire;3;What year was Canada founded in?;A) 1798 | B) 1867 | C) 1859 | D) 1668;B;Canada became a dominion on July 1, 1867.;OpenTDB
613;Histoire;1;Who rode on horseback to warn the Minutemen that the British were coming?;A) Thomas Paine | B) Paul Revere | C) Henry Longfellow | D) Nathan Hale;B;Paul Revere made his famous ride on April 18, 1775.;OpenTDB
614;Histoire;1;Which German field marshal was known as the 'Desert Fox'?;A) Ernst Busch | B) Erwin Rommel | C) Wolfram von Richthofen | D) Wilhelm List;B;Rommel commanded the Afrika Korps in North Africa.;OpenTDB
615;Histoire;2;What was the name of the planned invasion of Japan towards the end of World War II?;A) Operation Boarding Party | B) Operation Downfall | C) Operation Ironclad | D) Operation Aflame;B;Operation Downfall was cancelled after the atomic bombs.;OpenTDB
616;Histoire;2;When was the People's Republic of China founded?;A) April 3, 1947 | B) October 1, 1949 | C) May 7, 1945 | D) December 6, 1950;B;Mao Zedong proclaimed the PRC on October 1, 1949.;OpenTDB
617;Histoire;2;Who was the leader of the Communist Party of Yugoslavia?;A) Karadjordje Petrovic | B) Josip Broz Tito | C) Milos Obilic | D) Aleskandar Petrovic;B;Tito led Yugoslavia from 1945 to 1980.;OpenTDB
618;Histoire;3;The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?;A) Constantine IV | B) Justinian I | C) Arcadius | D) Theodosius the Great;B;Justinian I built Hagia Sophia between 532 and 537.;OpenTDB
619;Histoire;1;The 'Trail of Tears' was a result of which United States President's Indian Removal Policy?;A) Harry S. Truman | B) Andrew Jackson | C) Martin Van Buren | D) John Quincy Adams;B;Andrew Jackson signed the Indian Removal Act in 1830.;OpenTDB
620;Histoire;2;Which building was set aflame on August 24th, 1812?;A) Parliament Building | B) The White House | C) Grand National Assembly | D) Palace of the Nation;B;The British burned the White House during the War of 1812.;OpenTDB
621;Histoire;2;In what year was the last natural case of smallpox documented?;A) 1982 | B) 1977 | C) 1980 | D) 1990;B;The last natural case was in Somalia in 1977.;OpenTDB
622;Histoire;3;Toussaint Louverture led a successful slave revolt in which country?;A) France | B) Haiti | C) Cuba | D) United States;B;He led the Haitian Revolution from 1791 to 1804.;OpenTDB
