id;category;difficulty;question;choices;correct;explanation;source_hint
698;Jeux Vidéo;1;Aperture Science CEO Cave Johnson is voiced by which American actor?;A) Nolan North | B) J.K. Simmons | C) John Patrick Lowrie | D) Christopher Lloyd;B;J.K. Simmons voices Cave Johnson in Portal 2.;OpenTDB
699;Jeux Vidéo;1;The protagonist of the hit game, Half-Life 2 is called:;A) Alyx Vance | B) Gordon Freeman | C) Isaac Kleiner | D) Wallace Breen;B;Gordon Freeman is a physicist turned resistance hero.;OpenTDB
700;Jeux Vidéo;1;The starting pistol of the Terrorist team in CS:GO is what?;A) Tec-9 | B) Glock-18 | C) Desert Eagle | D) Dual Berettas;B;Terrorists start with the Glock-18.;OpenTDB
701;Jeux Vidéo;1;Who is Sonic's sidekick?;A) Shadow | B) Tails | C) Amy | D) Knuckles;B;Tails (Miles Prower) has accompanied Sonic since 1992.;OpenTDB
702;Jeux Vidéo;1;Who is the main antagonist in the Portal franchise?;A) Chell | B) GLaDOS | C) Wheatley | D) Rick;B;GLaDOS is the AI controlling the Aperture Enrichment Center.;OpenTDB
703;Jeux Vidéo;1;What war is Call Of Duty: Black Ops based on?;A) WW3 | B) Cold War | C) Vietnam | D) WW1;B;Black Ops takes place during the Cold War.;OpenTDB
704;Jeux Vidéo;1;'The Potato Sack' was a collection of indie games released as a promotion for which game?;A) Left 4 Dead 2 | B) Portal 2 | C) Half-Life 3 | D) Dota 2;B;This collection promoted Portal 2 in 2011.;OpenTDB
705;Jeux Vidéo;1;Which of these is NOT a playable character in the 2016 video game Overwatch?;A) Mercy | B) Invoker | C) Winston | D) Zenyatta;B;Invoker is a Dota 2 character, not Overwatch.;OpenTDB
706;Jeux Vidéo;1;In Super Mario Bros., who informs Mario that the princess is in another castle?;A) Luigi | B) Toad | C) Yoshi | D) Bowser;B;Toad appears at the end of each level to give this info.;OpenTDB
707;Jeux Vidéo;1;Which name is the 'Mega Man' Franchise known as in Japan?;A) Paperman | B) Rockman | C) Scissorsman | D) Mega Man;B;The franchise has been called Rockman in Japan since 1987.;OpenTDB
708;Jeux Vidéo;1;In Oblivion, the horse Shadowmere is given by what guild?;A) Thieves | B) Dark Brotherhood | C) Fighters | D) Mages;B;Shadowmere is given during the Dark Brotherhood quest.;OpenTDB
709;Jeux Vidéo;1;In Fallout: New Vegas, which casino can you not play in?;A) The Tops | B) Lucky 38 | C) Gomorrah | D) Ultra-Luxe;B;The Lucky 38 is Mr. House's casino, closed to the public.;OpenTDB
710;Jeux Vidéo;1;In what year was Hearthstone released?;A) 2011 | B) 2014 | C) 2013 | D) 2012;B;Hearthstone was officially released in March 2014.;OpenTDB
711;Jeux Vidéo;2;What engine did the original 'Half-Life' run on?;A) Source | B) GoldSrc | C) Quake | D) Unreal;B;GoldSrc was a modified version of the Quake engine.;OpenTDB
712;Jeux Vidéo;1;Who is the main protagonist in Danganronpa 2: Goodbye Despair?;A) Nagito Komaeda | B) Hajime Hinata | C) Makoto Naegi | D) Junko Enoshima;B;Hajime Hinata is the protagonist of the second game.;OpenTDB
713;Jeux Vidéo;2;What is the name of the prison in 'Half-Life 2'?;A) Great Prospekt | B) Nova Prospekt | C) New Prospect | D) Lesser Prospekt;B;Nova Prospekt is a former prison converted by the Combine.;OpenTDB
714;Jeux Vidéo;3;In Halo, what is the name of the race of aliens humans refer to as 'Grunts'?;A) Huragok | B) Unggoy | C) Sangheili | D) Yanme'e;B;Unggoy are the small methane-breathing aliens.;OpenTDB
715;Jeux Vidéo;2;What item is required to summon Duke Fishron in Terraria?;A) Suspicious Fish | B) Truffle Worm | C) King Grasshopper | D) Slug;B;The truffle worm is used as bait in the ocean.;OpenTDB
716;Jeux Vidéo;2;Which game was the first time Mario was voiced by Charles Martinet?;A) Mario's Game Gallery | B) Super Mario 64 | C) Mario Tennis | D) Dr. Mario 64;A;Charles Martinet first voiced Mario in Mario's Game Gallery in 1995.;OpenTDB
717;Jeux Vidéo;2;In Pokémon Conquest, which warlord can bond with Zekrom?;A) The Player | B) Nobunaga | C) Oichi | D) Hideyoshi;B;Nobunaga is the main antagonist of Pokémon Conquest.;OpenTDB
758;Jeux Vidéo;2;What is the 4th boss in Crash Bandicoot 2: Cortex Strikes Back?;A) Dr. Neo Cortex | B) Dr. N. Gin | C) Komodo Brothers | D) Tiny Tiger;B;Dr. N. Gin is the mad scientist with a missile in his head.;OpenTDB
759;Jeux Vidéo;3;Why were only 300,000 copies of Uniracers produced?;A) Poor reviews | B) DMA Design sued by Pixar | C) Nintendo disagreement | D) No public info;B;Pixar sued DMA Design for copyright on animated unicycles.;OpenTDB
760;Jeux Vidéo;2;Who voiced Joel in The Last of Us?;A) Nolan North | B) Troy Baker | C) John DiMaggio | D) Steve Blum;B;Troy Baker is famous for his roles in many AAA games.;OpenTDB
761;Jeux Vidéo;1;In Minecraft, which ingredient is needed to brew a Potion of Water Breathing?;A) Ink sac | B) Pufferfish | C) Pumpkin | D) Fishing rod;B;Pufferfish is used for the water breathing potion.;OpenTDB
762;Jeux Vidéo;3;In Call Of Duty: Zombies, which map gives the 'High Maintenance' achievement?;A) Mob Of The Dead | B) Die Rise | C) Origins | D) Ascension;B;Die Rise is the map from the Revolution DLC of Black Ops 2.;OpenTDB
763;Jeux Vidéo;2;"The 'D' in 'D-Mail' from Steins;Gate stands for what?";A) Deep | B) DeLorean | C) Demo | D) Dev;B;Reference to the DeLorean from Back to the Future.;OpenTDB
764;Jeux Vidéo;2;In Sonic Forces, which character was not from a previous game?;A) Metal Sonic | B) Infinite | C) Zavok | D) Chaos;B;Infinite is the new antagonist created for Sonic Forces.;OpenTDB
765;Jeux Vidéo;2;Which character was NOT playable in Kingdom Hearts: Birth by Sleep?;A) Ventus | B) Ignis | C) Terra | D) Aqua;B;Ignis is a character from Final Fantasy XV, not KH.;OpenTDB
766;Jeux Vidéo;1;Who created the digital distribution platform Steam?;A) Ubisoft | B) Valve | C) EA | D) Pixeltail Games;B;Steam was launched by Valve in 2003.;OpenTDB
767;Jeux Vidéo;2;What was the hero's name in the 80s game Dragon's Lair?;A) Arthur | B) Dirk the Daring | C) Sir Toby | D) Guy of Gisbourne;B;Dirk the Daring is the brave knight from the laserdisc game.;OpenTDB
768;Jeux Vidéo;2;How much health does the Scout have in Team Fortress 2?;A) 100 | B) 70 | C) 50 | D) 95;B;Scout has the least HP but is the fastest.;OpenTDB
769;Jeux Vidéo;2;What is the name of the protagonist in Braid?;A) James | B) Tim | C) Boregard | D) Jackson;B;Tim seeks to save a princess by manipulating time.;OpenTDB
770;Jeux Vidéo;3;Which are NOT Echo Fighters in Super Smash Bros Ultimate?;A) Marth & Lucina | B) Link & Young Link | C) Richter & Simon | D) Peach & Daisy;B;Link and Young Link have different movesets.;OpenTDB
771;Jeux Vidéo;2;What delayed Half-Life 2 development?;A) Bugs | B) Source code got leaked | C) Poor story | D) Dissatisfaction;B;The source code was stolen by a hacker in 2003.;OpenTDB
772;Jeux Vidéo;2;Which horror movie had a video game sequel in 2002?;A) Evil Dead | B) The Thing | C) Saw | D) Alien;B;The Thing had a sequel game developed by Computer Artworks.;OpenTDB
773;Jeux Vidéo;2;Which car is on the cover of Need for Speed Underground?;A) Mazda RX-7 | B) Nissan Skyline GT-R R34 | C) Acura Integra | D) Subaru Impreza;B;The green Skyline R34 is iconic to NFSU.;OpenTDB
774;Jeux Vidéo;2;Who is the voice actor for Max Payne?;A) Sam Lake | B) James McCaffrey | C) Troy Baker | D) Hideo Kojima;B;James McCaffrey voiced Max in all three games.;OpenTDB
775;Jeux Vidéo;1;Who is the first creature encountered in Undertale?;A) Toriel | B) Flowey | C) Sans | D) Papyrus;B;Flowey tries to kill the player at the start of the game.;OpenTDB
776;Jeux Vidéo;2;What are the main enemies called in Oddworld?;A) Scrabs | B) Sligs | C) Slogs | D) Glukkons;B;Sligs are the armed guards protecting the factories.;OpenTDB
777;Jeux Vidéo;2;Who developed Game Dev Tycoon?;A) Greenland Games | B) Greenheart Games | C) Tycoonists | D) MomCorp;B;Greenheart Games is an independent Australian studio.;OpenTDB
778;Jeux Vidéo;3;In the Fallout series, when did The Great War happen?;A) May 15, 2058 | B) October 23, 2077 | C) December 14, 2069 | D) November 5, 2076;B;The nuclear Great War destroyed civilization in 2 hours.;OpenTDB
779;Jeux Vidéo;3;In Terraria, which debuff does the ankh charm NOT protect against?;A) Cursed | B) Venom | C) Bleeding | D) Slow;B;Venom is not covered by the ankh charm.;OpenTDB
780;Jeux Vidéo;3;Which variant of the MP5 is in Counter-Strike 1.6?;A) MP5SD | B) MP5N | C) MP5K | D) MP5RAS;B;The MP5N (Navy) is the standard US Navy version.;OpenTDB
781;Jeux Vidéo;3;Which car is NOT in the 2002 Lego Drome Racers game?;A) Raptor | B) Wasp | C) Hornet | D) Behemoth;B;Wasp is not a vehicle in Drome Racers.;OpenTDB
782;Jeux Vidéo;3;In Undertale, what Fun Value gives the Fake Hallway?;A) 91 | B) 66 | C) 45 | D) 39;B;Fun Value 66 triggers this secret event.;OpenTDB
783;Jeux Vidéo;3;Which character was considered but excluded from Super Smash Bros. Melee?;A) Diddy Kong | B) James Bond | C) Mega Man | D) Wave Racer;B;James Bond was considered but rights issues excluded him.;OpenTDB
784;Jeux Vidéo;2;What is Aoi Asahina's ultimate ability in Danganronpa?;A) Ultimate Detective | B) Ultimate Swimmer | C) Ultimate Gambler | D) Ultimate Dancer;B;Aoi is the Ultimate Swimmer and loves donuts.;OpenTDB
785;Jeux Vidéo;3;Which game was exclusive to Dreamcast?;A) Perfect Dark | B) Pen Pen TriIcelon | C) Tetrisphere | D) Sylvester & Tweety;B;Pen Pen TriIcelon is a 1998 Dreamcast exclusive racing game.;OpenTDB
786;Jeux Vidéo;3;In the National Pokedex, what number is Porygon-Z?;A) 376 | B) 474 | C) 432 | D) 589;B;Porygon-Z is #474, evolved from Porygon2.;OpenTDB
787;Jeux Vidéo;1;What is the name of the main character in The Legend of Zelda?;A) Zelda | B) Link | C) Ganon | D) Epona;B;Link is the silent hero of the series.;OpenTDB
788;Jeux Vidéo;1;In which game can you find Creepers?;A) Terraria | B) Minecraft | C) Roblox | D) Fortnite;B;The Creeper is Minecraft's iconic monster.;OpenTDB
789;Jeux Vidéo;1;Which company created the Super Mario series?;A) Sega | B) Nintendo | C) Sony | D) Microsoft;B;Nintendo created Mario in 1981 with Donkey Kong.;OpenTDB
790;Jeux Vidéo;1;What is the name of the princess Mario often rescues?;A) Daisy | B) Peach | C) Rosalina | D) Pauline;B;Princess Peach rules the Mushroom Kingdom.;OpenTDB
791;Jeux Vidéo;1;In Pac-Man, what color is Blinky?;A) Pink | B) Red | C) Orange | D) Blue;B;Blinky is the red ghost that directly follows Pac-Man.;OpenTDB
792;Jeux Vidéo;1;Which video game character is a plumber?;A) Sonic | B) Mario | C) Crash | D) Spyro;B;Mario is a plumber but mostly fights turtles.;OpenTDB
793;Jeux Vidéo;1;In Pokémon, which type beats water?;A) Fire | B) Grass | C) Rock | D) Ground;B;Grass type is super effective against Water.;OpenTDB
794;Jeux Vidéo;1;What is Mario's rival called?;A) Bowser | B) Wario | C) Waluigi | D) Donkey Kong;B;Wario is the evil version of Mario created in 1992.;OpenTDB
795;Jeux Vidéo;1;Which console was created by Sony?;A) Xbox | B) PlayStation | C) Switch | D) Dreamcast;B;PlayStation was released in 1994 in Japan.;OpenTDB
796;Jeux Vidéo;1;What is the name of Sega's blue hedgehog?;A) Shadow | B) Sonic | C) Silver | D) Metal;B;Sonic the Hedgehog appeared in 1991.;OpenTDB
797;Jeux Vidéo;1;In Fortnite, what is the starting bus called?;A) Sky Bus | B) Battle Bus | C) Party Bus | D) Storm Bus;B;The Battle Bus drops players onto the island.;OpenTDB
798;Jeux Vidéo;2;Which studio developed Dark Souls?;A) Capcom | B) FromSoftware | C) Square Enix | D) Bandai Namco;B;FromSoftware is known for its difficult games.;OpenTDB
799;Jeux Vidéo;2;Which game introduced the term 'Battle Royale' to video games?;A) Fortnite | B) PUBG | C) H1Z1 | D) Apex Legends;B;PUBG popularized the Battle Royale genre in 2017.;OpenTDB
800;Jeux Vidéo;2;In which game do you play a monster hunter named Geralt?;A) Monster Hunter | B) The Witcher | C) Dragon Age | D) Skyrim;B;Geralt of Rivia is the protagonist of The Witcher series.;OpenTDB
801;Jeux Vidéo;2;Which franchise has the slogan 'Gotta Catch 'Em All'?;A) Digimon | B) Pokémon | C) Monster Rancher | D) Yo-kai Watch;B;This slogan has been used since 1998 in the West.;OpenTDB
802;Jeux Vidéo;2;In Among Us, what is the traitor called?;A) Spy | B) Impostor | C) Killer | D) Alien;B;The Impostor must eliminate the crew without being caught.;OpenTDB
803;Jeux Vidéo;2;What is the name of the companion robot in Borderlands?;A) R2-D2 | B) Claptrap | C) WALL-E | D) Codsworth;B;Claptrap is a chatty and endearing robot.;OpenTDB
804;Jeux Vidéo;2;In Bioshock, what is the underwater city called?;A) Atlantis | B) Rapture | C) Columbia | D) Neptune;B;Rapture was built by Andrew Ryan.;OpenTDB
