id;category;difficulty;question;choices;correct;explanation;source_hint
2050;Livres;1;Dans quel livre Harry Potter rencontre-t-on un Horcrux pour la première fois ?;A) La Chambre des Secrets | B) La Coupe de Feu | C) Les Reliques de la Mort | D) Le Prince de Sang-Mêlé;A;;
2051;Livres;1;Qui est l'auteur du roman « Sa Majesté des Mouches » (1954) ?;A) William Golding | B) F. Scott Fitzgerald | C) Hunter Fox | D) Stephen King;A;;
2052;Livres;1;Qui a écrit « Un Conte de Deux Villes » ?;A) Charles Darwin | B) Mark Twain | C) Roald Dahl | D) Charles Dickens;D;;
2053;Livres;2;Quel auteur américain, également écrivain de voyage, a raconté ses aventures avec son chien Charley ?;A) William Faulkner | B) Ernest Hemingway | C) F. Scott Fitzgerald | D) John Steinbeck;D;;
2054;Livres;1;Quel célèbre romancier d'espionnage a écrit l'histoire pour enfants « Chitty-Chitty-Bang-Bang » ?;A) John Buchan | B) Graham Greene | C) Joseph Conrad | D) Ian Fleming;D;;
2055;Livres;2;Quel était le dernier message des dauphins dans « Le Guide du voyageur galactique » ?;A) « Adieu monde cruel ! » | B) « Terre des braves. » | C) « Au revoir, et merci pour le poisson. » | D) « La réponse est 42. »;C;;
2056;Livres;3;Dans quel roman classique trouve-t-on un personnage nommé Homer Simpson ?;A) Des souris et des hommes | B) A Separate Peace | C) The Day of the Locust | D) Catch-22;C;;
2057;Livres;3;Dans l'univers de Magic : The Gathering, l'extension « Fallen Empires » se déroule sur quel continent ?;A) Shiv | B) Sarpadia | C) Otaria | D) Terisiare;B;;
2058;Livres;2;En 1818, la romancière Mary Shelley est créditée d'avoir écrit un roman de fiction et créé ce personnage tristement célèbre.;A) Dracula | B) The Thing | C) Le monstre de Frankenstein | D) L'Homme invisible;C;;
2059;Livres;1;Quel est le nom du protagoniste du roman « L'Attrape-cœurs » de J.D. Salinger ?;A) Randall Flagg | B) Jay Gatsby | C) Holden Caulfield | D) Fletcher Christian;C;;
2060;Livres;2;Laquelle de ces séries de livres est signée James Patterson ?;A) Maximum Ride | B) The Legend of Xanth | C) Harry Potter | D) The Bartemaeus Trilogy;A;;
2061;Livres;2;Dans « Le Roman des Trois Royaumes », qui ne faisait pas partie du Serment du Jardin des Pêchers ?;A) Guan Yu | B) Liu Bei | C) Zhao Yun | D) Zhang Fei;C;;
2062;Livres;1;Qui a écrit le roman « Las Vegas Parano » ?;A) Hunter S. Thompson | B) Henry Miller | C) F. Scott Fitzgerald | D) William S. Burroughs;A;;
2063;Livres;2;Quel est le quatrième livre de l'Ancien Testament ?;A) Lévitique | B) Exode | C) Genèse | D) Nombres;D;;
2064;Livres;3;Quel est le deuxième prénom de Ron Weasley ?;A) John | B) Arthur | C) Dominic | D) Bilius;D;;
2065;Livres;1;Quelle a été la toute première entrée écrite pour le projet d'écriture collaborative SCP Foundation ?;A) SCP-001 | B) SCP-173 | C) SCP-999 | D) SCP-1459;B;;
2066;Livres;1;Quel est le deuxième livre de la série « Le Trône de Fer » de George R. R. Martin ?;A) A Dance with Dragons | B) A Storm of Swords | C) A Feast for Crows | D) A Clash of Kings;D;;
2067;Livres;3;Dans les livres de Beatrix Potter, quel type d'animal est Tommy Brock ?;A) Lapin | B) Grenouille | C) Renard | D) Blaireau;D;;
2068;Livres;2;Laquelle des œuvres suivantes n'est pas de Fiodor Dostoïevski ?;A) Notes du sous-sol | B) Anna Karénine | C) Les Frères Karamazov | D) Crime et Châtiment;B;;
2069;Livres;1;Quel est le nom du chien à trois têtes dans « Harry Potter à l'École des Sorciers » ?;A) Spike | B) Spot | C) Poofy | D) Touffu;D;;
2070;Livres;2;Quel est le nom du gang dont fait partie Ponyboy dans le roman « Outsiders » ?;A) Les Socs | B) Les Outsiders | C) Les Greasers | D) La Mafia;C;;
2071;Livres;3;Dans l'univers Harry Potter, qui Draco Malefoy épouse-t-il ?;A) Millicent Bulstrode | B) Hermione Granger | C) Pansy Parkinson | D) Astoria Greengrass;D;;
2072;Livres;3;Dans la série « Harry Potter », quel est le nom complet du directeur Dumbledore ?;A) Albus Percival Wulfric Brian Dumbledore | B) Albus Valum Jetta Mobius Dumbledore | C) Albus James Lunae Otto Dumbledore | D) Albus Valencium Horatio Kul Dumbledore;A;;
2073;Livres;2;Dans « Wyrd Sisters » de Terry Pratchett, laquelle de ces femmes n'est pas l'une des trois sorcières principales ?;A) Winny Hathersham | B) Magrat Garlick | C) Granny Weatherwax | D) Nanny Ogg;A;;
2074;Livres;3;Abel Magwitch est un personnage de quel roman de Charles Dickens ?;A) Oliver Twist | B) Les Grandes Espérances | C) Les Papiers posthumes du Pickwick Club | D) Nicholas Nickleby;B;;
2075;Livres;1;Lequel de ces titres N'est PAS un livre de la série Harry Potter ?;A) Le Prisonnier d'Azkaban | B) Les Reliques de la Mort | C) L'Elfe de Maison | D) La Chambre des Secrets;C;;
2076;Livres;2;Dans « Le Hobbit », qui tue Smaug ?;A) Bard | B) Gandalf le Gris | C) Frodon | D) Bilbo Baggins;A;;
2077;Livres;1;Quel roman classique s'ouvre par la ligne « Appelez-moi Ismaël » ?;A) Moby Dick | B) Les Hauts de Hurlevent | C) Un Conte de Deux Villes | D) Kidnapped;A;;
2078;Livres;3;Selon le roman de Bram Stoker, dans quelle ville côtière britannique Dracula débarqua-t-il ?;A) Whitby | B) Brighton | C) Scarborough | D) Portsmouth;A;;
2079;Livres;1;Quel est le titre du premier roman Sherlock Holmes d'Arthur Conan Doyle ?;A) Une étude en rouge | B) Une affaire d'identité | C) The Doings of Raffles Haw | D) Le Signe des Quatre;A;;
2080;Livres;2;Le roman « La Ferme des Animaux » de George Orwell s'est inspiré de quel événement historique ?;A) La montée du fascisme et les influences d'Hitler. | B) La montée du communisme et les politiques de Staline. | C) La montée du Japon impérial et le contrôle du Pacifique. | D) Le New Deal de Franklin D. Roosevelt et ses effets sur la Grande Dépression.;B;;
2081;Livres;2;Qui a écrit la série de romans de fantasy « Le Trône de Fer » ?;A) George Eliot | B) George Lucas | C) George R. R. Martin | D) George Orwell;C;;
2082;Livres;2;Dans la série de livres pour enfants, d'où vient Paddington l'ours ?;A) Canada | B) Pérou | C) Islande | D) Inde;B;;
2083;Livres;1;Qui a écrit « Harry Potter » ?;A) Daniel Radcliffe | B) J.R.R. Tolkien | C) Terry Pratchett | D) J.K. Rowling;D;;
2084;Livres;2;Qui est l'auteur de « Username Evie » ?;A) Alfie Deyes | B) Joe Sugg | C) Joe Weller | D) Zoe Sugg;B;;
2085;Livres;3;Dans « Les Mensonges de Locke Lamora », que signifie « Lamora » en Throne Therin ?;A) Justice | B) Vol | C) Ombre | D) Chaos;C;;
2086;Livres;1;Sous quel pseudonyme Stephen King a-t-il publié cinq romans entre 1977 et 1984 ?;A) Lewis Carroll | B) J. D. Robb | C) Mark Twain | D) Richard Bachman;D;;
2087;Livres;2;Selon « Le Guide du voyageur galactique », la réponse à la vie, à l'univers et à tout le reste est…;A) La mort | B) 42 | C) Le chocolat | D) Aimer tous ceux qui nous entourent;B;;
2088;Livres;3;Quel est le deuxième prénom d'Hermione Granger ?;A) Jane | B) Jo | C) Emma | D) Jean;D;;
2089;Livres;3;Laquelle des œuvres suivantes n'est PAS de Shakespeare ?;A) Trial of Temperance | B) Mesure pour mesure | C) Titus Andronicus | D) Cymbeline;A;;
2090;Livres;3;Dans quel roman classique de Mark Twain un mendiant et le Prince de Galles échangent-ils leurs vêtements et découvrent les inégalités sociales ?;A) Le Prince et le Pauvre | B) Hamlet | C) Wealthy Boy and the Schmuck | D) A Modern Twain Story;A;;
2091;Livres;3;Quel auteur a co-écrit « Le Manifeste du Parti Communiste » aux côtés de Karl Marx ?;A) Alexander Kerensky | B) Paul Lafargue | C) Friedrich Engels | D) Robert Owen;C;;
2092;Livres;2;Lequel de ces auteurs n'est pas né en Angleterre ?;A) H G Wells | B) Arthur Conan Doyle | C) Arthur C Clarke | D) Graham Greene;B;;
