id;category;difficulty;question;choices;correct;explanation;source_hint
581;Chimie;1;Quel est le symbole chimique du mercure ?;A) Me | B) Hg | C) Mc | D) Hy;B;Hg vient du latin 'hydrargyrum' (argent liquide).;OpenTDB
582;Espace;1;Qu'y a-t-il au centre de notre galaxie ?;A) Un trou de ver | B) Un trou noir | C) Une supernova | D) Un quasar;B;Sagittarius A* est le trou noir supermassif au centre de la Voie Lactée.;OpenTDB
583;Biologie;1;Quelle est la centrale énergétique de la cellule ?;A) Ribosome | B) Mitochondrie | C) Noyau | D) Cytoplasme;B;Les mitochondries produisent l'ATP, l'énergie cellulaire.;OpenTDB
584;Sciences de la Terre;3;Quelle extinction massive a été causée par un astéroïde et a éliminé les dinosaures ?;A) Trias-Jurassique | B) Crétacé-Paléogène | C) Permien-Trias | D) Ordovicien-Silurien;B;L'extinction K-Pg s'est produite il y a 66 millions d'années.;OpenTDB
585;Sciences de la Terre;2;Quel minéral a le numéro le plus bas sur l'échelle de Mohs ?;A) Quartz | B) Talc | C) Diamant | D) Gypse;B;Le talc a une dureté de 1 sur l'échelle de Mohs.;OpenTDB
586;Physique;2;Quelle est l'unité SI du courant électrique ?;A) Volt | B) Ampère | C) Ohm | D) Watt;B;L'ampère mesure l'intensité du courant électrique.;OpenTDB
587;Espace;2;De quels deux éléments le Soleil est-il principalement composé ?;A) Hydrogène et Azote | B) Hydrogène et Hélium | C) Carbone et Azote | D) Carbone et Hélium;B;Le Soleil est composé à 74% d'hydrogène et 24% d'hélium.;OpenTDB
588;Chimie;2;À quel élément correspond Au dans le tableau périodique ?;A) Argent | B) Or | C) Oxygène | D) Nickel;B;Au vient du latin 'aurum' signifiant or.;OpenTDB
589;Chimie;2;Quelle est la formule chimique de l'ammoniac ?;A) CO2 | B) NH3 | C) NO3 | D) CH4;B;L'ammoniac est composé d'un atome d'azote et trois d'hydrogène.;OpenTDB
590;Sciences de la Terre;2;Comment s'appelle la couche la plus basse de l'atmosphère terrestre ?;A) Stratosphère | B) Troposphère | C) Mésosphère | D) Thermosphère;B;La troposphère s'étend de 0 à environ 12 km d'altitude.;OpenTDB
591;Chimie;2;Quel est le symbole de l'étain dans le tableau périodique ?;A) Ti | B) Sn | C) Ni | D) Na;B;Sn vient du latin 'stannum' signifiant étain.;OpenTDB
592;Biologie;1;Combien de copies de chaque gène les cellules humaines possèdent-elles ?;A) 1 | B) 2 | C) 4 | D) 3;B;Les humains sont diploïdes avec deux copies de chaque gène.;OpenTDB
593;Physique;1;Quelle est l'unité SI de distance ?;A) Angström | B) Mètre | C) Pied | D) Brasse;B;Le mètre est l'unité de base du système international.;OpenTDB
594;Biologie;3;Quelle est la toxine la plus puissante connue ?;A) Ricine | B) Toxine botulique | C) Cyanure | D) Amiante;B;La toxine botulique est létale à des doses infimes.;OpenTDB
595;Sciences;2;Comment s'appelle le biais cognitif où une personne peu compétente se croit supérieure ?;A) Effet Meyers-Briggs | B) Effet Dunning-Kruger | C) Effet Müller-Lyer | D) Effet Freud-Hall;B;L'effet Dunning-Kruger a été décrit en 1999.;OpenTDB
