id;category;difficulty;question;choices;correct;explanation;source_hint
562;Musique;2;Who is the lead singer of the Smashing Pumpkins?;A) Brett Scallions | B) Billy Corgan | C) Eddie Vedder | D) Chino Moreno;B;Billy Corgan founded the band in 1988.;OpenTDB
563;Musique;1;The tuba is a part of which musical family?;A) Percussion | B) Brass | C) Strings | D) Woodwind;B;The tuba is a brass wind instrument.;OpenTDB
564;Musique;2;The 2023 Beatles song 'Now and Then' originated from an unfinished demo recorded by which Beatle?;A) Paul McCartney | B) John Lennon | C) George Harrison | D) Ringo Starr;B;John Lennon recorded this demo in the late 1970s.;OpenTDB
565;Musique;1;Which singer was featured in Jack Ü's 2015 song 'Where Are Ü Now'?;A) Selena Gomez | B) Justin Bieber | C) Ellie Goulding | D) The Weeknd;B;Justin Bieber sang on this Skrillex and Diplo hit.;OpenTDB
566;Musique;2;Who was the guitarist in the band 'The Doors'?;A) Eric Clapton | B) Robby Krieger | C) John Densmore | D) Jimi Hendrix;B;Robby Krieger was the legendary guitarist of The Doors.;OpenTDB
567;Musique;2;Which rock band released the album 'The Bends' in March 1995?;A) Nirvana | B) Radiohead | C) Coldplay | D) U2;B;The Bends is Radiohead's second studio album.;OpenTDB
568;Musique;2;In August 1964, who introduced the Beatles to cannabis?;A) Jim Morrison | B) Bob Dylan | C) Brian Epstein | D) Jerry Garcia;B;Bob Dylan introduced the Beatles to marijuana in New York.;OpenTDB
569;Musique;2;From which country does the piano originate?;A) Germany | B) Italy | C) Austria | D) France;B;The piano was invented in Italy by Bartolomeo Cristofori around 1700.;OpenTDB
570;Musique;2;Which country does the electronic music duo 'The Knife' originate from?;A) Finland | B) Sweden | C) Denmark | D) Norway;B;The Knife is a Swedish duo formed in 1999.;OpenTDB
571;Musique;1;Which classical composer wrote the 'Moonlight Sonata'?;A) Mozart | B) Ludwig Van Beethoven | C) Brahms | D) Bach;B;Beethoven composed this sonata in 1801.;OpenTDB
572;Musique;1;Which English guitarist has the nickname 'Slowhand'?;A) Mark Knopfler | B) Eric Clapton | C) Jeff Beck | D) Jimmy Page;B;Eric Clapton got this nickname for his laid-back playing style.;OpenTDB
573;Musique;3;Which of Michael Jackson's albums sold the most copies?;A) Dangerous | B) Thriller | C) Bad | D) Off the Wall;B;Thriller is the best-selling album of all time.;OpenTDB
574;Musique;1;Whose albums included 'Back in Black' and 'Ballbreaker'?;A) Iron Maiden | B) AC/DC | C) Black Sabbath | D) Metallica;B;AC/DC released these legendary rock albums.;OpenTDB
575;Musique;1;'Hallelujah' is a song written by which Canadian recording artist?;A) Kory Lefkowits | B) Leonard Cohen | C) Ryan Letourneau | D) Justin Bieber;B;Leonard Cohen wrote Hallelujah in 1984.;OpenTDB
576;Musique;2;Who is the frontman of Muse?;A) Dominic Howard | B) Matt Bellamy | C) Thom Yorke | D) Jonny Greenwood;B;Matt Bellamy is the singer and guitarist of Muse.;OpenTDB
577;Musique;1;In 2006, which band released their debut album 'A Fever You Can't Sweat Out'?;A) Twenty One Pilots | B) Panic! At the Disco | C) My Chemical Romance | D) Fall Out Boy;B;Panic! At the Disco launched their career with this album.;OpenTDB
578;Musique;2;Which Queen song was covered in the 2006 film 'Happy Feet'?;A) Under Pressure | B) Somebody to Love | C) Flash | D) Bohemian Rhapsody;B;Brittany Murphy sang Somebody to Love in the film.;OpenTDB
579;Musique;1;Who is the lead singer of Pearl Jam?;A) Ozzy Osbourne | B) Eddie Vedder | C) Stone Gossard | D) Kurt Cobain;B;Eddie Vedder is the iconic voice of Pearl Jam.;OpenTDB
580;Musique;2;Which Queen song was sampled in Vanilla Ice's 'Ice Ice Baby'?;A) Don't Stop Me Now | B) Under Pressure | C) Brighton Rock | D) Lazing On A Sunday Afternoon;B;The bass line from Under Pressure was sampled.;OpenTDB
868;Musique;1;Which Canadian reggae musician had a 1993 hit with the song Informer?;A) Hail | B) Rain | C) Sleet | D) Snow;D;;OpenTDB
869;Musique;3;Electronic artists Boys Noize and Skrillex have collaborated under what name?;A) Noisia | B) What So Not | C) Jack U | D) Dog Blood;D;;OpenTDB
870;Musique;3;Who sings the rap song Secret Wars Part 1?;A) Masta Killa | B) MC Frontalot | C) The Last Emperor | D) Busdriver;C;;OpenTDB
871;Musique;2;How many copies has the Metallica Black Album sold worldwide (in millions)?;A) 22.5 million | B) 25.5 million | C) 19.5 million | D) 20.5 million;D;;OpenTDB
872;Musique;2;Who is the frontman of Muse?;A) Matt Bellamy | B) Dominic Howard | C) Jonny Greenwood | D) Thom Yorke;A;;OpenTDB
873;Musique;2;Which of these is NOT an album released by The Beatles?;A) Revolver | B) The Wall | C) Magical Mystery Tour | D) Abbey Road;B;;OpenTDB
