id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
1498;Jeux;1;Quand le jeu de société Twister a-t-il été commercialisé ?;When was the board game Twister, released to the public?;A) Avril 1966 | B) Février 1966 | C) Janvier 1969 | D) Septembre 1965;A) April 1966 | B) February 1966 | C) January 1969 | D) September 1965;A;"";"";"OpenTDB"
1499;Jeux;1;Aux échecs, quelle est une caractéristique du Gambit du Roi ?;In chess, which is a characteristic of the King's Gambit?;A) Sacrifier le roi pour une dame | B) Sacrifier un pion | C) Roquer côté roi | D) Bouger le roi au 2e coup;A) Sacrificing the king for a queen | B) Sacrificing a pawn | C) Castling kingside | D) Moving the king on the 2nd move;B;"";"";"OpenTDB"
1500;Jeux;2;Dans « Magic : l'Assemblée », lors du design de Planar Chaos, quelle couleur les développeurs envisageaient-ils d'ajouter comme sixième couleur ?;"In ""Magic: The Gathering"", during the design for Planar Chaos, what color did the developers think of adding in as the sixth color?";A) Marron | B) Orange | C) Violet | D) Rose;A) Brown | B) Orange | C) Purple | D) Pink;C;"";"";"OpenTDB"
1501;Jeux;2;Quel article spécial les créateurs de Cards Against Humanity ont-ils envoyé pour leur pack du Black Friday ?;What special item did the creators of Cards Against Humanity ship for their Black Friday pack?;A) Un jouet raciste | B) Une extension de cartes | C) Urine de chat | D) Fèces de taureau;A) A Racist Toy | B) A Card Expansion | C) Cat Urine | D) Bull Feces;D;"";"";"OpenTDB"
1502;Jeux;1;Le jeu Carcassonne est basé sur quelle ville française ?;Carcassonne is based on which French town?;A) Clermont-Ferrand | B) Paris | C) Carcassonne | D) Marseille;A) Clermont-Ferrand | B) Paris | C) Carcassonne | D) Marseille;C;"";"";"OpenTDB"
1503;Jeux;3;Quelle est la somme de toutes les tuiles dans une boîte standard de Scrabble ?;What is the sum of all the tiles in a standard box of Scrabble?;A) 177 | B) 197 | C) 187 | D) 207;A) 177 | B) 197 | C) 187 | D) 207;C;"";"";"OpenTDB"
1504;Jeux;3;Quel Pokémon est le numéro 39 dans le Pokédex national ?;Which Pokemon is #39 in the National Pokedex?;A) Psykokwak | B) Rondoudou | C) Pikachu | D) Rapasdepic;A) Psyduck | B) Jigglypuff | C) Pikachu | D) Fearow;B;"";"";"OpenTDB"
1505;Jeux;1;Lequel des éléments suivants n'est PAS une classe dans Donjons & Dragons 5e édition ?;Which of the following is NOT a class in Dungeons and Dragons 5e?;A) Ingénieur | B) Paladin | C) Barde | D) Guerrier;A) Engineer | B) Paladin | C) Bard | D) Fighter;A;"";"";"OpenTDB"
1506;Jeux;3;Dans le Monopoly standard, quel est le loyer si vous atterrissez sur la Place du Parc sans maison ?;In standard Monopoly, what's the rent if you land on Park Place with no houses?;A) 35 $ | B) 50 $ | C) 45 $ | D) 30 $;A) $35 | B) $50 | C) $45 | D) $30;A;"";"";"OpenTDB"
1507;Jeux;1;Dans Donjons & Dragons (5e édition), quelle statistique ajoutez-vous normalement à votre jet d'initiative ?;In Dungeons and Dragons (5th edition), what stat do you normally add onto your initiative die roll?;A) Vitesse | B) Force | C) Dextérité | D) Sagesse;A) Speed | B) Strength | C) Dexterity | D) Wisdom;C;"";"";"OpenTDB"
