id;category;difficulty;question;choices;correct;explanation;source_hint
518;Culture;2;Quel vêtement est généralement porté par un Écossais lors d'un mariage ?;A) Jupe | B) Kilt | C) Robe | D) Toge;B;Le kilt est le vêtement traditionnel écossais.;OpenTDB
519;Culture;1;Qu'expose le musée Madame Tussaud à Londres ?;A) Vêtements de créateurs | B) Sculptures de cire | C) Voitures anciennes | D) Films inédits;B;Le musée Madame Tussaud expose des sculptures de cire de célébrités.;OpenTDB
520;Culture;2;Quel condiment essentiel est aussi connu comme le raifort japonais ?;A) Wasabi | B) Mentsuyu | C) Karashi | D) Ponzu;A;Le wasabi est appelé raifort japonais en raison de sa saveur piquante similaire.;OpenTDB
521;Culture;1;Quel est le nom du Nouvel An juif ?;A) Elul | B) Rosh Hashanah | C) Nouvel An | D) Succoss;B;Rosh Hashanah signifie 'tête de l'année' en hébreu.;OpenTDB
522;Culture;1;Combien d'étoiles figurent sur le drapeau de l'Union européenne ?;A) 10 | B) 12 | C) 14 | D) 16;B;Le drapeau européen a 12 étoiles, symbolisant l'unité et la perfection.;OpenTDB
523;Culture;1;Quelle boisson alcoolisée est fabriquée à partir de mélasse ?;A) Gin | B) Vodka | C) Rhum | D) Whisky;C;Le rhum est distillé à partir de mélasse ou de jus de canne à sucre.;OpenTDB
524;Culture;2;Que fabrique et vend un chapelier ?;A) Chaussures | B) Chapeaux | C) Ceintures | D) Chemises;B;Un chapelier (milliner) fabrique et vend des chapeaux.;OpenTDB
525;Culture;2;De quel type de cancer est décédé Steve Jobs, cofondateur d'Apple ?;A) Os | B) Pancréas | C) Foie | D) Estomac;B;Steve Jobs est décédé d'un cancer du pancréas en 2011.;OpenTDB
526;Culture;1;Qui est la plus jeune personne à avoir reçu un prix Nobel ?;A) Lawrence Bragg | B) Malala Yousafzai | C) Werner Heisenberg | D) Yasser Arafat;B;Malala Yousafzai a reçu le prix Nobel de la Paix en 2014 à 17 ans.;OpenTDB
527;Culture;1;Comment les marins appellent-ils l'arrière d'un bateau ?;A) Proue | B) Poupe | C) Tribord | D) Bâbord;B;La poupe (stern) est l'arrière du bateau.;OpenTDB
528;Culture;1;Quel est le nom de la main de poker contenant un brelan et une paire ?;A) Quinte flush | B) Full | C) Suite | D) Carte haute;B;Un full (full house) combine un brelan et une paire.;OpenTDB
529;Culture;1;De quelle couleur dit-on qu'une personne inexpérimentée est ?;A) Rouge | B) Vert | C) Bleu | D) Jaune;B;On dit d'une personne inexpérimentée qu'elle est 'verte'.;OpenTDB
530;Culture;1;Quel pays, hors Japon, compte le plus de personnes d'origine japonaise ?;A) Chine | B) Brésil | C) Corée du Sud | D) États-Unis;B;Le Brésil compte la plus grande communauté japonaise hors Japon.;OpenTDB
531;Culture;3;Quelle église du Vatican a été conçue en 1503 par des architectes de la Renaissance ?;A) Cathédrale de Catane | B) Basilique Saint-Pierre | C) Basilique Saint-Marc | D) Le Duomo de Florence;B;La Basilique Saint-Pierre a été conçue par Bramante puis Michel-Ange.;OpenTDB
532;Culture;2;Qu'est-ce qu'un guidon (burgee) ?;A) Une corde | B) Un drapeau | C) Une fenêtre | D) Un type de nourriture;B;Un burgee est un drapeau triangulaire utilisé par les clubs nautiques.;OpenTDB
533;Culture;2;Quel nom était donné aux dictateurs militaires japonais du 12e au 19e siècle ?;A) Ninja | B) Shogun | C) Samurai | D) Shinobi;B;Les shoguns étaient les dirigeants militaires du Japon féodal.;OpenTDB
534;Culture;1;Qui est l'auteur de Jurassic Park ?;A) Peter Benchley | B) Michael Crichton | C) Chuck Palahniuk | D) Irvine Welsh;B;Michael Crichton a écrit Jurassic Park en 1990.;OpenTDB
535;Culture;1;Quelles noix sont utilisées dans la production de massepain ?;A) Cacahuètes | B) Amandes | C) Noix | D) Pistaches;B;Le massepain est fait à base de pâte d'amandes.;OpenTDB
536;Culture;2;Quel pays roule à gauche ?;A) Allemagne | B) Japon | C) Russie | D) Chine;B;Le Japon, comme le Royaume-Uni, roule à gauche.;OpenTDB
537;Culture;2;Quel type de bière est la Corona mexicaine ?;A) IPA | B) Pale Lager | C) Pilsner | D) Porter;B;Corona est une bière de type pale lager mexicaine.;OpenTDB
538;Culture;2;Laquelle n'est PAS une fable d'Ésope ?;A) Le Renard et les Raisins | B) Rox et Rouky | C) Le Lièvre et la Tortue | D) La Grenouille et le Bœuf;B;Rox et Rouky (The Fox and the Hound) est un film Disney, pas une fable d'Ésope.;OpenTDB
948;Culture Générale;1;Que signifie VR ?;A) Reconnaissance vocale | B) Réalité virtuelle | C) Reconnaissance visuelle | D) Très réel;B;;OpenTDB
949;Culture Générale;2;"Quel est le mot italien pour ""tomate"" ?";A) Peperoncino | B) Cipolla | C) Aglio | D) Pomodoro;D;;OpenTDB
950;Culture Générale;1;"Si l'on vous attrape en train de ""goldbricking"", que faites-vous de mal ?";A) Tricher | B) Fumer | C) Paresser | D) Voler;C;;OpenTDB
951;Culture Générale;3;Dans les systèmes de vol, que signifie l'acronyme TCAS ?;A) Système d'évitement des collisions aériennes | B) Système d'alignement de configuration trafic | C) Système d'abréviation des indicatifs trafic | D) Système d'alerte de communication trafic;A;;OpenTDB
952;Culture Générale;1;Quel est le nom de la boisson alcoolisée à base de pommes de terre ou de céréales originaire de Pologne et de Russie ?;A) Vodka | B) Saké | C) Rhum | D) Absinthe;A;;OpenTDB
