id;category;difficulty;question;choices;correct;explanation;source_hint
2341;Télévision;2;In Breaking Bad, the initials W.W. refer to which of the following?;A) Walter White | B) Willy Wonka | C) Wally Walrus | D) William Wolf;A;;OpenTDB
2342;Télévision;2;"Which of the following figures did NOT have a cameo on ""The Drew Carey Show"" (1995-2004)?";"A) Bill Cosby | B) Daffy Duck | C) Donald Trump | D) ""Weird Al"" Yankovic";A;;OpenTDB
2343;Télévision;2;Alan Reed is known for providing the voice of which character?;A) Fred Flintstone | B) Fangface | C) Bugs Bunny | D) G.I. Joe;A;;OpenTDB
2344;Télévision;1;Who won Big Brother 2014 UK?;"A) Helen Wood | B) Pauline Bennett | C) Pavandeep ""Pav"" Paul | D) Christopher Hall";A;;OpenTDB
2345;Télévision;3;Which of these in the Star Trek series is NOT Klingon food?;A) Gagh | B) Hors d'oeuvre | C) Racht | D) Bloodwine;B;;OpenTDB
2346;Télévision;2;Who sang the theme song for the TV show 'Rawhide'?;A) Slim Whitman | B) Guy Mitchell | C) Frankie Laine | D) Tennessee Ernie Ford;C;;OpenTDB
2347;Télévision;1;"When Donkey Kong died in the ""Donkey Kong Country"" episode ""It's a Wonderful Life"", who was his guardian angel?";A) King K. Rool | B) Eddie the Mean Old Yeti | C) Diddy Kong | D) Kiddy Kong;B;;OpenTDB
2348;Télévision;1;What is the real name of the famous spanish humorist, El Risitas?;A) Ernesto Guevara | B) Gabriel Garcia Marquez | C) Jesus Quintero | D) Juan Joya Borga;D;;OpenTDB
2349;Télévision;2;"In the Black Mirror episode ""Bandersnatch"", PAC-MAN stands for:";A) Physics & Astronomy Classification Man | B) Program And Control Man | C) Political Action Committee Man | D) Postgraduate Aplications Centre Man;B;;OpenTDB
2350;Télévision;2;The fictional movie 'Rochelle, Rochelle' features in which sitcom?;A) Cheers | B) Frasier | C) Seinfeld | D) Friends;C;;OpenTDB
2351;Télévision;2;Who plays the character of Dennis Reynolds on It's Always Sunny in Philadelphia?;A) Danny DeVito | B) Rob McElhenney | C) Charlie Day | D) Glenn Howerton;D;;OpenTDB
2352;Télévision;2;"In what year did ""The Big Bang Theory"" debut on CBS?";A) 2009 | B) 2007 | C) 2006 | D) 2008;B;;OpenTDB
2353;Télévision;3;"Which country does the YouTuber ""SinowBeats"" originate from?";A) England | B) Germany | C) Sweden | D) Scotland;D;;OpenTDB
2354;Télévision;2;"Who was the star of the TV series ""24""?";A) Kiefer Sutherland | B) Kevin Bacon | C) Hugh Laurie | D) Rob Lowe;A;;OpenTDB
2355;Télévision;1;Who is the star of the AMC series Breaking Bad?;A) Walter White | B) Saul Goodman | C) Jesse Pinkman | D) Skyler White;A;;OpenTDB
2356;Télévision;2;"In which year did the British television series ""The Bill"" end?";A) 2007 | B) 2012 | C) 2010 | D) 2001;C;;OpenTDB
2357;Télévision;2;The first half-hour CGI cartoon, ReBoot, aired on which year?;A) 1998 | B) 1994 | C) 1999 | D) 1993;B;;OpenTDB
2358;Télévision;2;"In ""The Simpsons"", what is the real name of ""Comic Book Guy""?";A) Jeff Albertson | B) Jack Richardson | C) Comic Book Guy | D) Edward Stone;A;;OpenTDB
2359;Télévision;1;"Who is the main character in the show ""Burn Notice""?";A) Michael Westen | B) Fiona Glenanne | C) Madeline Westen | D) Sam Axe;A;;OpenTDB
2360;Télévision;1;Guy's Grocery Games is hosted by which presenter?;A) Guy Martin | B) Guy Fieri | C) Ainsley Harriott | D) Guy Ritchie;B;;OpenTDB
2361;Télévision;2;"Which movie served as the KTMA pilot episode for the show ""Mystery Science Theater 3000""?";A) The Crawling Eye | B) The Green Slime | C) The Robot Vs. The Aztec Mummy | D) Plan 9 From Outer Space;B;;OpenTDB
2362;Télévision;3;"In the TV Show ""Donkey Kong Country"", which episode did the song ""Eddie, Let Me Go Back To My Home"" play in?";A) It's a Wonderful Life | B) To The Moon Baboon | C) Ape-Nesia | D) Message In A Bottle Show;A;;OpenTDB
2363;Télévision;1;"On the NBC show Community, whose catch-phrase was ""Pop! Pop!""?";A) Magnitude | B) Senoir Chang | C) Leonard | D) Star Burns;A;;OpenTDB
2364;Télévision;3;What is the Klingon's afterlife called?;A) Sto-vo-kor | B) New Jersey | C) Karon'gahk | D) Valhalla;A;;OpenTDB
2365;Télévision;1;"How many seasons did ""Stargate SG-1"" have?";A) 3 | B) 10 | C) 7 | D) 12;B;;OpenTDB
2366;Télévision;1;Grant Gustin plays which superhero on the CW show of the same name?;A) The Arrow | B) Black Canary | C) Daredevil | D) The Flash;D;;OpenTDB
2367;Télévision;1;What was the name of the the first episode of Doctor Who to air in 1963?;A) The Daleks | B) An Unearthly Child | C) The Edge of Destruction | D) The Aztecs;B;;OpenTDB
2368;Télévision;1;What Nickelodeon game show featured a house on the set that the contestants would ransack to find hidden objects?;A) Nickelodeon Guts | B) Double Dare | C) Finders Keepers | D) Nick Arcade;C;;OpenTDB
2369;Télévision;3;"Which of the following actors portrayed the Ninth Doctor in the British television show ""Doctor Who""?";A) Christopher Eccleston | B) Tom Baker | C) Matt Smith | D) David Tennant;A;;OpenTDB
