id;category;difficulty;question;choices;correct;explanation;source_hint
698;Jeux Vidéo;1;Quel acteur américain double Cave Johnson, PDG d'Aperture Science ?;A) Nolan North | B) J.K. Simmons | C) John Patrick Lowrie | D) Christopher Lloyd;B;J.K. Simmons double Cave Johnson dans Portal 2.;OpenTDB
699;Jeux Vidéo;1;Comment s'appelle le protagoniste de Half-Life 2 ?;A) Alyx Vance | B) Gordon Freeman | C) Isaac Kleiner | D) Wallace Breen;B;Gordon Freeman est un physicien devenu héros de la résistance.;OpenTDB
700;Jeux Vidéo;1;Quel est le pistolet de départ des Terroristes dans CS:GO ?;A) Tec-9 | B) Glock-18 | C) Desert Eagle | D) Dual Berettas;B;Les Terroristes commencent avec le Glock-18.;OpenTDB
701;Jeux Vidéo;1;Qui est le meilleur ami de Sonic ?;A) Shadow | B) Tails | C) Amy | D) Knuckles;B;Tails (Miles Prower) accompagne Sonic depuis 1992.;OpenTDB
702;Jeux Vidéo;1;Qui est l'antagoniste principal de la franchise Portal ?;A) Chell | B) GLaDOS | C) Wheatley | D) Rick;B;GLaDOS est l'IA qui contrôle le centre d'enrichissement Aperture.;OpenTDB
703;Jeux Vidéo;1;Sur quelle guerre est basé Call of Duty: Black Ops ?;A) WW3 | B) Guerre Froide | C) Vietnam | D) WW1;B;Black Ops se déroule pendant la Guerre Froide.;OpenTDB
704;Jeux Vidéo;1;'The Potato Sack' était une promotion pour quel jeu ?;A) Left 4 Dead 2 | B) Portal 2 | C) Half-Life 3 | D) Dota 2;B;Cette collection a servi à promouvoir Portal 2 en 2011.;OpenTDB
705;Jeux Vidéo;1;Lequel n'est PAS un personnage jouable dans Overwatch (2016) ?;A) Mercy | B) Invoker | C) Winston | D) Zenyatta;B;Invoker est un personnage de Dota 2, pas d'Overwatch.;OpenTDB
706;Jeux Vidéo;1;Dans Super Mario Bros., qui informe Mario que la princesse est dans un autre château ?;A) Luigi | B) Toad | C) Yoshi | D) Bowser;B;Toad apparaît à la fin de chaque niveau pour donner cette info.;OpenTDB
707;Jeux Vidéo;1;Comment s'appelle la franchise 'Mega Man' au Japon ?;A) Paperman | B) Rockman | C) Scissorsman | D) Mega Man;B;La franchise s'appelle Rockman au Japon depuis 1987.;OpenTDB
708;Jeux Vidéo;1;Dans Oblivion, quelle guilde donne le cheval Shadowmere ?;A) Voleurs | B) Confrérie Noire | C) Guerriers | D) Mages;B;Shadowmere est donné lors de la quête de la Confrérie Noire.;OpenTDB
709;Jeux Vidéo;1;Dans Fallout: New Vegas, dans quel casino ne peut-on pas jouer ?;A) The Tops | B) Lucky 38 | C) Gomorrah | D) Ultra-Luxe;B;Le Lucky 38 est le casino de Mr. House, fermé au public.;OpenTDB
710;Jeux Vidéo;1;En quelle année Hearthstone est-il sorti ?;A) 2011 | B) 2014 | C) 2013 | D) 2012;B;Hearthstone est sorti officiellement en mars 2014.;OpenTDB
711;Jeux Vidéo;2;Sur quel moteur tournait le premier Half-Life ?;A) Source | B) GoldSrc | C) Quake | D) Unreal;B;GoldSrc était une version modifiée du moteur Quake.;OpenTDB
712;Jeux Vidéo;1;Qui est le protagoniste principal de Danganronpa 2 ?;A) Nagito Komaeda | B) Hajime Hinata | C) Makoto Naegi | D) Junko Enoshima;B;Hajime Hinata est le protagoniste du deuxième jeu.;OpenTDB
713;Jeux Vidéo;2;Quel est le nom de la prison dans Half-Life 2 ?;A) Great Prospekt | B) Nova Prospekt | C) New Prospect | D) Lesser Prospekt;B;Nova Prospekt est une ancienne prison reconvertie par le Cartel.;OpenTDB
714;Jeux Vidéo;3;Dans Halo, comment s'appellent les aliens que les humains nomment 'Grunts' ?;A) Huragok | B) Unggoy | C) Sangheili | D) Yanme'e;B;Les Unggoy sont les petits aliens respirant du méthane.;OpenTDB
715;Jeux Vidéo;2;Dans Terraria, quel objet faut-il pour invoquer Duke Fishron ?;A) Poisson suspect | B) Ver truffe | C) Sauterelle royale | D) Limace;B;Le ver truffe s'utilise comme appât dans l'océan.;OpenTDB
716;Jeux Vidéo;2;Quel jeu game was first to feature Mario's voice by Charles Martinet?;A) Mario's Game Gallery | B) Super Mario 64 | C) Mario Tennis | D) Dr. Mario 64;A;Charles Martinet a d'abord doublé Mario dans Mario's Game Gallery en 1995.;OpenTDB
717;Jeux Vidéo;2;Dans quel jeu Pokémon le seigneur de guerre peut-il se lier avec Zekrom ?;A) Le Joueur | B) Nobunaga | C) Oichi | D) Hideyoshi;B;Nobunaga est le principal antagoniste de Pokémon Conquest.;OpenTDB
758;Jeux Vidéo;2;Quel est le 4e boss dans Crash Bandicoot 2: Cortex Strikes Back ?;A) Dr. Neo Cortex | B) Dr. N. Gin | C) Komodo Brothers | D) Tiny Tiger;B;Dr. N. Gin est le scientifique fou avec un missile dans la tête.;OpenTDB
759;Jeux Vidéo;3;Pourquoi seulement 300 000 copies d'Uniracers ont été produites ?;A) Mauvaises critiques | B) DMA Design poursuivi par Pixar | C) Désaccord Nintendo | D) Info non publique;B;Pixar a poursuivi DMA Design pour violation de copyright sur les monocycles animés.;OpenTDB
