id;category;difficulty;question;choices;correct;explanation;source_hint
718;Sports;2;Which team was the 2015-2016 NBA Champions?;A) Golden State Warriors | B) Cleveland Cavaliers | C) Toronto Raptors | D) Oklahoma City Thunder;B;The Cavaliers won after being down 3-1 in the finals.;OpenTDB
719;Sports;1;In Baseball, how many balls outside the strike zone for a walk?;A) 1 | B) 4 | C) 2 | D) 3;B;Four balls outside the zone allow the batter to walk to first base.;OpenTDB
720;Sports;1;Which team has won the most Stanley Cups in the NHL?;A) Chicago Blackhawks | B) Montreal Canadiens | C) Toronto Maple Leafs | D) Detroit Red Wings;B;The Canadiens have won 24 Stanley Cups.;OpenTDB
721;Sports;1;What team did England beat in the 1966 World Cup final?;A) Soviet Union | B) West Germany | C) Portugal | D) Brazil;B;England beat West Germany 4-2 in extra time.;OpenTDB
722;Sports;1;Which country hosted the 2022 FIFA World Cup?;A) USA | B) Qatar | C) Japan | D) Switzerland;B;Qatar hosted the first World Cup in the Middle East.;OpenTDB
723;Sports;1;In the 2014 FIFA World Cup, what was the final score Brazil - Germany?;A) 1-5 | B) 1-7 | C) 1-6 | D) 2-6;B;Germany inflicted a historic defeat on Brazil.;OpenTDB
724;Sports;1;Which NFL team plays for New England?;A) Chiefs | B) Patriots | C) Dolphins | D) 49ers;B;The New England Patriots are based in Foxborough, Massachusetts.;OpenTDB
725;Sports;1;Which team won 2014 FIFA World Cup in Brazil?;A) Argentina | B) Germany | C) Brazil | D) Netherlands;B;Germany beat Argentina 1-0 in the final.;OpenTDB
726;Sports;1;How many players are there in an association football/soccer team?;A) 10 | B) 11 | C) 9 | D) 8;B;A football team has 11 players on the field.;OpenTDB
727;Sports;1;Who did Steven Gerrard win the Champions League with?;A) Real Madrid | B) Liverpool | C) Chelsea | D) Man City;B;Liverpool won the Champions League in 2005.;OpenTDB
728;Sports;1;The UEFA Champions League features clubs from which continent?;A) South America | B) Europe | C) Africa | D) Asia;B;UEFA organizes European club competitions.;OpenTDB
729;Sports;1;Which player holds the NHL record of 2,857 points?;A) Mario Lemieux | B) Wayne Gretzky | C) Sidney Crosby | D) Gordie Howe;B;Wayne Gretzky is nicknamed 'The Great One'.;OpenTDB
730;Sports;1;Which team won the 2015-16 English Premier League?;A) Liverpool | B) Leicester City | C) Chelsea | D) Manchester United;B;Leicester City achieved one of the greatest sporting feats.;OpenTDB
731;Sports;1;Who won the 2017 Formula One World Drivers' Championship?;A) Sebastian Vettel | B) Lewis Hamilton | C) Nico Rosberg | D) Max Verstappen;B;Lewis Hamilton won his 4th world title.;OpenTDB
732;Sports;3;What is the full name of the footballer 'Cristiano Ronaldo'?;A) Cristiano Ronaldo los Santos Diego | B) Cristiano Ronaldo dos Santos Aveiro | C) Cristiano Armando Diego Ronaldo | D) Cristiano Luis Armando Ronaldo;B;He was born in Funchal, Madeira, Portugal.;OpenTDB
733;Sports;2;What country hosted the 2014 Winter Olympics?;A) Canada | B) Russia | C) United States | D) Germany;B;The 2014 Winter Olympics were held in Sochi, Russia.;OpenTDB
734;Sports;2;Which NBA player won MVP for the 1999-2000 season?;A) Allen Iverson | B) Shaquille O'Neal | C) Kobe Bryant | D) Paul Pierce;B;Shaq led the Lakers to the title that season.;OpenTDB
735;Sports;1;What is the 'tool' used to hit the white ball in snooker or billiards?;A) Racquet | B) Cue | C) Bat | D) Mallet;B;The cue stick is usually made of wood with a leather tip.;OpenTDB
736;Sports;1;Which African American helped integrate Major League baseball?;A) Curt Flood | B) Jackie Robinson | C) Roy Campanella | D) Satchel Paige;B;Jackie Robinson joined the Brooklyn Dodgers in 1947.;OpenTDB
737;Sports;2;How many scoring zones are there on a conventional dart board?;A) 62 | B) 82 | C) 42 | D) 102;B;There are 82 scoring zones on a standard dartboard.;OpenTDB
908;Sports;1;Who won the UEFA Champions League in 2016?;A) Manchester City F.C. | B) FC Bayern Munich | C) Atletico Madrid | D) Real Madrid C.F.;D;;OpenTDB
909;Sports;1;Which country won the 2018 FIFA World Cup hosted in Russia?;A) Croatia | B) England | C) Belgium | D) France;D;;OpenTDB
910;Sports;1;What sport features the terms love, deuce, match and volley?;A) Tennis | B) Curling | C) Basketball | D) Cricket;A;;OpenTDB
911;Sports;2;The 1988 F1 season had McLaren win all but one race. Which race did they not win?;A) Italian Grand Prix | B) Monaco Grand Prix | C) Brazilian Grand Prix | D) Japanese Grand Prix;A;;OpenTDB
