id;category;difficulty;question;choices;correct;explanation;source_hint
518;Culture;2;Which item of clothing is usually worn by a Scotsman at a wedding?;A) Skirt | B) Kilt | C) Dress | D) Robes;B;The kilt is the traditional Scottish garment.;OpenTDB
519;Culture;1;What is on display in the Madame Tussaud's museum in London?;A) Designer clothing | B) Wax sculptures | C) Vintage cars | D) Unreleased film reels;B;Madame Tussaud's museum displays wax sculptures of celebrities.;OpenTDB
520;Culture;2;Which essential condiment is also known as Japanese horseradish?;A) Wasabi | B) Mentsuyu | C) Karashi | D) Ponzu;A;Wasabi is called Japanese horseradish due to its similar pungent flavor.;OpenTDB
521;Culture;1;What is the name of the Jewish New Year?;A) Elul | B) Rosh Hashanah | C) New Year | D) Succoss;B;Rosh Hashanah means 'head of the year' in Hebrew.;OpenTDB
522;Culture;1;The Flag of the European Union has how many stars on it?;A) 10 | B) 12 | C) 14 | D) 16;B;The EU flag has 12 stars, symbolizing unity and perfection.;OpenTDB
523;Culture;1;What alcoholic drink is made from molasses?;A) Gin | B) Vodka | C) Rum | D) Whisky;C;Rum is distilled from molasses or sugarcane juice.;OpenTDB
524;Culture;2;What does a milliner make and sell?;A) Shoes | B) Hats | C) Belts | D) Shirts;B;A milliner makes and sells hats.;OpenTDB
525;Culture;2;Apple co-founder Steve Jobs died from complications of which form of cancer?;A) Bone | B) Pancreatic | C) Liver | D) Stomach;B;Steve Jobs died from pancreatic cancer in 2011.;OpenTDB
526;Culture;1;Who is the youngest person to receive a Nobel Prize?;A) Lawrence Bragg | B) Malala Yousafzai | C) Werner Heisenberg | D) Yasser Arafat;B;Malala Yousafzai received the Nobel Peace Prize in 2014 at age 17.;OpenTDB
527;Culture;1;What do sailors call the back of a boat?;A) Bow | B) Stern | C) Starboard | D) Port;B;The stern is the back of a boat.;OpenTDB
528;Culture;1;What is the name of the poker hand containing three of a kind and a pair?;A) Flush | B) Full House | C) Straight | D) High card;B;A full house combines three of a kind and a pair.;OpenTDB
529;Culture;1;When someone is inexperienced they are said to be what color?;A) Red | B) Green | C) Blue | D) Yellow;B;An inexperienced person is said to be 'green'.;OpenTDB
530;Culture;1;Which country, not including Japan, has the most people of Japanese descent?;A) China | B) Brazil | C) South Korea | D) United States;B;Brazil has the largest Japanese community outside Japan.;OpenTDB
531;Culture;3;Which church's interior in Vatican City was designed in 1503 by renaissance architects?;A) Catania Cathedral | B) St. Peter's Basilica | C) St. Mark's Basilica | D) The Duomo of Florence;B;St. Peter's Basilica was designed by Bramante and then Michelangelo.;OpenTDB
532;Culture;2;What is a Burgee?;A) A rope | B) A flag | C) A window | D) A type of food;B;A burgee is a triangular flag used by yacht clubs.;OpenTDB
