id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
2084;Anime & Manga;2;Quand le premier épisode de Soul Eater a-t-il été diffusé ?;When was the first episode of Soul Eater released?;A) 2011 | B) 2005 | C) 2003 | D) 2008;A) 2011 | B) 2005 | C) 2003 | D) 2008;D;;;
2085;Anime & Manga;2;"Dans la série anime ""Fullmetal Alchemist"", qu'est-ce que les alchimistes considèrent comme le plus grand tabou ?";"In the anime series ""Full Metal Alchemist"", what do Alchemists consider the greatest taboo?";A) Transmuter le plomb en or | B) La transmutation humaine | C) Pratiquer sans permis | D) Utiliser l'alchimie pour des crimes;A) Transmuting Lead Into Gold | B) Human Transmutation | C) Preforming Without A Permit | D) Using Alchemy For Crime;B;;;
2086;Anime & Manga;1;"Sur quel support ""Clannad"" a-t-il été créé à l'origine ?";"On what medium was ""Clannad"" first created?";A) Manga | B) Light novel | C) Anime | D) Roman visuel;A) Manga | B) Light novel | C) Anime | D) Visual novel;D;;;
2087;Anime & Manga;2;"Dans ""One Piece"", lequel des éléments suivants N'EST PAS une Arme Antique ?";"In ""One Piece"", which one of the following is NOT an Ancient Weapon?";A) Uranus | B) Poséidon | C) Pluton | D) Jupiter;A) Uranus | B) Poseidon | C) Pluton | D) Jupiter;D;;;
2088;Anime & Manga;2;"Qui a écrit et réalisé le film d'animation ""Le Voyage de Chihiro"" (2001) ?";"Who wrote and directed the animated movie ""Spirited Away"" (2001)?";A) Hidetaka Miyazaki | B) Hayao Miyazaki | C) Mamoru Hosoda | D) Isao Takahata;A) Hidetaka Miyazaki | B) Hayao Miyazaki | C) Mamoru Hosoda | D) Isao Takahata;B;;;
2089;Anime & Manga;1;"Dans ""Log Horizon"", les personnages sont piégés dans quel jeu ?";"The characters of ""Log Horizon"" are trapped in what game?";A) Sword Art Online | B) Elder Tale | C) Yggdrasil | D) Tower Unite;A) Sword Art Online | B) Elder Tale | C) Yggdrasil | D) Tower Unite;B;;;
2090;Anime & Manga;1;Dans La Femme de ménage dragon de Miss Kobayashi, qui est la bonne de Kobayashi ?;In Ms. Kobayashi's Dragon Maid, who is Kobayashi's maid?;A) Elma | B) Lucoa | C) Tohru | D) Kanna;A) Elma | B) Lucoa | C) Tohru | D) Kanna;C;;;
2091;Anime & Manga;1;"Quel anime met largement en avant la musique du genre ""Eurobeat"" ?";"Which anime heavily features music from the genre ""Eurobeat""?";A) Wangan Midnight | B) Cowboy Bebop | C) Initial D | D) Kino no Tabi;A) Wangan Midnight | B) Cowboy Bebop | C) Initial D | D) Kino no Tabi;C;;;
2092;Anime & Manga;2;"Quelle était la raison de l'interdiction de l'épisode 35 de la série anime ""Pokémon"" originale ?";"What was the reason for the banning of episode 35 of the ""Pokémon Original Series"" Anime?";A) Images stroboscopiques | B) Violence excessive | C) Jynx | D) Utilisation d'armes à feu;A) Flashing Images | B) Strong Violence | C) Jynx | D) Gun Usage;D;;;
2093;Anime & Manga;2;Qui est le personnage principal de One Piece ?;Who is the main character in One Piece?;A) Zoro | B) Luffy | C) Shanks | D) Smoker;A) Zoro | B) Luffy | C) Shanks | D) Smoker;B;;;
2094;Anime & Manga;1;"Quel est le générique de ""Neon Genesis Evangelion"" ?";"What is the theme song of ""Neon Genesis Evangelion""?";A) A Cruel Angel's Thesis | B) Requiem for a Dream | C) God Knows | D) Stardust Crusaders;A) A Cruel Angel's Thesis | B) Requiem for a Dream | C) God Knows | D) Stardust Crusaders;A;;;
2095;Anime & Manga;1;Comment s'appelle le lion en peluche dans Bleach ?;What is the name of the stuffed lion in Bleach?;A) Jo | B) Kon | C) Urdiu | D) Chad;A) Jo | B) Kon | C) Urdiu | D) Chad;B;;;
2096;Anime & Manga;2;Dans Pokémon Chronicles, pourquoi Misty avait-elle peur de Gyarados ?;In Pokémon Chronicles, why was Misty afraid of Gyarados?;A) Il l'avait gravement blessée. | B) Elle avait rampé dans sa gueule bébé. | C) Elle le trouvait effrayant. | D) C'est en partie un type Insecte.;A) She was badly injured from it. | B) She crawled into it's mouth as a baby. | C) She found it scary. | D) It is part Bug.;B;;;
2097;Anime & Manga;1;"Qui est l'auteur de la série manga ""Astro Boy"" ?";"Who is the author of the manga series ""Astro Boy""?";A) Takao Saito | B) Mitsuteri Yokoyama | C) Yoshihiro Tatsumi | D) Osamu Tezuka;A) Takao Saito | B) Mitsuteri Yokoyama | C) Yoshihiro Tatsumi | D) Osamu Tezuka;D;;;
