id;category;difficulty;question;choices;correct;explanation;source_hint
1990;Politique;2;Which city is the seat of government of the Netherlands?;A) Amsterdam | B) Rotterdam | C) Utrecht | D) The Hague;D;;
1991;Politique;2;Who became Prime Minister of the United Kingdom in July 2016?;A) David Cameron | B) Theresa May | C) Boris Johnson | D) Tony Blair;B;;
1992;Politique;2;What year did Gerald Ford Become President?;A) 1974 | B) 1973 | C) 1969 | D) 1977;A;;
1993;Politique;2;What are the first names of the first father and son pair that were both Prime Ministers of Canada?;A) John and Louis | B) Justin and Pierre | C) Brian and Justin | D) Brian and Pierre;B;;
1994;Politique;2;Which of the following Argentinian presidents was elected in 2015?;A) Nestor Kirchner | B) Mauricio Macri | C) Cristina Fernandez de Kirchner | D) Juan Domingo Peron;B;;
1995;Politique;3;Starting from 2000, China banned manufacturing and sales of all video game consoles. On which year was this ban lifted?;A) 2008 | B) 2012 | C) 2017 | D) 2015;D;;
1996;Politique;2;Which of these is NOT one of Donald Trump's children?;A) Ivanka | B) Eric | C) Donald Jr. | D) Julius;D;;
1997;Politique;3;Which nation joined NATO as its 29th member in 2017?;A) Estonia | B) Montenegro | C) Andorra | D) Iceland;B;;
1998;Politique;2;Who was the 40th President of the USA?;A) Ronald Reagan | B) Richard Nixon | C) Jimmy Carter | D) Bill Clinton;A;;
1999;Politique;2;Between 1973 to 1990, what country was ruled by dictator Augusto Pinochet?;A) Indonesia | B) Nicaragua | C) Ethiopia | D) Chile;D;;
2000;Politique;2;What is the primary purpose of the Fourth Amendment to the US Constitution?;A) Protecting the right to keep and bear arms | B) Preventing cruel and unusual punishments | C) Preventing unreasonable searches and seizures | D) Protecting against imprisonment without due process of law;C;;
2001;Politique;2;Who was the British Prime Minister at the outbreak of the Second World War?;A) Stanley Baldwin | B) Clement Attlee | C) Neville Chamberlain | D) Winston Churchill;C;;
2002;Politique;3;"""Yes, America Can!"" was this United States politician's de facto campaign slogan in 2004.";A) Al Gore | B) Barack Obama | C) John Kerry | D) George W. Bush;D;;
2003;Politique;1;How many people are in the U.S. House of Representatives?;A) 435 | B) 415 | C) 260 | D) 50;A;;
2004;Politique;2;"The 2014 movie ""The Raid 2: Berandal"" was mainly filmed in which Asian country?";A) Malaysia | B) Indonesia | C) Brunei | D) Thailand;B;;
2005;Politique;3;In June 2017, Saudi Arabia and Egypt broke off ties with which country over its supposed support for terrorism?;A) Russia | B) Bahrain | C) Qatar | D) United States of America;C;;
2006;Politique;1;Which of the following Pacific Islander countries is ruled by a constitutional monarchy?;A) Tonga | B) Fiji | C) Kiribati | D) Palau;A;;
2007;Politique;3;Which of the following United States senators is known for performing a 24-hour long filibuster?;A) Strom Thurmond | B) John Barrasso | C) Chuck Schumer | D) Roy Blunt;A;;
2008;Politique;3;Which Native American tribe/nation requires at least one half blood quantum (equivalent to one parent) to be eligible for membership?;A) Standing Rock Sioux Tribe | B) Kiowa Tribe of Oklahoma | C) Pawnee Nation of Oklahoma | D) Yomba Shoshone Tribe;D;;
2009;Politique;1;"Whose 2016 presidential campaign slogan was ""Make America Great Again""?";A) Bernie Sanders | B) Marco Rubio | C) Ted Cruz | D) Donald Trump;D;;
2010;Politique;2;Which U.S. president is said to have had the longest beard?;A) John Quincy Adams | B) James A. Garfield | C) Zachary Taylor | D) Rutherford B. Hayes;D;;
2011;Politique;2;Who succeeded Joseph Stalin as General Secretary of the Communist Party of the Soviet Union?;A) Boris Yeltsin | B) Mikhail Gorbachev | C) Nikita Khrushchev | D) Leonid Brezhnev;C;;
2012;Politique;3;Who is the only US president to serve two non-consecutive terms in office?;A) Franklin D. Roosevelt | B) Thomas Jefferson | C) Grover Cleveland | D) James K. Polk;C;;
2013;Politique;2;Before 2016, in which other year did Donald Trump run for President?;A) 2008 | B) 2000 | C) 2012 | D) 1988;B;;
2014;Politique;2;"Which former US president used ""Let's Make America Great Again"" as his campaign slogan before Donald Trump's campaign?";A) Jimmy Carter | B) Gerald Ford | C) Ronald Reagan | D) Richard Nixon;C;;
2015;Politique;2;The Watergate Scandal occured in what year?;A) 1971 | B) 1974 | C) 1972 | D) 1973;C;;
2016;Politique;3;Which US state was the first to allow women to vote in 1869?;A) Wyoming | B) Delaware | C) California | D) Virginia;A;;
2017;Politique;2;Which United Nations principal organ has been suspended since 1994?;A) General Assembly | B) Secretariat | C) Trusteeship Council | D) Economic and Social Council;C;;
2018;Politique;3;Who was the longest-serving senator in US history, serving from 1959 to 2010?;A) Robert Byrd | B) Strom Thurmond | C) Daniel Inouye | D) Joe Biden;A;;
2019;Politique;3;Which major bank's collapse was notable as one of the causes of the Financal Crisis of 2008?;A) Lloyds | B) Barclays | C) HSBC | D) Lehman Brothers;D;;
