id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
2265;Animation;2;Comment s'appelle l'arme de Ruby Rose dans RWBY ?;What is the name of Ruby Rose's weapon from RWBY?;A) Rosebud Épineux | B) Crescent Rose | C) Faux Tordue | D) Magnhild;A) Thorned Rosebud | B) Crescent Rose | C) Crooked Scythe | D) Magnhild;B;;;"OpenTDB"
2266;Animation;1;Quel est le plat préféré d'Everest dans la série Nickelodeon « La Pat' Patrouille » ?;"What is Everest's favorite food in the Nickelodeon/Nick Jr. series ""PAW Patrol""?";A) Poulet | B) Caribou | C) Steak | D) Foie;A) Chicken | B) Caribou | C) Steak | D) Liver;D;;;"OpenTDB"
2267;Animation;1;Qui est le méchant dans « Le Roi Lion » ?;Who was the villain of ''The Lion King''?;A) Vada | B) Fred | C) Scar | D) Jafar;A) Vada | B) Fred | C) Scar | D) Jafar;C;;;"OpenTDB"
2268;Animation;2;Quand le dernier épisode de « Futurama » a-t-il été diffusé avant le retour de 2023 ?;"When did the last episode of ""Futurama"" air before returning in 2023?";A) 28 mars 1999 | B) 4 novembre 2021 | C) 25 décembre 2010 | D) 4 septembre 2013;A) March 28, 1999 | B) November 4, 2021 | C) December 25, 2010 | D) September 4, 2013;D;;;"OpenTDB"
2269;Animation;2;Lequel de ces personnages n'existe pas dans la série « My Little Pony : Les Amies c'est magique » ?;Which of these is not a real character in the cartoon series My Little Pony: Friendship is Magic?;A) Rose Marene | B) Pinkie Pie | C) Maud Pie | D) Rainbow Dash;A) Rose Marene | B) Pinkie Pie | C) Maud Pie | D) Rainbow Dash;A;;;"OpenTDB"
2270;Animation;1;Quel est le seul acteur de doublage à avoir eu un rôle parlant dans tous les longs métrages Disney Pixar ?;Who is the only voice actor to have a speaking part in all of the Disney Pixar feature films?;A) John Ratzenberger | B) Geoffrey Rush | C) Tom Hanks | D) Dave Foley;A) John Ratzenberger | B) Geoffrey Rush | C) Tom Hanks | D) Dave Foley;A;;;"OpenTDB"
2271;Animation;3;Dans la bande dessinée web Homestuck, comment s'appelle le jeu auquel jouent les 4 enfants ?;In the web-comic Homestuck, what is the name of the game the 4 kids play?;A) Hiveswap | B) Sburb | C) Homesick | D) Husslie;A) Hiveswap | B) Sburb | C) Homesick | D) Husslie;B;;;"OpenTDB"
2272;Animation;3;Parmi ces petites amies de personnages de dessins animés, laquelle est apparue avant son petit ami ?;Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?;A) Lola Bunny | B) Daisy Duck | C) Olive Oyl | D) Minnie Mouse;A) Lola Bunny | B) Daisy Duck | C) Olive Oyl | D) Minnie Mouse;C;;;"OpenTDB"
2273;Animation;1;Dans la série « La Maison des amis imaginaires », quel personnage était obsédé par le basket ?;"In the show ""Foster's Home For Imaginary Friends"", which character had an obsession with basketball?";A) Wilt | B) Mac | C) Cheese | D) Coco;A) Wilt | B) Mac | C) Cheese | D) Coco;A;;;"OpenTDB"
2274;Animation;3;Pour lequel de ces films Don Bluth était-il à la fois scénariste, réalisateur et producteur ?;Which of the following films was Don Bluth both the writer, director, and producer for?;A) Tous les chiens vont au paradis | B) Le Petit Dinosaure et la Vallée des merveilles | C) Titan A.E. | D) Anastasia;A) All Dogs Go To Heaven | B) The Land Before Time | C) Titan A.E. | D) Anastasia;A;;;"OpenTDB"
