id;category;difficulty;question;choices;correct;explanation;source_hint
738;Technologie;2;En CSS, quelle valeur ne peut PAS être utilisée avec la propriété 'position' ?;A) static | B) center | C) absolute | D) relative;B;'center' n'est pas une valeur valide pour position.;OpenTDB
739;Technologie;1;Que signifie CPU ?;A) Central Process Unit | B) Central Processing Unit | C) Computer Personal Unit | D) Central Processor Unit;B;CPU signifie Unité Centrale de Traitement.;OpenTDB
740;Technologie;2;Quel langage de programmation a été développé par Sun Microsystems en 1995 ?;A) Python | B) Java | C) Solaris OS | D) C++;B;Java a été créé par James Gosling chez Sun.;OpenTDB
741;Technologie;1;Que signifie GHz ?;A) Gigahotz | B) Gigahertz | C) Gigahetz | D) Gigahatz;B;GHz = Gigahertz, mesure de fréquence.;OpenTDB
742;Technologie;1;Que fait le bouton Impr. écran (Prt Sc) ?;A) Rien | B) Capture l'écran | C) Sauvegarde un .png | D) Ferme les fenêtres;B;Impr. écran copie l'écran dans le presse-papiers.;OpenTDB
743;Technologie;1;Que signifie LTS dans le marché logiciel ?;A) Long Taco Service | B) Long Term Support | C) Ludicrous Transfer Speed | D) Ludicrous Turbo Speed;B;LTS = Support à Long Terme pour les versions stables.;OpenTDB
744;Technologie;2;En informatique, que signifie CLI ?;A) Common Language Input | B) Command Line Interface | C) Control Line Interface | D) Common Language Interface;B;CLI = Interface en Ligne de Commande.;OpenTDB
745;Technologie;2;Quand le langage C# a-t-il été publié ?;A) 1998 | B) 2000 | C) 1999 | D) 2001;B;C# a été développé par Microsoft et sorti en 2000.;OpenTDB
746;Technologie;2;Que signifie RAID ?;A) Rapid Access for Indexed Devices | B) Redundant Array of Independent Disks | C) Range of Applications | D) Randomized Abstract Identification;B;RAID combine plusieurs disques pour la redondance ou la performance.;OpenTDB
747;Technologie;1;Quelle était la limite de caractères originale d'un Tweet ?;A) 120 | B) 140 | C) 160 | D) 100;B;La limite originale de 140 caractères a été doublée en 2017.;OpenTDB
748;Technologie;1;En hexadécimal, quelle couleur correspond au code '#00FF00' ?;A) Rouge | B) Vert | C) Bleu | D) Jaune;B;#00FF00 représente le vert pur (0 rouge, 255 vert, 0 bleu).;OpenTDB
749;Technologie;1;Quel composant permet la communication entre tous les autres périphériques ?;A) CPU | B) Carte mère | C) Disque dur | D) RAM;B;La carte mère connecte tous les composants de l'ordinateur.;OpenTDB
750;Technologie;1;Quel langage de programmation partage son nom avec une île indonésienne ?;A) Python | B) Java | C) C | D) Jakarta;B;Java est une île indonésienne célèbre pour son café.;OpenTDB
751;Technologie;1;Combien de kilo-octets dans un giga-octet (décimal) ?;A) 1024 | B) 1000000 | C) 1000 | D) 1048576;B;En décimal: 1 Go = 1000 Mo = 1 000 000 Ko.;OpenTDB
752;Technologie;1;Combien de valeurs un seul octet peut-il représenter ?;A) 8 | B) 256 | C) 1 | D) 1024;B;Un octet = 8 bits = 2^8 = 256 valeurs possibles.;OpenTDB
753;Technologie;1;Avec quel langage associe-t-on le framework Django ?;A) C# | B) Python | C) C++ | D) Java;B;Django est un framework web Python créé en 2005.;OpenTDB
754;Technologie;1;En informatique, que signifie LAN ?;A) Long Antenna Node | B) Local Area Network | C) Light Access Node | D) Land Address Navigation;B;LAN = Réseau Local.;OpenTDB
755;Technologie;2;Comment appelle-t-on des fonctions avec le même nom mais des implémentations différentes ?;A) Surcharge | B) Redéfinition | C) Abstraction | D) Héritage;A;La surcharge (overloading) permet plusieurs signatures pour une même fonction.;OpenTDB
756;Technologie;2;Whistler était le nom de code de quel système d'exploitation Microsoft ?;A) Windows 2000 | B) Windows XP | C) Windows 7 | D) Windows 95;B;Windows XP s'appelait Whistler pendant son développement.;OpenTDB
757;Technologie;2;Le temps Unix est le nombre de secondes écoulées depuis quand ?;A) 4 juillet 1976 | B) 1er janvier 1970 | C) Anniversaire du créateur | D) 4 juillet 1980;B;L'époque Unix commence le 1er janvier 1970 à minuit UTC.;OpenTDB
888;Technologie;2;La théière souvent vue dans les applis de modélisation 3D s'appelle comment ?;A) 3D Teapot | B) Utah Teapot | C) Tennessee Teapot | D) Pixar Teapot;B;;OpenTDB
889;Technologie;3;Qui est le fondateur de Palantir ?;A) Peter Thiel | B) Jack Dorsey | C) Marc Benioff | D) Mark Zuckerberg;A;;OpenTDB
890;Technologie;1;"Que signifie ""MP"" dans MP3 ?";A) Moving Picture | B) Music Player | C) Multi Pass | D) Micro Point;A;;OpenTDB
891;Technologie;2;"Quand le service de streaming ""Mixer"" a-t-il été lancé ?";A) 2013 | B) 2011 | C) 2016 | D) 2009;C;;OpenTDB
892;Technologie;2;Combien de bits composent la mantisse d'un nombre flottant simple précision ?;A) 8 | B) 53 | C) 23 | D) 15;C;;OpenTDB
893;Technologie;1;Quel langage Node.js utilise-t-il ?;A) Java | B) Java Source | C) Joomla Source Code | D) JavaScript;D;;OpenTDB
894;Technologie;1;Sur Twitter, quelle était la limite initiale de caractères pour un tweet ?;A) 120 | B) 140 | C) 160 | D) 100;B;;OpenTDB
895;Technologie;1;Quel langage de programmation partage son nom avec une île d'Indonésie ?;A) Java | B) C | C) Python | D) Jakarta;A;;OpenTDB
896;Technologie;3;"Quelle était la première entreprise à utiliser le terme ""Golden Master"" ?";A) IBM | B) Apple | C) Google | D) Microsoft;B;;OpenTDB
897;Technologie;1;Combien de valeurs un seul octet peut-il représenter ?;A) 1024 | B) 8 | C) 1 | D) 256;D;;OpenTDB
1528;Technologie;2;Combien d'ordinateurs personnels Apple I ont été fabriqués approximativement ?;A) 200 | B) 500 | C) 100 | D) 1000;A;;
1529;Technologie;2;"Que signifie l'acronyme ""LCD"" ?";A) Last Common Difference | B) Long Continuous Design | C) Liquid Crystal Display | D) Language Control Design;C;;
