id;category;difficulty;question;choices;correct;explanation;source_hint
2265;Animation;2;What is the name of Ruby Rose's weapon from RWBY?;A) Thorned Rosebud | B) Crescent Rose | C) Crooked Scythe | D) Magnhild;B;;OpenTDB
2266;Animation;1;"What is Everest's favorite food in the Nickelodeon/Nick Jr. series ""PAW Patrol""?";A) Chicken | B) Caribou | C) Steak | D) Liver;D;;OpenTDB
2267;Animation;1;Who was the villain of ''The Lion King''?;A) Vada | B) Fred | C) Scar | D) Jafar;C;;OpenTDB
2268;Animation;2;"When did the last episode of ""Futurama"" air before returning in 2023?";A) March 28, 1999 | B) November 4, 2021 | C) December 25, 2010 | D) September 4, 2013;D;;OpenTDB
2269;Animation;2;Which of these is not a real character in the cartoon series My Little Pony: Friendship is Magic?;A) Rose Marene | B) Pinkie Pie | C) Maud Pie | D) Rainbow Dash;A;;OpenTDB
2270;Animation;1;Who is the only voice actor to have a speaking part in all of the Disney Pixar feature films?;A) John Ratzenberger | B) Geoffrey Rush | C) Tom Hanks | D) Dave Foley;A;;OpenTDB
2271;Animation;3;In the web-comic Homestuck, what is the name of the game the 4 kids play?;A) Hiveswap | B) Sburb | C) Homesick | D) Husslie;B;;OpenTDB
2272;Animation;3;Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?;A) Lola Bunny | B) Daisy Duck | C) Olive Oyl | D) Minnie Mouse;C;;OpenTDB
2273;Animation;1;"In the show ""Foster's Home For Imaginary Friends"", which character had an obsession with basketball?";A) Wilt | B) Mac | C) Cheese | D) Coco;A;;OpenTDB
2274;Animation;3;Which of the following films was Don Bluth both the writer, director, and producer for?;A) All Dogs Go To Heaven | B) The Land Before Time | C) Titan A.E. | D) Anastasia;A;;OpenTDB
2275;Animation;2;"What was the number on Gerald's shirt in ""Hey Arnold!""?";A) 33 | B) 38 | C) 88 | D) 83;A;;OpenTDB
2276;Animation;1;Which of the following is not a Flintstones character?;A) Lord Rockingham IX | B) The Great Gazoo | C) Barney Rubble | D) Rockhead Slate;A;;OpenTDB
2277;Animation;2;In the animated series RWBY, what is the name of the weapon used by Weiss Schnee?;A) Crescent Rose | B) Myrtenaster | C) Gambol Shroud | D) Ember Celica;B;;OpenTDB
2278;Animation;2;Which one of these cartoon characters is NOT voiced by Rob Paulsen?;A) The Mask (The Mask, TV Series) | B) Carl Wheezer (Jimmy Neutron) | C) Max Tennyson (Ben 10) | D) Yakko Warner (Animaniacs);C;;OpenTDB
2279;Animation;1;In The Simpsons, which war did Seymour Skinner serve in the USA Army as a Green Beret?;A) Cold War | B) Vietnam War | C) World War 1 | D) World War 2;B;;OpenTDB
2280;Animation;1;What is the surname of one of the male teachers in the BBC series Postman Pat?;A) Lays | B) Walker | C) Dorito | D) Pringle;D;;OpenTDB
2281;Animation;2;What Cartoon Network show aired its first episode on November 4th, 2013?;A) The Amazing World of Gumball | B) Steven Universe | C) Adventure Time | D) Regular Show;B;;OpenTDB
2282;Animation;2;Which Sanrio character was introduced in 1996?;A) Badtz-Maru | B) My Melody | C) Pompompurin | D) Kerropi;C;;OpenTDB
2283;Animation;2;Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?;A) Anthrogenetic | B) Anthropolegic  | C) Anthrologic | D) Anthropomorphic;D;;OpenTDB
2284;Animation;2;The character White Diamond from Steven Universe, is voiced by who?;A) Rihanna | B) Christine Ebersole | C) Aly Michalka | D) Ellen McLain;B;;OpenTDB
2285;Animation;1;"What was the name of the sea witch in the 1989 Disney film ""The Little Mermaid""?";A) Madam Mim | B) Lady Tremaine | C) Maleficent | D) Ursula;D;;OpenTDB
2286;Animation;1;"What is the relationship between Rick and Morty in the show ""Rick and Morty""?";A) Grandfather and Grandson | B) Father and Son | C) Best Friends | D) Crimefighting Partners;A;;OpenTDB
2287;Animation;1;Butters Stotch, Pip Pirrup, and Wendy Testaburger are all characters in which long running animated TV series?;A) South Park | B) The Simpsons | C) Family Guy | D) Bob's Burgers;A;;OpenTDB
2288;Animation;3;"In the 1969 Cartoon show ""Dastardly and Muttley in Their Flying Machines"", which were NOT one of the lyrics in the opening theme?";A) Jab him | B) Tab him | C) Stab him | D) Nab him;C;;OpenTDB
2289;Animation;3;"In ""Gravity Falls"", what does Quentin Trembley do when he is driven out from the White House?";A) Jump out the window. | B) Eat a salamander and jump out the window. | C) Release 1,000 captive salamanders into the white house. | D) Leave in peace.;B;;OpenTDB
2290;Animation;2;"The stop motion comedy show ""Robot Chicken"" was created by which of the following?";A) Seth Green | B) Seth Rollins | C) Seth MacFarlane | D) Seth Rogen;A;;OpenTDB
2291;Animation;2;What is the standard frame rate for animation?;A) 24 FPS | B) 30 FPS | C) 60 FPS | D) 12 FPS;A;;OpenTDB
2292;Animation;1;"What is lost in Hawaiian and is also the name of a little girl in a 2002 film which features a alien named ""Stitch""?";A) Lolo | B) Lilo | C) Lulu | D) Lucy;B;;OpenTDB
2293;Animation;3;What was the name of Jonny's pet dog in The Adventures of Jonny Quest?;A) Rocky | B) Bandit | C) Lucky | D) Max;B;;OpenTDB
2294;Animation;3;"Who played Stan's dog in the South Park episode ""Big Gay Al's Big Gay Boat Ride""?";A) George Clooney | B) Matt Stone | C) Robert Smith | D) Jay Leno;A;;OpenTDB
2295;Animation;3;"What town was ""Springfield"" from ""The Simpsons"" originally named after?";A) Springfield, Oregon | B) Springfield, Massachusetts | C) Springfield, Illinois | D) Springfield, Missouri;A;;OpenTDB
