id;category;difficulty;question;choices;correct;explanation;source_hint
1;Géographie;2;Quelle est la capitale de l’Australie ?;A) Sydney | B) Melbourne | C) Canberra | D) Perth;C;La capitale de l’Australie est Canberra (pas Sydney).;Wikidata/Encyclopedia
2;Chimie;1;Quel est le symbole chimique du sodium ?;A) S | B) So | C) Na | D) Sn;C;Le sodium a pour symbole Na (du latin natrium).;IUPAC/Periodic table
3;Biologie;2;Dans quelle partie de la cellule végétale a lieu la photosynthèse ?;A) Noyau | B) Chloroplaste | C) Mitochondrie | D) Ribosome;B;La photosynthèse se déroule dans les chloroplastes.;Biology textbook
4;Physique;2;Quelle est l’unité SI de l’intensité du courant électrique ?;A) Volt | B) Watt | C) Ampère | D) Ohm;C;L’unité SI du courant est l’ampère (A).;BIPM/SI units
5;Géographie;1;Quel est l’océan le plus vaste ?;A) Atlantique | B) Indien | C) Arctique | D) Pacifique;D;Le Pacifique est l’océan le plus grand en surface.;Encyclopedia
6;Espace;2;En quelle année l’être humain a-t-il marché sur la Lune pour la première fois ?;A) 1959 | B) 1969 | C) 1979 | D) 1989;B;Apollo 11 a atterri en 1969, et les astronautes ont marché sur la Lune cette année-là.;" ""NASA/Apollo"""
7;Biologie;3;Que signifie l’acronyme ADN ?;A) Acide désoxyribonucléique | B) Acide ribonucléique | C) Azote double normal | D) Analyse de nutriments;A;ADN = acide désoxyribonucléique (support de l’information génétique).;Biology textbook
8;Sciences de la Terre;2;Quel gaz est le plus abondant dans l’atmosphère terrestre ?;A) Oxygène | B) Azote | C) Dioxyde de carbone | D) Argon;B;L’azote représente environ 78% de l’atmosphère.;NOAA/Encyclopedia
9;Sciences de la Terre;3;Quel instrument sert à enregistrer les séismes ?;A) Baromètre | B) Thermomètre | C) Sismographe | D) Hygromètre;C;Un sismographe (ou sismomètre) mesure les vibrations du sol.;Geoscience textbook
10;Biologie;2;Quel gaz est principalement libéré par les plantes lors de la photosynthèse ?;A) Ozone | B) Oxygène | C) Azote | D) Méthane;B;La photosynthèse produit notamment de l’oxygène.;" ""Biology textbook"""
11;Géographie;1;Quel fleuve traverse Paris ?;A) Rhin | B) Loire | C) Seine | D) Rhône;C;Paris est traversée par la Seine.;" ""Wikidata/Encyclopedia"""
12;Histoire;3;En quelle année le mur de Berlin est-il tombé ?;A) 1979 | B) 1989 | C) 1999 | D) 2009;B;La chute du mur de Berlin date de 1989.;" ""History reference"""
13;Physique;2;À pression atmosphérique normale, à quelle température l’eau bout-elle ?;A) 0°C | B) 50°C | C) 100°C | D) 150°C;C;À 1 atm, l’eau bout à 100°C.;" ""Physics/Chem textbook"""
14;Géographie;2;Quelle est la plus haute montagne du monde (altitude au-dessus du niveau de la mer) ?;A) K2 | B) Mont Blanc | C) Everest | D) Kilimandjaro;C;Le mont Everest est le plus haut au-dessus du niveau de la mer.;" ""Geography reference"""
