id;category;difficulty;question;choices;correct;explanation;source_hint
675;Mythologie;1;What mythology did the god 'Apollo' come from?;A) Roman and Spanish | B) Greek and Roman | C) Greek and Chinese | D) Greek, Roman and Norse;B;Apollo is a god shared by Greek and Roman mythology.;OpenTDB
676;Mythologie;2;Hel was the daughter of which Norse Mythological figure?;A) Thor | B) Loki | C) Odin | D) Balder;B;Hel is Loki's daughter and rules the realm of the dead.;OpenTDB
677;Mythologie;3;In Greek Mythology, who was the daughter of King Minos?;A) Athena | B) Ariadne | C) Ariel | D) Alana;B;Ariadne helped Theseus escape the labyrinth.;OpenTDB
678;Mythologie;2;What is the name of the Greek god of blacksmiths?;A) Dyntos | B) Hephaestus | C) Vulcan | D) Artagatus;B;Hephaestus forged the weapons of the gods on Olympus.;OpenTDB
679;Mythologie;2;A minotaur is half human half what?;A) Cow | B) Bull | C) Horse | D) Eagle;B;The Minotaur had a man's body and a bull's head.;OpenTDB
680;Mythologie;2;What is the name of the Greek god of peaceful deaths?;A) Tartarus | B) Thanatos | C) Hades | D) Moros;B;Thanatos personified gentle and peaceful death.;OpenTDB
681;Mythologie;1;Who in Greek mythology led the Argonauts in search of the Golden Fleece?;A) Castor | B) Jason | C) Daedalus | D) Odysseus;B;Jason and the Argonauts sailed on the ship Argo.;OpenTDB
682;Mythologie;1;The greek god Poseidon was the god of what?;A) War | B) The Sea | C) Sun | D) Fire;B;Poseidon ruled over the seas and oceans.;OpenTDB
683;Mythologie;1;What mythological creatures have women's faces and vultures' bodies?;A) Mermaids | B) Harpies | C) Nymph | D) Lilith;B;Harpies were wind spirits with sharp claws.;OpenTDB
684;Mythologie;1;In most traditions, who was the wife of Zeus?;A) Aphrodite | B) Hera | C) Athena | D) Hestia;B;Hera was the goddess of marriage and queen of Olympus.;OpenTDB
685;Mythologie;1;In Greek mythology, who is the god of wine?;A) Hephaestus | B) Dionysus | C) Demeter | D) Apollo;B;Dionysus was also the god of festivity and ecstasy.;OpenTDB
686;Mythologie;1;Who was the King of Gods in Ancient Greek mythology?;A) Apollo | B) Zeus | C) Hermes | D) Poseidon;B;Zeus ruled over Olympus and the heavens.;OpenTDB
687;Mythologie;2;Odin's pet crows are named 'Huginn' and 'Muninn'. What do their names mean?;A) Power & Peace | B) Thought & Memory | C) War & Learning | D) Sleeping & Waking;B;Huginn (thought) and Muninn (memory) brought news of the world to Odin.;OpenTDB
