id;category;difficulty;question;choices;correct;explanation;source_hint
2084;Anime & Manga;2;When was the first episode of Soul Eater released?;A) 2011 | B) 2005 | C) 2003 | D) 2008;D;;
2085;Anime & Manga;2;"In the anime series ""Full Metal Alchemist"", what do Alchemists consider the greatest taboo?";A) Transmuting Lead Into Gold | B) Human Transmutation | C) Preforming Without A Permit | D) Using Alchemy For Crime;B;;
2086;Anime & Manga;1;"On what medium was ""Clannad"" first created?";A) Manga | B) Light novel | C) Anime | D) Visual novel;D;;
2087;Anime & Manga;2;"In ""One Piece"", which one of the following is NOT an Ancient Weapon?";A) Uranus | B) Poseidon | C) Pluton | D) Jupiter;D;;
2088;Anime & Manga;2;"Who wrote and directed the animated movie ""Spirited Away"" (2001)?";A) Hidetaka Miyazaki | B) Hayao Miyazaki | C) Mamoru Hosoda | D) Isao Takahata;B;;
2089;Anime & Manga;1;"The characters of ""Log Horizon"" are trapped in what game?";A) Sword Art Online | B) Elder Tale | C) Yggdrasil | D) Tower Unite;B;;
2090;Anime & Manga;1;In Ms. Kobayashi's Dragon Maid, who is Kobayashi's maid?;A) Elma | B) Lucoa | C) Tohru | D) Kanna;C;;
2091;Anime & Manga;1;"Which anime heavily features music from the genre ""Eurobeat""?";A) Wangan Midnight | B) Cowboy Bebop | C) Initial D | D) Kino no Tabi;C;;
2092;Anime & Manga;2;"What was the reason for the banning of episode 35 of the ""Pokémon Original Series"" Anime?";A) Flashing Images | B) Strong Violence | C) Jynx | D) Gun Usage;D;;
2093;Anime & Manga;2;Who is the main character in One Piece?;A) Zoro | B) Luffy | C) Shanks | D) Smoker;B;;
2094;Anime & Manga;1;"What is the theme song of ""Neon Genesis Evangelion""?";A) A Cruel Angel's Thesis | B) Requiem for a Dream | C) God Knows | D) Stardust Crusaders;A;;
2095;Anime & Manga;1;What is the name of the stuffed lion in Bleach?;A) Jo | B) Kon | C) Urdiu | D) Chad;B;;
2096;Anime & Manga;2;In Pokémon Chronicles, why was Misty afraid of Gyarados?;A) She was badly injured from it. | B) She crawled into it's mouth as a baby. | C) She found it scary. | D) It is part Bug.;B;;
2097;Anime & Manga;1;"Who is the author of the manga series ""Astro Boy""?";A) Takao Saito | B) Mitsuteri Yokoyama | C) Yoshihiro Tatsumi | D) Osamu Tezuka;D;;
2098;Anime & Manga;2;"What song plays in the ending credits of the anime ""Ergo Proxy""?";A) Bittersweet Symphony | B) Mad World | C) Sadistic Summer | D) Paranoid Android;D;;
2099;Anime & Manga;1;Who is the main heroine of the anime, Full Metal Panic!;A) Teletha Testarossa | B) Kaname Chidori | C) Melissa Mao | D) Kyoko Tokiwa;B;;
2100;Anime & Manga;2;"In ""Highschool DxD"", what is the name of the item some humans are born with?";A) Sacred Gear | B) Blessed Artifact | C) Imperial Arm | D) Hallowed Relic;A;;
2101;Anime & Manga;3;Which studio animated Afro Samurai?;A) xebec | B) Production I.G | C) Kyoto Animation | D) Gonzo;D;;
2102;Anime & Manga;2;The main protagonist of the fifth part of JoJo's Bizarre Adventure is which of the following?;A) Joey JoJo | B) Guido Mista | C) Giorno Giovanna | D) Jonathan Joestar;C;;
2103;Anime & Manga;3;"Which animation studio produced the anime adaptation of ""xxxHolic""?";A) Kyoto Animation | B) Sunrise | C) Production I.G | D) Xebec;C;;
2104;Anime & Manga;3;"Which animation studio animated ""Psycho Pass""?";A) Trigger | B) Shaft | C) Kyoto Animation | D) Production I.G;D;;
2105;Anime & Manga;2;"How does the character Dragowizard, Qinus Axia's from the anime ""Buddyfight"" differ between the Japanese and English dubs?";A) Different Gender | B) Different Backstory | C) Different Body Proportions | D) Different Appearance;A;;
2106;Anime & Manga;2;"Which Japanese music group was formed to produce theme music for the anime ""Guilty Crown""?";A) Garnidelia | B) Egoist | C) Babymetal | D) Goose house;B;;
2107;Anime & Manga;2;"On what date did the original ""Fruits Basket"" anime air in Japan?";A) October 11th, 2001 | B) November 1st, 2006 | C) July 5th, 2001 | D) December 27th, 2001;C;;
2108;Anime & Manga;1;Which Pokémon and it's evolutions were banned from appearing in a main role after the Episode 38 Incident?;A) The Porygon Line | B) The Elekid Line | C) The Magby Line | D) The Pikachu Line;A;;
2109;Anime & Manga;1;In Digimon, what is the Japanese name for the final evolutionary stage?;A) Ultimate | B) Adult | C) Champion | D) Mega;A;;
2110;Anime & Manga;1;"What anime studio was in charge of the hit anime ""Made in Abyss""?";A) Trigger | B) Studio 3hz | C) 8bit | D) Kinema Citrus;D;;
2111;Anime & Manga;2;What sport is being played in the Anime Eyeshield 21?;A) Basketball | B) Football | C) Baseball | D) American Football;D;;
2112;Anime & Manga;2;"In the ""Sailor Moon"" series, what is Sailor Jupiter's civilian name?";A) Usagi Tsukino | B) Rei Hino | C) Minako Aino | D) Makoto Kino;D;;
2113;Anime & Manga;1;"What year did ""Attack on Titan"" first air?";A) 2015 | B) 2012 | C) 2013 | D) 2014;C;;
2114;Anime & Manga;2;"In JoJo's Bizarre Adventure, who says ""Yare yare daze""?";A) Jolyne Cujoh | B) Koichi Hirose | C) Jotaro Kujo | D) Joseph Joestar;C;;
2115;Anime & Manga;1;What is the age of Ash Ketchum in Pokemon when he starts his journey?;A) 9 | B) 10 | C) 11 | D) 12;B;;
2116;Anime & Manga;3;"Medaka Kurokami from ""Medaka Box"" has what abnormality?";A) Perfection | B) Sandbox | C) The End | D) Fairness;C;;
