id;category;difficulty;question;choices;correct;explanation;source_hint
675;Mythologie;1;De quelle mythologie vient le dieu Apollon ?;A) Romaine et espagnole | B) Grecque et romaine | C) Grecque et chinoise | D) Grecque, romaine et nordique;B;Apollon est un dieu commun aux mythologies grecque et romaine.;OpenTDB
676;Mythologie;2;Hel était la fille de quelle figure de la mythologie nordique ?;A) Thor | B) Loki | C) Odin | D) Balder;B;Hel est la fille de Loki et gouverne le royaume des morts.;OpenTDB
677;Mythologie;3;Dans la mythologie grecque, qui était la fille du roi Minos ?;A) Athéna | B) Ariane | C) Ariel | D) Alana;B;Ariane a aidé Thésée à s'échapper du labyrinthe.;OpenTDB
678;Mythologie;2;Quel est le nom du dieu grec des forgerons ?;A) Dyntos | B) Héphaïstos | C) Vulcain | D) Artagatus;B;Héphaïstos forgeait les armes des dieux sur l'Olympe.;OpenTDB
679;Mythologie;2;Un minotaure est mi-humain mi-quoi ?;A) Vache | B) Taureau | C) Cheval | D) Aigle;B;Le Minotaure avait un corps d'homme et une tête de taureau.;OpenTDB
680;Mythologie;2;Quel est le nom du dieu grec des morts paisibles ?;A) Tartare | B) Thanatos | C) Hadès | D) Moros;B;Thanatos personnifiait la mort douce et paisible.;OpenTDB
681;Mythologie;1;Qui, dans la mythologie grecque, a mené les Argonautes à la recherche de la Toison d'or ?;A) Castor | B) Jason | C) Dédale | D) Ulysse;B;Jason et les Argonautes ont navigué sur le navire Argo.;OpenTDB
682;Mythologie;1;Poséidon était le dieu de quoi ?;A) Guerre | B) La Mer | C) Soleil | D) Feu;B;Poséidon régnait sur les mers et les océans.;OpenTDB
683;Mythologie;1;Quelles créatures mythologiques ont des visages de femmes et des corps de vautours ?;A) Sirènes | B) Harpies | C) Nymphes | D) Lilith;B;Les Harpies étaient des esprits du vent aux griffes acérées.;OpenTDB
684;Mythologie;1;Dans la plupart des traditions, qui était l'épouse de Zeus ?;A) Aphrodite | B) Héra | C) Athéna | D) Hestia;B;Héra était la déesse du mariage et reine de l'Olympe.;OpenTDB
685;Mythologie;1;Dans la mythologie grecque, qui est le dieu du vin ?;A) Héphaïstos | B) Dionysos | C) Déméter | D) Apollon;B;Dionysos était aussi le dieu de la fête et de l'ivresse.;OpenTDB
686;Mythologie;1;Qui était le roi des dieux dans la mythologie grecque antique ?;A) Apollon | B) Zeus | C) Hermès | D) Poséidon;B;Zeus régnait sur l'Olympe et les cieux.;OpenTDB
687;Mythologie;2;Les corbeaux d'Odin s'appellent 'Huginn' et 'Muninn'. Que signifient leurs noms ?;A) Pouvoir et Paix | B) Pensée et Mémoire | C) Guerre et Savoir | D) Sommeil et Éveil;B;Huginn (pensée) et Muninn (mémoire) rapportaient les nouvelles du monde à Odin.;OpenTDB
688;Mythologie;3;Dans la mythologie nordique, quel serpent ronge les racines d'Yggdrasil ?;A) Bragi | B) Nídhögg | C) Odin | D) Ymir;B;Nídhögg ronge les racines de l'arbre-monde Yggdrasil.;OpenTDB
689;Mythologie;2;Quel était le nom grec de Neptune ?;A) Arès | B) Poséidon | C) Zeus | D) Apollon;B;Poséidon (grec) et Neptune (romain) sont le même dieu de la mer.;OpenTDB
