id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
2050;Livres;1;Dans quel livre Harry Potter rencontre-t-on un Horcrux pour la première fois ?;In what Harry Potter book was a Horcrux first encountered?;A) La Chambre des Secrets | B) La Coupe de Feu | C) Les Reliques de la Mort | D) Le Prince de Sang-Mêlé;A) The Chamber of Secrets | B) The Goblet of Fire | C) The Deathly Hallows | D) The Half-Blood Prince;A;;;
2051;Livres;1;Qui est l'auteur du roman « Sa Majesté des Mouches » (1954) ?;"Who was the author of the 1954 novel, ""Lord of the Flies""?";A) William Golding | B) F. Scott Fitzgerald | C) Hunter Fox | D) Stephen King;A) William Golding | B) F. Scott Fitzgerald | C) Hunter Fox | D) Stephen King;A;;;
2052;Livres;1;Qui a écrit « Un Conte de Deux Villes » ?;"Who wrote ""A Tale of Two Cities""?";A) Charles Darwin | B) Mark Twain | C) Roald Dahl | D) Charles Dickens;A) Charles Darwin | B) Mark Twain | C) Roald Dahl | D) Charles Dickens;D;;;
2053;Livres;2;Quel auteur américain, également écrivain de voyage, a raconté ses aventures avec son chien Charley ?;Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?;A) William Faulkner | B) Ernest Hemingway | C) F. Scott Fitzgerald | D) John Steinbeck;A) William Faulkner | B) Ernest Hemingway | C) F. Scott Fitzgerald | D) John Steinbeck;D;;;
2054;Livres;1;Quel célèbre romancier d'espionnage a écrit l'histoire pour enfants « Chitty-Chitty-Bang-Bang » ?;"Which famous spy novelist wrote the childrens' story ""Chitty-Chitty-Bang-Bang""?";A) John Buchan | B) Graham Greene | C) Joseph Conrad | D) Ian Fleming;A) John Buchan | B) Graham Greene | C) Joseph Conrad | D) Ian Fleming;D;;;
2055;Livres;2;Quel était le dernier message des dauphins dans « Le Guide du voyageur galactique » ?;"What was the last message of the Dolphins in ""The Hitchhiker's Guide to the Galaxy""?";A) « Adieu monde cruel ! » | B) « Terre des braves. » | C) « Au revoir, et merci pour le poisson. » | D) « La réponse est 42. »;"A) ""Goodbye cruel world!"" | B) ""Land of the brave."" | C) ""So long, and thanks for all the fish."" | D) ""The answer is 42.""";C;;;
2056;Livres;3;Dans quel roman classique trouve-t-on un personnage nommé Homer Simpson ?;In which classic novel is there a character named Homer Simpson?;A) Des souris et des hommes | B) A Separate Peace | C) The Day of the Locust | D) Catch-22;A) Of Mice and Men | B) A Separate Peace | C) The Day of the Locust | D) Catch-22;C;;;
2057;Livres;3;Dans l'univers de Magic : The Gathering, l'extension « Fallen Empires » se déroule sur quel continent ?;In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?;A) Shiv | B) Sarpadia | C) Otaria | D) Terisiare;A) Shiv | B) Sarpadia | C) Otaria | D) Terisiare;B;;;
2058;Livres;2;En 1818, la romancière Mary Shelley est créditée d'avoir écrit un roman de fiction et créé ce personnage tristement célèbre.;In the year 1818, novelist Mary Shelly is credited with writing a fiction novel and creating this infamous character.;A) Dracula | B) The Thing | C) Le monstre de Frankenstein | D) L'Homme invisible;A) Dracula | B) The Thing | C) Frankenstein's monster | D) The Invisible Man;C;;;
2059;Livres;1;Quel est le nom du protagoniste du roman « L'Attrape-cœurs » de J.D. Salinger ?;What is the name of the protagonist of J.D. Salinger's novel Catcher in the Rye?;A) Randall Flagg | B) Jay Gatsby | C) Holden Caulfield | D) Fletcher Christian;A) Randall Flagg | B) Jay Gatsby | C) Holden Caulfield | D) Fletcher Christian;C;;;
2060;Livres;2;Laquelle de ces séries de livres est signée James Patterson ?;Which of these book series is by James Patterson?;A) Maximum Ride | B) The Legend of Xanth | C) Harry Potter | D) The Bartemaeus Trilogy;A) Maximum Ride | B) The Legend of Xanth | C) Harry Potter | D) The Bartemaeus Trilogy;A;;;
2061;Livres;2;Dans « Le Roman des Trois Royaumes », qui ne faisait pas partie du Serment du Jardin des Pêchers ?;In Romance of the Three Kingdoms, who was not a member of the Peach Garden Oath?;A) Guan Yu | B) Liu Bei | C) Zhao Yun | D) Zhang Fei;A) Guan Yu | B) Liu Bei | C) Zhao Yun | D) Zhang Fei;C;;;
